[00:00] 欢迎收听赵华宇股货载第1060集
[00:09] 今天是2026年的3月20号
[00:12] 今天的加权指数跌了145点
[00:15] 可是可能很多人的体感温度反而是非常冷
[00:21] 跟昨天截然不同
[00:22] 昨天台股大盘跌了600多点
[00:25] 可是还是很多人开开心心
[00:26] 因为很多涨停板的热门股票
[00:28] 大家在中小型股里面
[00:30] 一样是持续的赚钱
[00:32] 但是今天贵买拉高后
[00:34] 急速的翻黑
[00:35] 而且爆大量
[00:36] 上市是因为有0050的换股
[00:39] 所以今天的量有到9000多亿
[00:41] 上柜就真的是中小股
[00:43] 有一点部分
[00:45] 因为今天涨停板的股票
[00:46] 还是有50档以上
[00:47] 可是这个50档
[00:48] 可能跟前几天的
[00:50] 就有一点的结构不同
[00:51] 像今天记忆体杀身一片
[00:54] 然后包括说像这个PCB的上游
[00:56] 也杀身一片
[00:58] 这些就是还蛮多投资人在的地方
[01:01] 也觉得十分热门
[01:02] 不容易回档的
[01:03] 但今天哇
[01:04] 跌停的跌停
[01:05] 跌个六七趴的大有人在哦
[01:07] 所以今天虽然以指数来看
[01:09] 只跌一百多点
[01:10] 体感却跟昨天跌六百多点
[01:12] 还要冷
[01:13] 还要可怕
[01:14] 那发生什么事呢
[01:16] 其实刚好昨天也有跟大家聊到
[01:18] 中小型股虽然很强
[01:19] 可是我们不要因为中小型股很厉害
[01:22] 我们就有一点
[01:23] 好像外面的世界
[01:24] 明明就是战火连天
[01:26] 油价大涨
[01:27] 大家都害怕
[01:28] 我们却还是马照跑五照跳
[01:30] 还是有点戒心
[01:31] 那今天感觉上就有一点说来就来
[01:34] 不过因为今天也是周末了
[01:35] 所以下个礼拜到底局势会如何变化
[01:38] 我们知道六日往往都会有
[01:40] 让人措手不及的事
[01:42] 然后礼拜一大家就皮绷得很紧在等
[01:44] 不过今天的来宾
[01:46] 今天好像是土地公生日
[01:48] 什么二月二龙抬头
[01:51] 对不对
[01:51] 要剃头
[01:52] 所以呢他今天去剪头发
[01:54] 我跟他问说
[01:56] 为什么你今天剪头发
[01:57] 是不是因为土地公生日
[01:58] 他竟然说他怕大盘做头
[02:00] 我先来欢迎他
[02:02] 接下来的是我们的国家基金操盘手
[02:05] 黄峰凯凯哥
[02:06] 早好各位听众大家好
[02:07] 大家很期待凯哥来
[02:10] 凯哥看到我讲那句话
[02:12] 害我吓一大跳
[02:13] 什么做头不要乱讲
[02:15] 可是说实话
[02:16] 整个大盘或者是美股的情况
[02:18] 真的是不太妙
[02:19] 我们有没有可能
[02:20] 真的还是得再做一次
[02:22] 所谓的再平衡
[02:23] 之前有
[02:24] 之前其实有一天跌2000点
[02:27] 那现在好像又风平浪静
[02:29] 可是事实上国际股市并不平静
[02:31] 我觉得第一个是
[02:33] 这个盘老实讲
[02:35] 你说很害怕吗
[02:37] 我觉得之前上一周你可能会很害怕
[02:39] 为什么因为之前上一周
[02:41] 其实是台湾自己独强
[02:42] 就是全世界大家都在睡觉
[02:44] 只有台湾醒了
[02:45] 但是上礼拜韩国醒过来了
[02:48] 韩国醒过来
[02:49] 所以韩国目前的月线是往上走的
[02:51] 所以你台湾月线是往上走
[02:53] 所以你至少现在不是独醒
[02:55] 你现在至少是一只小雨伞
[02:57] 两人的小雨伞
[02:58] 好吧难得要跟韩国在同一只
[03:00] 走同一条路
[03:02] 但是你可以看到
[03:03] 大阪其实一直死不上利
[03:05] 就是说因为这个战争
[03:07] 到目前为止看起来
[03:08] 没有一个明确要停火的迹象
[03:11] 那当然今天有人在讲说
[03:13] 可能现在这个以色列跟美国
[03:15] 他们都会控制自己
[03:16] 尽量不要去炸伊朗的油设施
[03:18] 那等于就是留住了伊朗的经济命脉
[03:22] 那伊朗的以战求和
[03:25] 会不会就在这边
[03:26] 开始画下一个
[03:28] 和谈的一个讯号出来
[03:31] 再来就是
[03:31] 川普昨天讲的一句话说
[03:33] 既然你们都不愿意派兵
[03:34] 到荷姆斯海峡来互见
[03:36] 那我就怎么样
[03:37] 我也就撤退好了
[03:38] 我也不保护你们
[03:40] 荷姆斯海峡通过邮轮
[03:41] 因为本来美国就没有邮轮
[03:43] 在荷姆斯海峡上面通行
[03:44] 因为美国的邮向
[03:45] 还是自给自足
[03:46] 所以他想说
[03:47] 那你们荷姆斯海峡
[03:49] 这些邮干我啥事
[03:51] 对不对
[03:51] 你们都不派兵来保护你们自己的邮轮
[03:53] 要我来保护
[03:54] 保护完之后叫你们派兵来
[03:55] 你们又不来
[03:56] 所以昨天是在这个
[03:57] 很微妙的情况之下
[03:59] 其实油价就一度要创新高了
[04:02] 我觉得那时候大概是90点吧
[04:05] 我那时候很紧张
[04:06] 爸爸那个油价好像要创新高了
[04:08] 我说如果
[04:10] 因为我跟他讲说
[04:11] 如果油价接近新高
[04:12] 你就要有点警觉性
[04:14] 因为那个接近新高
[04:16] 基本上你要做适度的调节
[04:18] 可是其实你昨天在盘中
[04:20] 其实就感觉到盘不太妙
[04:22] 因为昨天的OTC是没有沾上均价的
[04:24] 大盘也是弱的
[04:26] 所以告诉你说
[04:27] 强了这么久的OTC开始要震荡
[04:30] 所以我在昨天盘中
[04:31] 就跟我的学员们讲说
[04:33] 要小心
[04:34] 这盘开始要震荡了
[04:35] 你们可能要细好安全带
[04:37] 可是我又加了一句话说
[04:38] 你们留意一下
[04:39] 如果五日线没有跌破的
[04:41] 基本上还是可以续报
[04:42] 所以也就是说
[04:44] 你现在的持股基本上
[04:45] 要么就是强中强
[04:47] 要么你就不要做了
[04:48] 就是因為這盤其實在這地方
[04:50] 不是大漲就是大跌了
[04:52] 對啊
[04:53] 那你看
[04:53] 持續一段時間
[04:54] 一兩千家的公司裡面
[04:55] 其實漲停也不過就在五十幾家
[04:57] 是
[04:57] 但除非你很精準
[04:59] 像趙娃一樣每天都有訊息進來
[05:00] 別是你
[05:01] 他就會買到那個很強的股票
[05:04] 但其實你在昨天的盤中
[05:06] 你也可以發現到其實CPU有在轉強
[05:08] 為什麼
[05:09] 因為昨天光盛率先拉上去
[05:11] 所以告訴你說
[05:13] 這個盤其實原本的
[05:15] 技術領先的公司其實並不寂寞
[05:18] 但是昨天很強的記憶體
[05:19] 今天就全部都殺回來了
[05:21] 那其實記憶體我們很早就講過
[05:22] 基本上
[05:24] 我們沒有要特別的看空
[05:25] 我們只能講說
[05:26] 他確實你已經看到隧道的盡頭了
[05:30] 因為他們不是HBM
[05:31] 他們是DDR4
[05:33] 那那個是根本還沒進隧道的Flash
[05:37] 那就另當別論
[05:38] 因為Flash是根本就沒進隧道嘛
[05:40] 所以他怎麼看到隧道的盡頭
[05:42] 隧道盡頭離他好遠
[05:44] 因為他是所有人都離去了
[05:46] 只留下他一個人還默默在這個隧道的
[05:49] 剛入口的地方
[05:51] 所以旺宏變成一個獨強的公司
[05:53] 所以說我們之前講過
[05:56] 就是記憶體裡面
[05:58] 我說我比較看好Flash勝過D-Rain
[06:00] D-Rain裡面我比較看好模組勝過金力
[06:02] 但是這個是短期來看
[06:04] 長時間來看基本上我認為
[06:06] 南亞科沙蟹我覺得還是可以買
[06:09] 因為畢竟南亞科
[06:12] 他沒有所謂的庫存利益的問題
[06:14] 他就持续不断的制造精力
[06:16] 只是说你看这精力
[06:18] 什么时候会满足
[06:20] 一样的道理
[06:20] 就在这个时间点
[06:22] 基本上连广达这样的大厂
[06:24] 他的DDR4都开始紧俏了
[06:26] 他也拿不到DDR4
[06:28] 所以告诉你说
[06:29] 其实DDR4这个故事
[06:31] 我觉得短时间应该是还没结束
[06:33] 但是我觉得进入第二季
[06:35] 就要稍微更小心
[06:37] 因为我们今天后来
[06:40] 主要下杀原因
[06:41] 其实是因为在于市场说
[06:43] DDR5的价格有点下来
[06:45] 但是我个人觉得比较纳闷
[06:47] 因为其实现在市场上
[06:49] 其实是比较积极的厂商
[06:51] 是不断地在把DDR4往DDR5去
[06:53] 因为DDR4的价格已经太高了
[06:55] 但是不可能一下就全部转过去
[06:58] 虽然说很多厂商
[06:59] 我说像广大这样
[07:00] 他们还是在拿DDR4
[07:01] 所以基本上
[07:03] 我觉得大幅转换过去的几率
[07:05] 还是偏低
[07:06] 再来就是你可以看到很多通路商
[07:08] 交易处都还是很亮眼
[07:10] 就告诉你说
[07:11] 其实他们还有很大的库存利益在手
[07:13] 所以我覺得這些股票殺下來
[07:15] 基本上他們就比較適合區間操作
[07:18] 其實仔細看威剛
[07:19] 威剛他就打回之前的大量高
[07:21] 然後又拉起來
[07:22] 所以其實他們是可以用形態去操作的
[07:26] 不是不行
[07:26] 但是我們的觀眾
[07:29] 比較習慣追的是持續強勢股
[07:32] 我們大概沒有辦法容忍
[07:33] 那個跌個兩三天
[07:35] 因為通常我們的朋友們
[07:37] 通常是跌的時候
[07:38] 你都不曉得要賣
[07:39] 你也不想賣
[07:39] 可能跌很大一堆的時候
[07:41] 就突然發現好像不太對要賣了
[07:42] 可是通常你賣完之後大概再隔個一周
[07:45] 可能人家碰到大量高就又彈起來
[07:47] 所以基本上市場沒有想像的這麼的糟糕
[07:51] 但是我回過頭來講說
[07:52] 基本上你要看這個盤
[07:54] 大盤我覺得警戒的位置很重要
[07:56] 就在32828
[07:57] 為什麼這個是周大量低
[07:59] 如果大盤周大量低跌破
[08:00] 我認為櫃買會跟著殺一段
[08:02] 所以我剛剛跟趙老闆講說
[08:04] 下禮拜大盤最好可以拉一根紅棒出來
[08:06] 就是至少確立說
[08:08] 你櫃買不是自己在賭
[08:10] 我還有大哥我在這裡
[08:13] 可是我們現在大哥是外資一直賣
[08:15] 然後我們的政府一直賣
[08:17] 因為我們政府很care指數
[08:18] 很care指數
[08:19] 因為今年我們的當局也要再選舉
[08:24] 所以我們的當局目前
[08:25] 把這個股價指數當成是一個政績
[08:29] 所以他們很care指數
[08:31] 所以你看跌幾天
[08:32] 我們的八大行庫就買了幾天
[08:34] 雖然國安基金沒有進場
[08:36] 可是我們的八大行庫其實一直在進場
[08:39] 所以看到就是你丢我捡
[08:40] 但是我们重点不在于大盘
[08:43] 因为我们重点还是在趋势股票上面
[08:46] 像今天很强的像CPU
[08:49] 像探针
[08:50] 这些都是很强的
[08:53] 那因为盘很弱
[08:54] 所以你只要有利空就被打下来
[08:56] 就是说你像今天的
[08:58] 我们刚讲记忆体
[08:59] 就是说像薄钱不薄钱杀
[09:01] 但是有利空就打下来
[09:03] 但是回过头来看油价这件事情
[09:04] 我觉得既然伊朗跟
