[00:00] 欢迎收听赵华宇古货载第1104集
[00:09] 今天是2026年的5月25号
[00:13] 今天台股中场大涨1376点
[00:18] 盘中最高43645
[00:20] 收盘43644
[00:22] 差一点几乎就是收在最高点
[00:25] 代表今天的盘没有弱过
[00:27] 就是中间没有要洗你
[00:30] 一开盘就告诉你
[00:31] 我就是抢
[00:32] 当然六日有发生新的事情
[00:35] 上个礼拜五其实就有提到
[00:36] 我们不用在意
[00:38] 回答Google甚至AMD
[00:40] 他们自己有没有涨
[00:42] 只要他们的财报好
[00:43] 他们带来了好消息
[00:45] 台股就叫做一棒接一棒
[00:48] 但我自己没有想到
[00:49] 六日自然还有美衣正式和谈
[00:53] 这次应该是真的
[00:56] 应该是真的
[00:58] 那这个东西
[00:59] 加总进来
[01:01] 再加上现在谁呢
[01:02] 谁在台湾呢
[01:03] 黄仁勋也在台湾了
[01:04] 苏之锋也在台湾了
[01:06] 苏之锋据说不会参加
[01:07] 这个电脑展
[01:08] 可能就要回去了
[01:09] 那黄仁勋可能就会
[01:10] 一路待到Computex
[01:12] 这个中间到底
[01:13] 他会去哪些地方
[01:14] 我想已经一起旋风了
[01:15] 又在饶盒夜市
[01:17] 一堆人在po看到他
[01:19] 还偷吃民众的烤玉米
[01:21] 等等很可爱的一些行为
[01:22] 但不管他可不可爱
[01:25] 台股是非常的可爱
[01:26] 台股非常忠诚的显示了
[01:29] 利空之下
[01:31] 我们有韧性是抗跌的
[01:32] 又提醒大家
[01:33] 我观察的依据
[01:34] 就是我们强韧的基本面
[01:36] 以及接下来
[01:37] 幸好回答财报
[01:39] 真的开得非常好
[01:41] 那MD又说要送台湾
[01:43] 百亿美元的大礼
[01:44] 这个一个接一个之下
[01:46] 今天台股不用说四万三
[01:49] 是收在四万三千六百多点
[01:51] 照这样下去怎么办
[01:53] 怎么办呢
[01:54] 好 不要烦 不要丑
[01:57] 今天没有追也没有关系
[01:59] 因为肯定接下来
[02:01] 还是会有些事件的震荡
[02:02] 你说一波直冲到底
[02:04] 反正前一阵子也展示给你看了
[02:07] 也是会回测四万点的
[02:08] 对不对
[02:09] 随时会有回测的机会
[02:10] 但是记得我们古惑仔
[02:13] 一直提醒大家的
[02:14] 就是我们的底气还在
[02:16] 只要回测就是好机会
[02:18] 先来欢迎今天的来宾
[02:19] 因为今天百花齐放
[02:20] 请他来实在太好了
