[00:00] 欢迎收听赵华语古货载第1103集
[00:09] 今天是2026年的5月22号
[00:12] 很特别的一天
[00:14] 因为应该说很特别的一周
[00:16] 因为这一周我们历经了台股先下探到一度破4万点
[00:21] 当然这个破4万点
[00:22] 甚至当时我也觉得不一定4万点就是一个支撑
[00:26] 可能会直接再下去一些些
[00:27] 但也不会崩跌理由
[00:29] 在最近几集的Podcast
[00:31] 甚至这段时间的Podcast
[00:32] 应该都讲得相当之清楚
[00:34] 就是AI的底气
[00:35] 好
[00:36] 但今天也真的是猛了
[00:38] 大家可能没有留意到一件事情
[00:39] 今天上涨最终是涨到899点
[00:43] 收在42267点
[00:46] 虽然它没有过之前盘中的新高
[00:49] 也就是今天指数没有创下历史新高
[00:51] 但是今天是首度
[00:53] 在几次挑战42000点的过程中
[00:56] 第一次收盘站上了42000点
[01:00] 这有意义哦
[01:01] 这有意义
[01:02] 也是创下了一个所谓的收盘价新高
[01:05] 收盘价新高
[01:06] 怎么会这么厉害
[01:08] 我也必须坦白说
[01:10] 我们也是一关一关
[01:11] 一步一步来看
[01:13] 至少在前一阵子破月线的时候
[01:15] 是不是有跟大家再度的提醒
[01:18] 跌迁点破月线
[01:20] 我觉得第一个加码点不是什么大问题
[01:22] 那当然接下来还有两天是在月线下
[01:24] 我想也都是大家
[01:26] 觉得第一天不想买
[01:27] 但两三天后
[01:28] 应该都觉得是一个
[01:29] 还可以初步的加码点
[01:31] 那我会定位成初步的加码点
[01:33] 自然是觉得
[01:34] 有时候通膨啦
[01:35] 油价这些疑虑
[01:36] 它会反反复复的来洗刷
[01:38] 所以呢
[01:39] 后面应该还会有
[01:40] 更好的加码点
[01:41] 不过不管怎样
[01:43] 这礼拜两千点
[01:44] 直接补回来
[01:45] 原因就是哪一步一步呢
[01:48] 好第一步
[01:48] Google的开发者大会
[01:50] 有跟大家分享
[01:51] Google本身没有涨
[01:52] 也可能因为
[01:53] 在开发者大会之前
[01:55] 就已经先涨了
[01:56] 对不对
[01:56] 就已经先涨了
[01:57] 但是他提出的Gemini的进化
[01:59] 加上他的AI眼镜
[02:00] 软硬体都有推出新的想法
[02:03] 我觉得他就是证明
[02:05] AI他还是会继续落地
[02:07] 也有提到
[02:08] 这个AI眼镜
[02:09] 之前可能很多人还不想买
[02:11] 可是如果加上非常方便的Gemini
[02:13] 以及不断进化外形
[02:15] 或是功能
[02:16] 轻便性等等的
[02:17] 他确实是有可能普及的
[02:19] 这个是Google给的第一棒
[02:20] 第二棒就是昨天
[02:22] 明翰哥来也提到的
[02:24] 回答财报
[02:25] 回答自己有没有涨
[02:26] 没有涨
[02:26] 但是他告诉大家什么
[02:28] AI没问题
[02:29] 我的客户很分散
[02:30] 现在不是只有靠四大云端业者了
[02:33] 各国的企业政府
[02:34] 中小企业等等的
[02:36] 他们都需要用到我们的服务
[02:38] 我的客户是变更分散
[02:40] 未来的展望更好
[02:41] 没有卖中国一点关系都没有
[02:43] 好那第三棒来啦
[02:45] 应该说是之前可能大家都觉得
[02:48] 虽然跟黄仁勋是亲戚关系
[02:50] 但是却一直被压着的
[02:52] 但近期AMD的股价是涨非常多的哦
[02:57] 而所谓的苏之锋苏妈也要来台湾了
[03:00] 以前光环真的都在华文训身上
[03:03] 这次不一样
[03:03] 昨天凌晨提到要送一个100亿美元的大礼包到台湾来
[03:09] 点名的厂商有很多是封测厂商
[03:13] 要专攻先进封装
[03:14] 这个礼包没有让AMD大涨
[03:17] 有拉尾盘而已
[03:18] 可是又让台股今天的科技股大旋风
[03:21] 所以一棒接一棒
[03:23] 完完全全在证实
[03:25] 台湾在AI上面的地位
[03:26] 我觉得这个是很令人骄傲的
[03:28] 不过还是要提醒
[03:29] 这三天很开心
[03:31] 但是会不会后面又有一些
[03:34] 有的没有的俄语
[03:35] 这个很难避免的
[03:36] 信心往往就是这样
[03:38] 瞬间你会觉得完了
[03:39] 但瞬间你又觉得
[03:41] 台湾实在太强了
[03:44] 我先来欢迎今天的来宾
[03:44] 我们刚刚在录音前
[03:46] 也聊了好一阵子
[03:47] 今天来的是我们的选股教练
[03:49] 韦泰
[03:49] 嗨 赵邦好 大家好
[03:51] 每次跟韦泰来都聊得很开心
[03:54] 因为韦泰跟很多产业界的人
[03:56] 真的非常熟
[03:57] 所以我们都会交换很多
[03:58] 这个公司的内幕
[04:00] 但今天不是要讲这个
[04:02] 我们先来讲今天的盘面
[04:03] 因为韦泰一看到我也是说
[04:05] 真的是没有想到会
[04:06] 一下子就V上来又回到四万二
[04:09] 我们先来讲这个态势
[04:10] 也许是一棒接一棒
[04:12] 也许台湾的挨股非常厉害
[04:13] 但是投资人可能也会有一点觉得
[04:16] 机会好少哦
[04:17] 如果只在前几天
[04:18] 跌破月线那三四天
[04:20] 没有赶快做决定
[04:21] 今天有好多公司又喷上去了
[04:24] 然后甚至创历史新高了
[04:26] 对
[04:27] 我今天对于这个盘试
[04:28] 我真的有点surprise
[04:30] 因为我刚刚看一下
[04:31] 今天这个统计资料
[04:33] 在集中市场上涨加速有798家
[04:36] 涨停板的加速61家
[04:39] 然后下跌加速428家
[04:41] 然后跌停两家
[04:43] 那OTC上涨的加速更多
[04:46] 802家
[04:47] 下跌357家
[04:49] 我说更多是它的比例上
[04:51] 它的比例上
[04:52] 其实OTC这边
[04:54] 这个涨停板的加速有60加
[04:57] 然后上涨加速802加
[05:00] 下跌加速357加
[05:03] 然后下跌停板加速1加
[05:05] 这个比例实在相差的是太悬殊了
[05:07] 所以这个市场上面
[05:09] 这个看起来
[05:11] 就像刚刚赵娃所提到
[05:12] 就是让你犹豫一下
[05:14] 不能够犹豫太久
[05:16] 然后就上去了
[05:17] 对
[05:18] 而且有些个股真的是
[05:21] 像那个建策
[05:24] 这个本来在整个现行价格上
[05:27] 真的超级超级
[05:29] 让人家觉得没有信心
[05:31] 其实我们佩服建策
[05:32] 因为其实我之前在讲散热的时候
[05:34] 我已经不太讲建策的原因
[05:35] 是因为它后来变成一个法人局
[05:37] 它的平均的本益比等等的
[05:39] 它都远超过其他的散热股
[05:42] 所以我比较喜欢讲起红
[05:43] 或者是比较落后的双红
[05:45] 甚至是高利都好
[05:46] 很少想去聊建策
[05:48] 基本上就是他出待机
[05:50] 就是军乐片两片变一片
[05:52] 这个事情
[05:52] 然后跌下来
[05:53] 跌下来之后就变成我的节目
[05:55] 几乎天天都要讲一下建策
[05:57] 真的
[05:57] 稍微讲一下
[05:58] 今天他也是强势反弹了
[06:01] 对
[06:02] 那我跟你说
[06:03] 之前
[06:04] 我前两天在那个
[06:06] 社大讲课的时候
[06:08] 我还讲说
[06:08] 哇这个
[06:09] 初晓云电子鼓
[06:10] 要跟他玩
[06:12] 还真的心脏要大颗一点
[06:14] 对
[06:14] 他最高点
[06:15] 5685
[06:17] 它的股价的最低点
[06:19] 是来到2800
[06:20] 你知道为什么吗
[06:21] 对不对
[06:22] 因为两片变一片
[06:24] 原来是这样
[06:28] 所以腰斩已经符合
[06:31] 好不好
[06:31] 符合建设的价值
[06:33] 已经符合它两片变一片的
[06:34] 那个基本面
[06:35] 这开个小玩笑
[06:37] 对开个玩笑
[06:38] 我只是觉得
[06:39] 哇这个
[06:40] 从5600多块
[06:42] 掉到2800
[06:43] 这就是腰斩
[06:44] 而且才短短一个月不到的时间
[06:47] 然后就跌这么凶
[06:49] 哇
[06:49] 这个之前没有跑的人
[06:53] 假设他在前两天开始卖
[06:56] 应该现在都吐血了
[06:58] 没错
[06:58] 不过这两天的大涨
[07:01] 我其实倒没有很意外
[07:02] 因为
[07:03] 我应该说这个叫做经验法则
[07:06] 因为其实这一次建策
[07:09] 他的这个回档
[07:10] 说实话有一点点
[07:12] 太让人家意外
[07:14] 那么这种让人家意外
[07:16] 然后甚至想跑都跑不掉的这种情况
[07:20] 在股价的一个表现上
[07:24] 它往往会出现一个跌深的大反弹
[07:27] 那这大反弹有可能就是大家所说的
[07:30] 这种所谓的主力自救
[07:32] 或者是说有一些所谓的做解套波
[07:37] 或者逃命波
[07:38] 类似这样子的一个
[07:40] 所谓的股价的表现
[07:42] 所以我想说这边除了这个建策之外
[07:46] 像是另外一档像这个什么红藤
[07:49] 红藤也是跟着下去
[07:50] 因为还有是均热片提成
[07:52] 对这一波也是
[07:53] 这两天都有出现那个涨停板的一个表现
[07:57] 那所以我觉得之前套在相对高档的这个投资朋友
[08:01] 这次应该要
[08:03] 我个人觉得应该是要把握他这个反弹的一个机会
[08:07] 如果说他在整个的上涨过程当中
[08:11] 这个追价买盘
[08:13] 没有这么的积极的话
[08:15] 我觉得他在这一波
[08:16] 你要他突破前波转的高点
[08:18] 我觉得机会有点难
[08:20] 但是你可以少赔一点就少赔一点
[08:23] 这个是我个人的看法
[08:24] 对
[08:24] 那其他的也让我很意外
[08:27] 像6274的这个台药
[08:29] 台药也大复活
[08:30] 因为外资又出报告
[08:32] 1888
[08:33] 对
[08:34] 当时这个在修正之前
[08:37] 那个股价弱到不行
[08:38] 一开盘9点半
[08:39] 自己就打到跌停板
[08:41] 然后就掉下去
[08:42] 然后隔天还一堆人在卖
[08:44] 就马上休息个两天止跌
[08:46] 这两天又跳上去了
[08:48] 最近的这个操作真的是
[08:51] 搞不好真的叫做
[08:53] 一动不如一进
[08:54] 干脆就不要动了
[08:56] 干脆就成本如果不是那么高
[08:58] 有时候可能就是抱着
[09:00] 或者是有突破
[09:03] 你自己觉得受不了的点位
[09:04] 例如说台澳这种的
[09:06] 或是像之前建策好了
[09:08] 真的去追高的
[09:09] 当然第一时间出场
[09:11] 我觉得这个还是有必要
[09:12] 因为你
[09:13] 建设你没有第一时间出场
[09:15] 你后面你哪有办法忍耐
[09:16] 那个四成五成的大跌
[09:18] 对不对
[09:18] 那台药其实也是
[09:20] 我们先撇开这两天
[09:21] 变得强势来说
[09:23] 它忽然跌停板
[09:24] 如果你没有在第一时间出场
[09:25] 你可能后面抱的
[09:26] 其实你的压力很大
[09:27] 但反过来说
[09:29] 有的人可能台药
[09:30] 是买在几百块而已
[09:31] 买在甚至三四百
[09:32] 搞不好都抱上来的也有
[09:34] 那就根本跌一根停板
[09:36] 两根停板
[09:36] 都还在可忍耐的范围内
[09:38] 那就没差
[09:39] 所以有时候建立部位
[09:40] 你的想法到底是
[09:41] 我真的买便宜了
[09:43] 所以我觉得你很长线的抱着它
[09:45] 还是我就是觉得
[09:46] 现在我追个强势
[09:48] 没想到被烫到了
[09:49] 所以我一定要设一个很短的均线
[09:51] 甚至前一天K棒的低点
[09:52] 破了就出场
[09:54] 我觉得这些是大家在进场的时候
[09:56] 一定要想好
[09:57] 那你到底什么时候要卖掉
[09:58] 你要不要卖掉
[10:00] 还是船家宝
[10:01] 我觉得这个事情要想清楚
[10:03] 对 其实我最近一直在想
[10:05] 这个操作面的一个问题
[10:08] 那我也跟我的学生在讨论
[10:11] 其实第一个
[10:12] 我顺便跟大家做分享
[10:14] 其实做股票
[10:15] 起手式很重要
[10:17] 这就是为什么
[10:18] 我其实做到现在
[10:21] 我个人还是比较prefer
[10:22] 去找右下角的股票的原因
[10:25] 因为其实在那种
[10:27] 追逐这种强势股的
[10:30] 这种做法来讲
[10:31] 第一个就是
[10:33] 有时候是看得到吃不到
[10:36] 就像刚刚我们提到
[10:37] 这些建策
[10:37] 或者台药等等
[10:39] 你可能买了之后
[10:40] 涨上去
