[00:00] 欢迎收听赵华宇古货载第1120集
[00:09] 今天是2026年的6月16号
[00:12] 今天的台股依旧是上涨的
[00:14] 今天台股中场上涨了412点
[00:17] 现在已经来到了45809点
[00:20] 也就是非常接近46000点了
[00:22] 如同礼拜一有提到的
[00:24] 上个礼拜的洗刷
[00:26] 仿佛一场梦一样
[00:27] 在美伊决定要签署和谈的协约之后呢
[00:32] 市场就恢复了平静
[00:33] 甚至有庆祝行情
[00:35] 不过大家可能也有留意到
[00:36] 这几天的量能就不像之前
[00:39] 在非常狂热的时候
[00:40] 上四万六千五的时候
[00:41] 什么1.5兆1.6兆
[00:43] 这几天一直都在1兆1.1兆的附近晃来晃去
[00:47] 所以看得出来
[00:49] 似乎大家还在小小的观望或略略的担心什么
[00:53] 那昨天有提到
[00:54] 其实最便宜的可能是台积电
[00:56] 今天其实Alicia一家外资
[00:59] 把台积电的目标价调高到3500块钱
[01:02] 可是台积电今天其实一开盘
[01:05] 一点表现都没有
[01:07] 反而是因为尾盘拉上来
[01:09] 今天收贷最高
[01:10] 可是拉上来的同时
[01:12] 中小型股就有点压力了
[01:14] 今天我们有影片版
[01:15] 今天我们有影片版
[01:18] 而且是大家很喜欢的来宾
[01:20] 一样放在招好艾伦说的YouTube频道
[01:22] 今天来宾先来欢迎他
[01:24] 就是我们的AI达人蔡明翰
[01:26] 赵华观众朋友听众朋友大家好
[01:29] 因为上个礼拜二我们才在聊
[01:31] 上个礼拜一杀下去
[01:34] 有点恐慌
[01:35] 礼拜二大涨对不对
[01:36] 然后明翰就有特别跟大家说
[01:39] 可能会历经一些起起伏伏
[01:41] 可是AI没什么问题
[01:43] 你知道吗
[01:44] 你礼拜二讲完
[01:45] 礼拜三就又出现一个大喜的时候
[01:48] 大家的信心有点瞬间崩解
[01:51] 我那时候就在思考说
[01:52] 明翰昨天才来讲
[01:54] 可是又杀下去的时候
[01:55] 就忽然又很怀疑这一次
[01:57] 不过经过了上个礼拜
[01:59] 这边来请教明翰了
[02:00] 当然以这两天的盘试来看
[02:02] 是一个回暖了
[02:04] 但是量能没有出来的情况下
[02:06] 以及虽然油价跌了
[02:08] 我们觉得连准会得到了一个护身符
[02:10] 不用去强力的强调升息等等的
[02:13] 可是事情就这样子
[02:14] 告一段落
[02:15] 结束了吗
[02:16] 就恢复顺行了吗
[02:17] 我个人觉得
[02:19] 这些刚刚那个利多
[02:21] 我凭良心讲
[02:23] 我觉得利率多激励效果
[02:25] 可能会不如大家预期
[02:27] 为什么
[02:28] 你现在又不如大家预期了
[02:31] 我这样讲
[02:32] 我的结论是说
[02:33] 这个利率多
[02:34] 我觉得这个激励效果会非常有限
[02:37] 原因到底利率有多大
[02:41] 应该说它到底反转的一个架构
[02:44] 如果说我们用另外一个情境好了
[02:47] 假设因为现在战火
[02:49] 或者是说通膨很严重
[02:51] 导致股市有很大的压力
[02:53] 不断往下走
[02:54] 哇那这时候翻转
[02:56] 就是一定是V型喷出了
[02:58] 可是问题是
[02:59] 你就回过头来
[03:00] 这个利空有导致股市下跌吗
[03:03] 老实讲根本没有
[03:04] 其实从这个开战三月以来
[03:08] 只有一个月的压力
[03:09] 后面是在创高的
[03:11] 那代表这个利空
[03:12] 本来就不是利空了
[03:14] 那你这个利空拿掉
[03:15] 凭什么大张
[03:16] 其实这个就是一个
[03:17] 蛮简单的推论嘛
[03:18] 那你说完全没有效果
[03:21] 也不能这样讲
[03:22] 但是我只是说
[03:23] 这个效果非常有限
[03:24] 我常常跟投资人讲
[03:25] 这一块呢
[03:26] 平常心看待就好
[03:28] 那比较好的现象就是
[03:30] 不会再给大家一些理由
[03:32] 去做拉回
[03:33] 你又未来不要说
[03:35] 因为战火
[03:36] 因为通膨
[03:37] 因为联准会
[03:38] 我觉得这一块来讲
[03:39] 都必须要慢慢的移除
[03:41] 而且我不断跟大家提到
[03:43] 就是说
[03:44] 这三个月通膨确实很严重
[03:46] 可是我一直跟大家讲
[03:48] 不是我知道
[03:49] 是川普知道
[03:50] 连总会的官员也都知道
[03:52] 就是这个是暂时的
[03:54] 所以短时间内
[03:55] 他们不可能做什么动作
[03:57] 而且比较好的现象
[03:58] 就是大家去看一下通红数字
[04:00] CPI PPI都一样
[04:02] 就是到三月以前
[04:04] 其实它是持续下滑
[04:05] 三月之后才开始快速攀升
[04:07] 所以代表你就眼睛遮起来
[04:09] 三月以后不要看
[04:10] 代表它本来就是在一个下降趋势
[04:13] 那完全都是因为战火
[04:14] 所以代表战火结束之后
[04:16] 它又会开始往下走低
[04:19] 所以整体架构来讲
[04:20] 结论就刚刚提到
[04:22] 这是不是利多答案是
[04:23] 但是不要靠他希望有多好的回报
[04:27] 因为本来他就不是个利空
[04:29] 凭什么这个不是利空的利空
[04:31] 拿掉之后会大涨
[04:33] 这个论点就已经不合理
