[00:00] 欢迎收听赵华宇股货载第1133集
[00:09] 今天是2026年的7月6号
[00:12] 好今天的台股呢
[00:14] 依旧是一个量缩的情况
[00:15] 因为上个礼拜一到礼拜五
[00:17] 特别到礼拜五
[00:19] 其实后来我们从这个收市率
[00:21] 各台财经的收市率来看
[00:24] 有一点冷
[00:25] 也许是因为上个礼拜是一个
[00:27] 几乎天天都低量的状况
[00:28] 也许是暑假开始了
[00:30] 大家有比较多想要去玩的心情
[00:33] 好像每一年到了暑假
[00:34] 都会有一点点干扰到盘面上的热度
[00:38] 不过今天我觉得
[00:40] 它延续到上个礼拜五的一些事情
[00:42] 就是传言满天飞
[00:44] 而这个传言都来自某一家券商报告
[00:48] 叫Semi Analysis
[00:49] 不太好念
[00:51] 那他们就一路从记忆体
[00:53] 出到这个挥打的机柜
[00:55] 出到这个PCB有问题
[00:57] 一路出
[00:58] 所以像今天盘面上
[00:59] 比较多的问题就是在PCB
[01:01] 这个同博基板跟载板的再度重挫
[01:05] 突然之间盘面上的大明星
[01:08] 变成了好像重挫的对象
[01:12] 重杀的对象
[01:14] 不被信任的对象
[01:16] 那本来是以为说像好
[01:18] 这个载板三雄好了
[01:20] 三档搞不好都要上千金那种态势
[01:22] 现在只剩下南电
[01:24] 也是重挫
[01:24] 锦硕更是从900多
[01:26] 一口气跌到700多
[01:27] 这个破洞幅度真的非常大
[01:29] 那今天排面上
[01:30] 当然还是有主流
[01:31] 主流依旧在所谓的主动远见
[01:33] 但是当当涨停的情况下
[01:35] 我也收到很多的讯息说
[01:36] 就硬的头皮追吗
[01:38] 到底该怎么处理
[01:39] 传言满天飞
[01:41] 其实也好
[01:42] 因为它会让过热的行情
[01:44] 变得有一点点像是半信半疑
[01:47] 重新的筹码洗牌
[01:49] 跟主流的替换
[01:51] 甚至是主流休息后
[01:52] 有可能再重新攻上来
[01:54] 所以到了今天
[01:56] 还是一个半信半疑
[01:57] 一亮能也比较缩的情况下呢
[01:59] 该怎么样来适度的
[02:01] 在这样的行情中布局
[02:02] 因为他就显示的不是过热了
[02:04] 他显示的是一种观望
[02:06] 好 先来欢迎今天的来宾
[02:07] 今天来的是题材猎人汉玮哥
[02:09] 赵好 各位听众朋友大家好
[02:11] 各位观众朋友大家好
[02:12] 有点卡卡是因为现在这一集
[02:15] 我们是有影片版的哦
[02:17] 所以前面有个镜头
[02:18] 那一样会放在赵华爱伦说的频道
[02:20] 那今天我也想办法做了一点调整
[02:22] 有非常多的朋友说
[02:24] 啊 有影片没有错
[02:25] 可是没有字幕
[02:26] 有字幕真的又是另外一番工程
[02:29] 要叫字
[02:29] 但我今天有请编辑帮忙一下
[02:32] 也许不会是一个百分之百正确的字幕
[02:34] 可是会尽量让像股民股号
[02:36] 这种重要的讯息
[02:37] 是有正确的叫过字的
[02:41] 但是我们先回到今天的盘面
[02:43] 其实你说叠呢
[02:44] 也没有叠很多
[02:45] 今天大盘叠了224点
[02:47] 可是因为台积电没有叠
[02:50] 台积电没有叠
[02:51] 就叠到中小型股上面
[02:53] 中小型股又特别集中在某一些族群
[02:57] 像刚刚讲的载板
[02:58] 同博基板
[02:59] 台光电
[03:00] 上个礼拜五杰出
[03:02] 这个营收历史新高
[03:04] 还在夸赞它年增120%
[03:06] 台光电威啊
[03:07] 还讲说明年台光电
[03:09] 就有可能超越斗山
[03:10] 变成这个世界第一大的同博基板厂
[03:13] 今天就直接给你来一根叠听板
[03:15] 这些都跟刚刚我们讲到的
[03:17] 有一家颜料机构
[03:18] 叫Semi Analystics
[03:19] 它最近出了很多的报告
[03:21] 每一个报告都在唱谁
[03:23] 不管看什么产业
[03:25] 就是拉碎
[03:26] 然后都围绕在什么
[03:28] 围绕在挥打的机柜
[03:29] 一下说机柜的这个机体用量要减半
[03:32] 一下又说这个机柜因为良率的问题
[03:35] 所以明年是没有办法完整上市
[03:37] 像开门机柜
[03:38] 说可能要到2028年
[03:40] 事情都讲得很严重
