[00:00] 欢迎收听赵华谊股货载第1088集
[00:09] 今天是2026年的4月30号
[00:12] 也是4月的最后一个交易日
[00:14] 我们有一个惊奇的4月
[00:17] 我们在整个4月
[00:18] 台股的加权指数上涨了7200点
[00:22] 好厉害
[00:24] 好厉害
[00:25] 那今天的盘是有稍微戏剧性的
[00:27] 戏剧性在几个地方
[00:29] 开盘的时候
[00:30] 其实真的叫气势如虹
[00:32] 我也吓了一大跳
[00:33] 因为昨天夜盘是跌的
[00:35] 但我们今天台指期一开盘
[00:36] 就是四五百点开上去
[00:38] 然后现货开盘也是
[00:39] 原因当然是因为
[00:41] 在美国有四大CSP云端业者
[00:44] 公布财报
[00:45] 那因为是盘后公布
[00:47] 所以会参考他们盘后的股价表现
[00:49] 那其中Google
[00:51] 他的盘后表现是相当好的
[00:52] 因为他财报非常的优异
[00:54] 亚马逊也还不错
[00:56] 只有Meta稍微弱一些些
[00:58] 总而言之
[01:00] 在这样的激励之下
[01:01] 我们就开高了
[01:02] 开高出来的话
[01:03] 大家就觉得
[01:04] 哇这个四月非常热闹
[01:06] 那第二个戏剧性
[01:07] 自然就是在尾盘了
[01:09] 尾盘突然之间
[01:10] 啪
[01:10] 全支股
[01:11] 一个杀尾
[01:12] 所以呢
[01:12] 中场反而是下跌了376点
[01:16] 今天的高低点落差
[01:18] 是921点
[01:20] 921点的一个振幅
[01:23] 在这个四月的最后一个交易日
[01:25] 但无论如何
[01:26] 历经了三月的低潮期
[01:28] 4月涨了7000点
[01:30] 希望大家都有在4月
[01:31] 多多少少是一个获利的状态
[01:34] 但也因为几次攻到4万点这个附近
[01:37] 看得出来
[01:38] 说实话在这个时间点
[01:40] 要跟大家讲说
[01:41] 告诉你那4万点一下就过了
[01:44] 看5万
[01:44] 这样的人我觉得也不是很负责
[01:47] 也比较没有
[01:48] 但是告诉你
[01:49] 跟你讲接下来
[01:50] 就会因为什么什么原因
[01:52] 跌回3万点
[01:53] 也没有这样的感受
[01:55] 所以我们现在在4月的最后一个交易日
[01:57] 有一点点
[01:58] 好像在十字入口
[01:59] 对不对
[02:00] 五月会怎么样呢
[02:02] 五月也有很多事情啊
[02:03] 五月大家要报税了
[02:04] 我现在就已经有点在头痛了
[02:06] 我已经有试算了一下
[02:08] 就觉得
[02:08] 你是赚太多了
[02:09] 好旁边有人
[02:10] 这个人忍不住了
[02:12] 没有你赚很多
[02:13] 然后五月像美国有一个俗业嘛
[02:17] 对不对
[02:17] Sale in May and go away
[02:19] 但当然这个不一定是
[02:21] 每一年都会这个样子
[02:22] 像我们去年遇到对等关税
[02:24] 那当然不管你有没有sale
[02:26] 或是你sale完之后很后悔
[02:28] 因为后来又拉上去了
[02:29] 但是现在毕竟
[02:30] 真的是涨得比较高了
[02:32] 有没有这样的一个魔咒
[02:33] 又要再出来呢
[02:35] 到底该怎么判断
[02:36] 我们说AI改变了很多的节奏
[02:38] 确实
[02:39] 那像今天虽然这个
[02:41] 特异电又杀尾盘嘛
[02:42] 那但是中小型股还行
[02:44] 贵买指数还是收红的
[02:46] 所以我们有看到
[02:47] 包括像今天的机器人
[02:49] 包括像最厉害的
[02:51] 吓死人了
[02:52] 载板
[02:53] 载板
[02:53] 汇丰证券正式把新兴的目标价
[02:56] 也调上了1000块钱以上了
[02:58] 那载板今天南电也成为了千元股
[03:01] 强势股很多
[03:02] 可是我们要怎么样掌握这个强势股
[03:05] 因为也有人涨一涨回落很多
[03:07] 例如说像记忆体
[03:08] 今天就又集体回落
[03:09] 大家觉得莫名其妙
[03:10] CPU今天又集体转强了
[03:13] 好这个节奏怎么抓
[03:14] 刚刚旁边这个人一天到报税
[03:15] 反应很大
[03:16] 现在欢迎他出场
[03:17] 就是我们的国家级基金操盘手
[03:20] 黄峰凯凯哥
[03:21] 大家好
[03:21] 我今天提前一天来跟大家报道
[03:23] 对
[03:24] 本来是礼拜五
[03:26] 礼拜五男孩
[03:27] 现在是礼拜四
[03:28] 刚好也帮这个四月做一个总结
[03:31] 今天还包括
[03:32] 如果等一下有讯息进来的话
