[00:00] 歡迎收聽趙華與古惑仔第1033集
[00:09] 今天是2026年的2月5號
[00:12] 我們進入到了風關倒數
[00:15] 那今天算是疊是比較重一點點的
[00:18] 因為這段時間雖然有疊有到月線
[00:20] 但是連續兩天又反彈
[00:22] 那今天疊了488點
[00:25] 量能還是在7000以下
[00:27] 我們的量能應該會隨著接近風關日
[00:30] 一天一天的減少
[00:31] 除非有意外的事情
[00:32] 不然的話應該會是慢慢的退場的人會比較多一點
[00:36] 慢慢慢慢交易會比較清單一點
[00:38] 但是美股的震盪
[00:40] 他們沒有要放假
[00:41] 反而現在比我們劇烈許多
[00:44] 昨天晚上許多的美股科技股像記憶體
[00:47] 這個Sandisk跌了十幾趴
[00:49] 美光也跌
[00:50] 所以它也帶動今天盤面上臺股的記憶體的狀況是比較不好的
[00:54] 但是呢
[00:55] 昨天我們知道有這個谷歌的財報
[00:58] 其實谷歌的財報看起來
[01:01] 真的沒有什麼問題啊
[01:03] 資本支出也提高非常多
[01:04] 但盤後還是跌哦
[01:06] 這就讓人家覺得
[01:08] 現在美股跟這個圍繞在AI相關的
[01:11] 似乎怎麼樣的利多
[01:14] 都有一點長不動的味道
[01:16] 是不是這個OpenAI給大家的陰霾太大了
[01:19] 但臺股相對今天跌488點
[01:22] 不太能說跌得很重
[01:24] 只是跟昨天相反的情形
[01:26] 是昨天臺積電把空間浪出來
[01:28] 所以你看到很多中小型股
[01:30] 熱門題材股是
[01:31] 檔檔漲停
[01:32] 50幾檔漲停
[01:33] 那今天的話有很多
[01:35] 前兩天熱門的像低軌衛星
[01:36] 載板
[01:37] 當然包括記憶體
[01:39] 紛紛回檔CPU
[01:41] 也回檔只有少數做點放
[01:44] 那所以今天可能對大多數人來說
[01:46] 哎呀
[01:46] 昨天還在想
[01:47] 我要不要捨不得退場
[01:49] 今天就想早知道退場一下
[01:52] 就不用吃今天這一根了
[01:54] 心情天天都不同
[01:55] 但是趙華最近的節目常常提醒
[01:57] 我們要做到的就是先在年關前
[02:00] 把你的配置先處理好
[02:02] 那你要不要爆股過年都不會是很大的煩惱
[02:05] 我們先來歡迎今天的來賓哦
[02:07] 今天來的是我們的股期雙分析師
[02:09] 紀委名小明同學
[02:10] 哈嘍各位聽眾朋友大家好
[02:12] 好小明同學來
[02:14] 我們先從美國講回來好了
[02:15] 因為說實話這段時間
[02:17] 臺股是比美股強的
[02:19] 即使到了今天我們跌
[02:21] 其實我覺得還是比美股強
[02:23] 納斯達克已經跌破季線了
[02:25] 那我們今天回檔
[02:27] 還沒有到月線呢
[02:28] 所以再怎麼說
[02:29] 整個臺灣在這一次裡面
[02:32] 真的是強橫搶的一個狀態
[02:35] 可是我們現在接下來
[02:36] 在四個交易日就要封關了
[02:38] 我們先從美股看
[02:39] 美股到底為什麼
[02:40] 現在科技股在害怕什麼事情
[02:42] 我們知道前一陣子講的是
[02:44] 這個虧打不一定會投
[02:45] 一千億美元給這個OpenAI
[02:48] 然後現在可能像大家
[02:49] 對OpenAI有一點點
[02:50] 不信任感越來越擴大
[02:51] 對不對
[02:52] 所以甲骨文也有點遭殃之外
[02:54] 現在連谷歌明明財報
[02:56] 看起來沒有什麼狀況
[02:58] 還是我沒看懂
[02:59] 那引發的還是盤後繼續跌
[03:01] 你要怎麼樣來看待美股的變化
[03:04] 以及貝森特講了一句話
[03:05] 他說川普是有權介入FED的降息的
[03:09] 我覺得應該說是市場上面紛紛擾擾
[03:13] 我先講一下昨天的財報好了
[03:15] 我們一個一個來幫大家逐一擊破
[03:17] 財報的部分
[03:19] Alphabet說真的數字開出來
[03:21] 沒有任何問題
[03:22] 你絕對不會用爛來形容這份財報
[03:24] 可是為什麼他公佈完以後
[03:26] 盤後你可以看到Google的股價
[03:28] 事實上是先跌7%
[03:29] 最後尾盤有稍稍收斂
[03:31] 最後是收跌兩個百分點
[03:33] 這個波動其實很顯然的是
[03:35] 市場對財報投了一個不信任票
[03:38] 那為什麼這個財報會叫做不信任票
[03:40] 其實這就是因為財報
[03:41] 他的數字沒有問題
[03:43] 關鍵在於資本支出
[03:45] 資本支出這一次我沒記錯的話
[03:47] 應該是直接一口氣上調
[03:49] 2026年到1500億美元
[03:52] 到1700億吧
[03:52] 大概是在這個range附近
[03:54] 這個數字是2025年的兩倍
[03:56] 所以市場呢
[03:57] 他看到的是
[03:58] 哇你資本支出拉這麼高
[03:59] 那你會不會沒辦法回本
[04:01] 所以市場是在擔心
[04:02] 你能不能回本
[04:03] 資本支出高這件事
[04:05] 過去會被我們當成利多來包裝
[04:07] 或者是形容
[04:08] 會覺得說
[04:09] 只要公司願意去做資本支出
[04:11] 願意去做投資
[04:12] 代表對於未來非常的樂觀
[04:14] 可是你看哦
[04:15] 當今天所有的科技股
[04:16] 經歷過了一輪大牛市以後
[04:18] 來到這個位階
[04:19] 大家開始
[04:20] 有那種理性的味道
[04:22] 又重新迴歸
[04:23] 他們在檢視財報
[04:24] 不會說你的資本支出
[04:25] 是越高越好
[04:26] 我們再講更極端一點
[04:27] 假如今天資本支出
[04:29] 去年的Google
[04:30] 它可能是七八百億好了
[04:32] 今年一口氣跟你說
[04:33] 我的資本支出
[04:34] 要擴充到七八千億
[04:36] 假如是這樣
[04:36] 我想只要你是一個
[04:38] 稍微理性一點的投資人
[04:39] 你第一個疑問一定是想
[04:41] 那你什麼時候要回本
[04:42] 你新年砸了這麼多錢
[04:44] 你打算什麼時候要回本
[04:45] 對 但這個事情不是討論了
[04:47] 真的是一段時間
[04:48] 然後每一次
[04:49] 都會造成大家一些恐慌之後
[04:51] 然後又OK又好了
[04:52] 對
[04:52] 所以因為資本支出
[04:54] 我先講我的立場
[04:55] 我先不管股價漲跌
[04:56] 我的立場是
[04:57] 我是蠻認同Google
[04:58] 在資本支出這一塊
[05:00] 把它一口氣拉昇到
[05:01] 一千多億美元以上
[05:02] 因為畢竟你現在
[05:04] 全世界這些大型的LM
[05:06] 就是大元模型
[05:07] 他們的競爭就是這麼激烈
[05:10] 你今天OpenAI
[05:11] 它稍微多好一點
[05:12] 那大家就擠過去
[05:13] 今天Gemini稍微好一點
[05:15] 大家又移過來
[05:16] 所以如果他們沒有在這塊
[05:18] 去增加他們的資本支出
[05:19] 很快就會掉隊
[05:20] 你一掉隊
[05:21] 你的產品的營收
[05:22] 基本上會大幅度的下滑
[05:23] 因為我相信大部分的
[05:25] 包含聽眾朋友
[05:25] 還有我自己
[05:26] 對於大圓模型
[05:28] 是沒有忠誠度的
[05:29] 我們沒有任何忠誠度可言
[05:30] 第一個誰便宜我用誰
[05:31] 第二個誰好用我用誰
[05:33] 所以如果今天Google
[05:34] 他做所謂的資本支出
[05:36] 他的目的
[05:36] 其實第一個考量的
[05:38] 不是我什麼時候要回本
[05:39] 而是我要怎麼樣
[05:40] 在AI的大圓模型的競賽裡面
[05:43] 可以脫穎而出
[05:44] 所以對於高資本支出來講
[05:46] 我個人認為沒有問題
[05:47] 而且市場一方面
[05:49] 第一個看到這個數字以後
[05:50] 他會覺得太大了
[05:51] 所以先跌7%
[05:52] 可是我們剛剛在一開場的時候
[05:54] 就有講說他最後尾盤的跌幅
[05:56] 是收斂到只有跌2%
[05:58] 也就代表理性的投資人或華爾街
[06:01] 他們也會意識到
[06:02] 確實Google在這一次的AI競賽裡面
[06:05] 他必須要有大量的資本支出
[06:07] 所以他們想一想
[06:08] 那應該沒事
[06:09] 所以股價又再回來
[06:10] 我相信這個只能把它當成是一個
[06:13] 短期上面的利空
[06:14] 因為就是你行情很熱的時候
[06:16] 特別是如果你稍微有一點震盪
[06:19] 那這股價眼裡真的是容不下任何一粒沙
[06:22] 你只能完全都非常好
[06:24] 同樣的道理也透用在
[06:26] 昨天公佈的是AMD的財報
[06:28] 是
[06:28] AMD的財報
[06:29] AMD的財報其實是好的
[06:30] 可是它對未來的展望
[06:32] 我覺得它有很多事情講不清楚
[06:33] 對
[06:34] 它主要的問題是出在於未來的展望
[06:36] 因為它去年第四季的EPS跟營收
[06:39] 其實都是衝下歷史新高
[06:40] 那為什麼股價會跌這麼兇的原因
[06:43] 是因為它對於DG的營收指引
[06:45] 事實上是比去年D4G
[06:47] 還要再稍微繼儉一點點
[06:49] 對
[06:50] 就是大家之前應該有個印象
[06:52] 你舊的成績不好還行
[06:55] 你講未來展望很厲害就好了
[06:57] 可是AMD有點倒過來
[06:59] 對
[06:59] 它等於是把這個做夢空間給掐掉了
[07:02] 所以它股價跌得比較兇
[07:03] 市場的資金是分得出來
[07:05] 所以Google跌比較少
[07:06] AMD跌得比較多
[07:08] 但我想AMD本來在這輪AI競賽裡面
[07:11] 我們一直都知道
[07:12] 他確實是玩家一個player之一
[07:14] 可是你要他跟NVIDIA打對臺
[07:17] 好像市場上還沒有真的
[07:19] 有誰把他放到同一個等級上面去做PK
[07:22] 所以我覺得AMD昨天跌幅很重
[07:25] 那也連帶的讓輝達
[07:27] 我記得跌了三個百分點
[07:29] 但這個東西我們可以把它視為是
[07:31] 美股的資金輪動
[07:32] 臺股會資金輪動
[07:33] 美股也會有啊
[07:34] 所以昨天漲的是誰
[07:35] 是Lumenton
[07:36] Lumenton漲很多
[07:37] 就漲7%吧
[07:38] Apple漲了2%左右
[07:40] Lumenton
[07:41] 因為本來在這個
[07:42] 12月下旬接近1月的時候
[07:44] 他那時候是回檔的
[07:45] 如果大家有印象的話
[07:46] 然後立刻就有人就問我了
[07:47] 說這個盧門騰怎麼了
[07:49] 我說盧門騰長了七八倍
[07:51] 你要他怎麼了
[07:51] 不能回檔你
[07:54] 然後也常跟大家分享說
[07:56] 因為大家知道我們在這個頻道
[07:58] 我個人如果講比較活潑的產業
