[00:00] 欢迎收听赵华宇古货载第1097集
[00:09] 今天是2026年的5月14号
[00:12] 如果从今天去看昨天
[00:14] 就会想说昨天盘中有跌到800点
[00:17] 那个时候好像又变成了一个单日盘中的买点
[00:22] 不过没有人会早知道
[00:24] 我们现在也只能就着目前的国际局势
[00:27] 总体经济的状况
[00:29] 台股的基本面继续往前走
[00:31] 因为今天一开盘
[00:33] 最高也冲到了将近800点的涨点
[00:37] 真的是很惊人
[00:38] 那当然最大的原因是
[00:40] 昨天晚上美股的表现是好的
[00:41] 即使所谓的PPI
[00:43] 生产者的物价指数
[00:44] 依旧是冲高的
[00:45] 依旧是冲高的
[00:47] 可是经过CPI
[00:48] 这个消费者物价指数的洗礼
[00:51] 显然大家已经OK了
[00:53] 就觉得
[00:53] maybe那就是三四月的时候
[00:56] 油价上涨的一个变化
[00:58] 不过当然对债券来说是一个压力
[01:00] 联准会已经确定是由华许要接任新的主席
[01:05] 但即使他是川普钦点的人马
[01:07] 恐怕也没有办法抵抗目前这个通膨的态势
[01:11] 但为什么不怕了呢
[01:12] 昨天看起来川习会这件事情对美股是有激励的
[01:17] 一飞机的人我们就开玩笑说这个飞机很重要
[01:21] 这飞机真的要安全到达
[01:22] 半个美国在那个飞机上面
[01:24] 而且黄仁勋本来不在名单里面
[01:27] 最后一刻他也上了飞机
[01:28] 所以呢
[01:29] 大家就会有一些些的期待
[01:32] 通膨跟中国之间的连结
[01:35] 自然是因为
[01:36] 因为中美贸易战的关系嘛
[01:38] 很多中国的低价商品
[01:39] 是已经不能进口美国了
[01:41] 所以这个通膨的
[01:42] 有一部分的担忧
[01:44] 也会来自于这个
[01:45] 那他们也会有点希望
[01:46] 我除了可以卖东西到中国之外
[01:49] 能不能也开放一点
[01:50] 中国东西回来吗
[01:51] 这样子大家可能成本压力
[01:52] 就没有那么高
[01:53] 我觉得有在反映
[01:55] 这样的一个现象
[01:56] 当然今天我们也会来讨论一下
[01:59] 川习会到底对台湾是好呢
[02:01] 还是不好呢
[02:03] 因为如果美中和好
[02:04] 感觉上我们不一定会好
[02:06] 但美中会真和好吗
[02:07] 那另外当然今天碰上去的
[02:09] 被动元件还有记忆体
[02:12] 记忆体昨天有讲群联真是厉害
[02:14] 前四月又赚了一百多块钱
[02:17] 前四月就赚了十个资本额
[02:20] 真的很猛
[02:21] 第二季看来还会更猛
[02:23] 而被动元件国具华星科
[02:25] 今天一开牌就涨停满
[02:26] 这个是真的是非常少见的
[02:29] 好那他们又是相对于在AI涨价缺道题材里面
[02:32] 比较慢涨的一个族群
[02:33] 能不能延续性的继续喷下去
[02:36] 我先来欢迎今天的来宾
[02:37] 因为他跟报价非常的有关系
[02:40] 那就是报价天王幸福哥
[02:42] 哈喽 大家好 美女还有各位听众朋友大家好
[02:44] 幸福哥我们就一项一项来好了
[02:47] 你会想要先讲这个涨价缺道题材的这个部分
[02:51] 记忆体被动元件
[02:53] 还是我们先来聊一下
[02:54] 到底川习会
[02:55] 当然我们不能确切的明白
[02:57] 他们聊了什么事项
[02:58] 那到底对台股的影响
[03:00] 要往正面看待
[03:01] 还是要小小担心
[03:02] 他们和好了
[03:03] 我们的肉会被分走
[03:04] 其实这个国际政经局势
[03:07] 本来就是这个诡谲多变
[03:09] 那美中是全球
[03:11] 这个前两大的一个经济体
[03:13] 也是一个
[03:14] 在不管是政治面
[03:17] 或经济面或军事面
[03:18] 其实双方既有竞争
[03:20] 又有合作
[03:21] 那目前这个情况来看的话
[03:23] 我是認為
[03:24] 任何這個見面有機會談的情況之下
[03:28] 多多少少應該都會對雙方的關係
[03:31] 是會有所緩和
[03:33] 那我想昨天美股的部分
[03:34] 也是有一些反應
[03:36] 那特別是像
[03:38] 這個有個最近的消息就是
[03:41] 中方也釋出一個善意
[03:43] 就是美國的這個花旗
[03:45] 也拿到了中國大陸第七張
[03:48] 獨立外資的這個經營執照
[03:50] 就代表說
[03:51] 其實中美在談判的過程裡面
[03:54] 都會慢慢丟出一些籌碼
[03:55] 那這個籌碼也有可能是
[03:57] 這個金融方面的籌碼
[04:00] 或者說是一些
[04:01] 這個採購方面的籌碼
[04:02] 就看雙方怎麼樣去
[04:04] 在不管是政治面或經濟面
[04:07] 持續的去做一些談判
[04:09] 或有一些實質的進展
[04:11] 那我是覺得說
[04:13] 其實排除掉這些因素來說的話
[04:15] 我想雙方不可能說
[04:18] 就是從現在開始就手握手
[04:20] 一起這個擺設都沒有發生
[04:25] 我是認為談歸談
[04:26] 但是後面的一些小動作
[04:29] 也不要說小動作
[04:30] 後面一些可能觀察對方的一個情況來說的話
[04:35] 也不可能全面放鬆
[04:36] 所以針對一些科技業的制裁
[04:39] 或者說一些什麼稀土管制
[04:40] 就雙方各有各的一個底牌
[04:42] 可以拿來運用
[04:44] 那這個部分能不能夠稍微有一些放寬的情況
[04:48] 我想这一次也是这个
[04:50] 辉达黄仁勋会搭上这一次
[04:52] 这个川普的专机
[04:54] 飞到中国的一个主要原因
[04:55] 看能不能够针对在
[04:57] 辉达的一些晶片进到中国
[05:00] 有一些更宽松的一个政策
[05:02] 我想这个都是
[05:03] 接下来可能发展的方向
[05:05] 不过总归一句话
[05:07] 不管这个政治面的什么发展
[05:09] 我想从
[05:10] 不管是去年4月的川普关税
[05:13] 或今年3月的美伊战争
[05:14] 其实等到事件落幕之后
[05:16] 市場還是會回歸到
[05:18] 基本的經濟面是否成長
[05:21] 我覺得這才是關鍵
[05:22] 因為畢竟看起來今年
[05:24] 整體AI還是發展非常的迅速
[05:26] 特別是在AI伺服器的
[05:30] 這個區塊的需求還是非常的大
[05:32] 當然這個對於台灣
[05:34] 特別是硬體製造
[05:35] 有切入AI的廠商來說的話
[05:37] 目前看起來整個營收跟獲利
[05:40] 還是走在成長的軌道上
[05:41] 所以我先下一個簡單的結論
[05:44] 我認為今年還是一個多頭年
[05:45] 這沒什麼太大的問題
[05:46] 那至於說所謂的漲價題材
[05:49] 我認為台股到了4萬點這裡以上
[05:52] 其實大家可以很明顯的發現
[05:53] 就是主流輪動的非常快速
[05:56] 那你看到一天大漲進去追
[05:59] 可能明天他的這個資金
[06:01] 又跑到別的股票去
[06:02] 不過有一個大前提就是說
[06:04] 這一波特別是上4萬點之後
[06:07] 資金開始去找尋一些所謂
[06:09] 4月相對比較沒漲到的股票
[06:12] 但是他又有受惠AI
[06:13] 我想一個就是記憶體
[06:15] 因為記憶體其實就以南亞科為例
[06:18] 之前今年大概1、2月的時候
[06:21] 最高漲到320吧
[06:22] 325
[06:23] 327對不對
[06:24] 對那後面其實最低有跌破
[06:27] 一度有跌破200塊
[06:28] 後面其實整個4月份
[06:30] 台股前面在衝的時候
[06:31] 它完全沒漲到
[06:33] 那甚至現行還非常弱
[06:35] 一直在季線上下
[06:36] 那個晃來晃去
[06:38] 滑幫店更弱
[06:38] 對那後面其實大家可以看到
[06:41] 財報也好
[06:42] 或者說開出來4月營收
[06:44] 其實數字都還是非常的不錯
[06:46] 是所以大家發現說
[06:47] 這個位階夠低
[06:48] 再加上全球的記憶體的這個
[06:51] 各大公司的股票都在創新高
[06:54] 像韓國股市今年表現非常猛
[06:57] 其實主要就是
[06:58] 他們兩大
[07:00] 這個海力士跟三星
[07:01] 今年的漲幅也非常誇張
[07:03] 那美光也不用提
[07:05] SANDISK這個都在創新高
[07:06] 所以最終最終大家發現
[07:08] 台股好像都沒跟上
[07:10] 那資金就會回來
[07:11] 所以今天南雅科也过了今年初的高点
[07:14] 还有像群联
[07:15] 昨天开的财报也是非常的让人市场惊艳
[07:18] 所以大概第二季应该单季EPS就会超过100块
[07:22] 我想这个群联的潘董市场有一句名言叫做
[07:27] 相信潘董年底就懂
[07:29] 不是黄董吗
[07:30] 潘董看十年的记忆体大缺货
[07:32] 我们先不看那么久
[07:35] 但是我想潘董是最积极的
[07:37] 其实今明两年我想记忆体的状况
[07:39] 还是非常的火热
[07:41] 因为记忆体
[07:42] 我们常常比喻一句话
[07:44] 你把AI伺服器比喻成一个大脑好了
[07:48] 那个GPU它负责运算
[07:51] 但是你运算你总是要有储存
[07:54] 储存就是负责记忆这个功能
[07:56] 不然的话你光算力很强
[07:58] 但是你没有把它记下来
[08:00] 那你就没有办法拿这些资料
[08:02] 来去做你接下来想要做的应用
[08:04] 那就变成一个鲸鱼脑
[08:05] 因为你大脑很厉害
[08:07] 很会算没有错
[08:08] 但是你完全记不住东西
[08:09] 三秒钟就忘记的话
[08:11] 那也没有用
[08:12] 所以我是觉得
[08:13] 基底这个需求
[08:14] 我们之前有讲过很多次
[08:15] 其实我认为
[08:16] 这个所谓的超级循环
[08:18] 是还没有结束
[08:19] 这是一块
[08:19] 所以最近就股价
[08:21] 都开始出现明显的一个
[08:23] 算是补涨的效应
[08:24] 要去跟上大盘
[08:26] 这一波一万点的涨幅
[08:27] 另外就被动元件
[08:29] 之前也是股价四月的时候
[08:32] 大盘开始动
[08:33] 其实被动元件没什么涨
[08:35] 一直到四月底五月初
[08:36] 我们看到
[08:38] 比如说像日本的Murata
[08:40] 这个太阳右电
[08:42] 股价也是一直往上冲
[08:44] 那台湾的国具
[08:45] 华新科或其他备动元件都没涨
[08:47] 所以大家也可以发现说
[08:49] 其实国际股市先涨的
[08:51] 我们后面一定会涨
[08:52] 因为代表说
[08:53] 它不是一个短线的那种什么题材
[08:57] 或者说短线什么利多消息
[08:58] 可能拉个一两根它就熄火
[09:01] 那你看到全球这些一线的
[09:04] 各个产业的龙头大涨
[09:06] 它股价在涨的时候
[09:07] 其實輪著輪著
[09:08] 只要台廠也在這個產業裡面
[09:11] 具有一定的這個地位的話
[09:13] 我是覺得後面其實也可以慢慢上來
[09:15] 那當然被動元件在AI的應用
[09:18] 我們之前也講過
[09:19] 它使用量也會越來越大
[09:21] 甚至如果以這個單位
[09:23] 或者說它一個總容量來說的話
[09:25] 可能在部分一些伺服器
[09:28] AI伺服器上面用的一個高階的型號
[09:31] 可能它的增量都是好幾倍
[09:33] 甚至整體的一個這個容量
[09:36] 它可能会增加10倍以上
[09:38] 所以代表市场也开始慢慢发现
[09:40] 这一些营收跟获利数字
[09:42] 已经慢慢随着AI的加入
[09:44] 有开始越来越多的话
[09:45] 其实也是这一波
[09:46] 为什么被动元件会大涨的主要原因
[09:48] 好 这边的话
[09:50] 像川喜会
[09:51] 为什么刚刚会问幸福哥
[09:52] 到底好还是不好
[09:54] 因为对美股来说
[09:55] 有一个期待
[09:56] 那两个事情刚刚有讲了
[09:58] 一个是卖进去
[09:59] 像刚刚就有传出
[10:00] 这个辉达可能有一些
[10:01] 也是比较
[10:02] 没有那么高贵的晶片
[10:03] 是可以卖进去
[10:04] 新闻又开始跑了
[10:05] 为什么黄仁鑫要去
[10:07] 显然这件事情
[10:08] 还是辉达非常重要的使命
[10:10] 再帮大家回顾一下
[10:12] 为什么会有这个使命呢
[10:13] 因为美国不希望高阶的AI晶片
[10:16] 流到中国去
[10:17] 所以不希望AI技术流到中国去
[10:19] 对不对
[10:20] 所以就开始限制辉达贩卖
[10:22] 辉达要生活
[10:23] 我可不可以卖一些降规版的
[10:25] 这个是事情的前因
[10:27] 即使是降规版的
[10:28] 对他也非常有帮助
[10:29] 能不能跟美国和中国之间
[10:31] 做一个协调
[10:32] 这个是前因
[10:33] 所以黄仁鑫去
[10:34] 肯定这个事情还是得谈
[10:36] 所以对于美股自然是激励的
[10:38] 我可能有一些东西
[10:39] 可以卖到中国
[10:40] 我可能有一些东西
[10:42] 可以便宜的跟中国进货
[10:43] 这个是要的
[10:44] 但是一个大原则
[10:45] 一个很大的原则是
[10:46] 还是不可能让高阶的技术
[10:49] 进入到中国
[10:50] 因为中美的贸易战
[10:51] 没有办法因为这一次的会面
[10:53] 就有翻天覆地的改变
[10:55] 那为什么刚刚讲到台湾呢
[10:58] 台湾在这一次的角色里面
[11:00] 其实很明显
[11:01] 就是一开始大家很担心
[11:03] 你都靠拢美国
[11:04] 你的东西搬到美国去
[11:05] 台积电变美积电是很不开心
[11:07] 可后面看到成绩真的超级好
[11:09] 就是叫做AI红利吃好吃满
[11:11] 所以如果美中之间关系变好
[11:14] 我们搞不好本来吃好吃满的
[11:16] 会不会被中国分一点掉
[11:17] 对不对
[11:17] 但刚刚跟幸福哥在录音前也讨论
[11:20] 他说不用想的太多
[11:21] 因为中美的这个问题
[11:23] 一定是站在自己的利益端要去谈
[11:26] 所以川普也不可能为了说
[11:28] 我要卖到中国
[11:29] 所以我的技术给你也没关系
[11:31] 或是我跟你的世界地位的贸易战
[11:33] 因为现在看起来美国是居于上风
[11:35] 就让你再扳回一城或什么
[11:37] 他们有很多的算计
[11:39] 我们也许不用担心这么多
[11:41] 我们就是继续赚AI红利这件事情
[11:44] 至少在今年看来
[11:45] 应该不至于有什么改变
[11:47] 反而是美股现在有在复苏
[11:49] 有在涨
[11:50] 辉达又创历史新高
[11:51] 下个礼拜辉达公布财报
[11:53] 6月我们computax等等的
[11:54] 有很多事情会延续我们的活种
[11:57] 这边稍微跟大家分享一下
[11:59] 我们讨论出来的一些观点跟想法
[12:01] 刚刚讲到记忆体
[12:02] 这也是一个很有趣的事情
[12:04] 大家还记得
[12:05] 记忆体一波涨上来的时候
[12:06] 赵华就一直说
[12:06] 如果你抓不到的话
[12:08] 因为那个时候
[12:08] 很容易出现集体团灭
[12:10] 因为震荡变得非常大
[12:12] 可是叠着叠着
[12:13] 你就会发现不公平了
[12:14] 对不对
[12:15] 不公平
[12:16] 为什么他们赚那么多钱
[12:18] 然后国际的记忆体大厂
[12:20] 美光
[12:20] SanDisk
[12:21] 海力士都在创非常高的新高
[12:24] 我们却没有跟
[12:25] 然后现在跟上来了
[12:26] 这就是节奏
[12:27] 不是说记忆体没涨过
[12:28] 是记忆体涨过以后
[12:30] 进入到一个非常痛苦的休息段
[12:32] 甚至下跌段
[12:33] 现在重新起涨
[12:34] 它变成比别人落后了
[12:36] 在投资的逻辑上面
[12:38] 这是很有趣
[12:39] 但是当很多机体
[12:40] 陆续是创新高的时候
[12:42] 这个波段可能会再度展开
[12:43] 我觉得这个是大家
[12:44] 要留意的一件事情
[12:45] 还有就是三星罢工
[12:47] 等一下请幸福哥
[12:48] 再帮我们深入地讲一讲
[12:49] 三星罢工到底会影响到
[12:51] 多少机体的供应
[12:52] 再来被动元件
[12:53] 也是赵华之前
[12:54] 不断跟大家提醒
[12:55] 这一波最落后是被动元件
[12:57] 但我万万没想到
[12:58] 国际华新科会这么强势表态
[13:00] 但表态就表态了因为不止他们表态之前什么信昌店什金山店啊密旺时有很多是小型的被动元件早就已经创高了
[13:11] 早就已经创高
[13:12] 再加上大哥国际最近有比较争气
[13:15] 有出来讲过很多次
[13:16] 有往AI的比重提升
[13:18] 有绝对是AI这个涨价的需求的一环
[13:21] 什么的出来做了很多事情之后
[13:23] 投信终于也认可了
[13:24] 所以现在是外资投信
[13:26] 都非常认可国际的情况下
[13:27] 带头冲
[13:28] 这族群我觉得是又相对比较便宜
[13:32] 也交出EPS
[13:32] 也是AI工业的一环
[13:34] 都是可以留意的
[13:35] 那还有等一下会来讲光学
[13:37] 元健大力光也表态了
[13:39] 也是投信看上他
[13:40] 但先回来讲一下三星罢工的事情
[13:43] 辛福哥这三星罢工
[13:44] 因为工会很强硬
[13:46] 但之前韩国政府也有想要来摆平这件事
[13:49] 看来时间越来越近了
[13:50] 似乎摆平不了
[13:51] 对因为其实三星在记忆体产业的地位
[13:56] 就相當於這個晶圓代工的台積電
[13:59] 因為其實記憶體來看的話
[14:01] 韓國兩大廠以低韌來講
[14:04] 三星跟海力士
[14:05] 他們加起來大概就快70%了
[14:07] 光低韌這一塊70%
[14:09] 然後三星甚至在這個內的
[14:12] 就快閃記憶體
[14:13] 它也是全球第一大
[14:14] 所以一旦三星正式罷工之後
[14:17] 對於記憶體來說的話
[14:18] 會有蠻大的影響
[14:19] 而且半導體的產能
[14:21] 有一個特點就是說
[14:22] 如果真的我這個罷工
[14:25] 導致機台生產暫停的話
[14:27] 那不是說我人回去上班
[14:29] 機台馬上就可以生產
[14:30] 一定還要再重新做調教
[14:33] 讓整個機台的一個參數
[14:36] 能夠恢復到正常才有辦法
[14:38] 所以假設罷工兩個禮拜
[14:40] 或說十天好了
[14:41] 後面可能還要再多花一點時間
[14:43] 讓整個設備產線再重新運轉上來
[14:47] 所以如果真的有罷工成功的話
[14:50] 我想對於其他生產廠商來說的話
[14:54] 确实是一个蛮大的一个事件影响
[14:57] 那当然这个谈不谈的程
[14:59] 虽然时间很紧迫
[15:01] 可是一切还没有正式尘埃落定之前
[15:04] 我们也不知道
[15:05] 那只是说以韩国的民族性来说
[15:08] 是非常强悍
[15:09] 我们刚刚在前面就有聊
[15:10] 因为像韩国就有人开玩笑说
[15:13] 在韩国当总统是一个最高风险的职业
[15:17] 都会中叛
[15:18] 好可怕
[15:19] 其实之前韩国比较早的总统有被暗杀的
[15:23] 然后有下台被判刑被关的
[15:28] 甚至还有一任是因为被弹了之后去自杀的
[15:32] 都有
[15:32] 几乎每一任的总统
