[00:00] 欢迎收听赵怀古惑仔第1156集
[00:09] 今天是2026年的8月7号星期五
[00:12] 所以今天是星期五男孩的日子
[00:15] 今天有影片版
[00:18] 大家如果有兴趣的话
[00:19] 也欢迎去赵怀人说的频道
[00:21] 看我们的影片版
[00:22] 当然如果是通勤的朋友
[00:23] 方便听
[00:24] 然后做家事的朋友用听podcast
[00:26] 也是不错的
[00:27] 那今天终于我们算是反弹之路
[00:31] 到今天正式
[00:32] 正式算是一个休息
[00:34] 因为今天的上市加权
[00:36] 跟贵买指数都是收黑的
[00:38] 加上因为台积电
[00:40] 一直都大部分时间在盘上的关系
[00:42] 我想今天中小型股回档的迹象
[00:44] 就会比较明显
[00:45] 但不碍事
[00:47] 今天加权也只是跌了170点
[00:50] 并不是说真的说
[00:51] 好像反弹结束就
[00:53] 一下子大回跌
[00:55] 可是我们也常跟大家分享
[00:57] 因为那么多的股票
[00:58] 每一档走的形态是不太一样
[01:00] 但至少啦
[01:01] 如果有基本面的好不好
[01:03] 至少都谈一段了
[01:05] 谈到这里
[01:06] 稍微我们hold住
[01:07] 等什么呢
[01:08] 等半年报嘛
[01:10] 等七月营收
[01:11] 我们就可能在接下来的旋股里面
[01:14] 它会有强弱势的分明
[01:16] 因为上一段时间就谈啊
[01:18] 跌最深的就赶快谈啊
[01:20] 但谈到今天
[01:21] 大家会发现有一些谈不动
[01:22] 还回跌了
[01:23] 我先来
[01:24] 刚刚已经介绍过了
[01:25] 今天是黄峰凯凯哥
[01:28] 大家好 周浩浩
[01:29] 大家熟悉的星期五男孩
[01:31] 我们刚才已经提到了
[01:32] 今天的盘看起来
[01:34] 就是有一点一点点乏善可乘
[01:36] 昨天有讲到
[01:38] 其实昨天还是有什么散热
[01:40] 哇 摔牌亮灯对不对
[01:42] 然后昨天传产钢铁股也很好
[01:44] 昨天其实有一点是落后补涨的股票也在补涨
[01:47] 那今天我觉得比较有族群性的
[01:49] 还是即将要自动化跟机械人大展的
[01:52] 工具机器人族群是比较明确
[01:54] 可是这个族群不是大族群
[01:56] 所以今天的盘就有一点点
[01:59] 群龙无首的味道
[02:00] 可是也没有关系
[02:02] 因为我们看到7月份营收开到现在
[02:04] 有77家已经创下历史新高
[02:08] 等一会来跟大家聊聊
[02:09] 在6月的时候
[02:11] 其实有180几家创历史新高
[02:14] 没人理
[02:15] 管你创什么新高
[02:17] 杀你个乱七八糟
[02:18] 但是7月份要理了
[02:20] 因为我们现在盘的秩序慢慢回稳了
[02:23] 今天日本韩国都有点小无聊
[02:25] 就小黑
[02:26] 但是就是持稳了
[02:28] 持稳了
[02:29] 基本面就真的变得更重要了
[02:31] 对我觉得其实今天盘面有点怪
[02:34] 就是说好像
[02:36] 不是说这个荷姆兹海峡
[02:39] 已经有解了吗
[02:41] 不是要签个合约了吗
[02:42] 可是你持续看
[02:43] 其实油价没有跌
[02:44] 油价反而是涨上来的
[02:46] 然后美国时间关系
[02:48] 跟赛尼关系
[02:49] 其实没跌
[02:49] 也没跌
[02:50] 然后日韩一开
[02:52] 就开个小路
[02:53] 所以就让他觉得很奇怪
[02:54] 说明明感觉好像是
[02:56] 这个通膨的一律开始要缓解了
[02:58] 怎么好像大家反而都没有什么表现
[03:01] 所以基本上在这地方
[03:03] 我觉得很尴尬就是
[03:04] 因为伊朗讲说
[03:05] 他们只跟卡达签这个合约
[03:07] 并没有跟美国要签任何的停战协议
[03:10] 也就是说打可能还是要打
[03:12] 但是有可能可以让他开始走
[03:14] 不过我觉得对美国而言
[03:16] 只要可以开始
[03:18] 游轮可以通行赫姆治海峡
[03:19] 基本上这个战略的意义
[03:21] 其实他已经达成
[03:22] 因为你要知道
[03:23] 你距离美国
[03:24] 其中选在两个月了
[03:25] 对
[03:25] 在两个月
[03:26] 所以基本上
[03:27] 油价如果再不下来
[03:28] 基本上川普是不用选了
[03:29] 因为你讲再多也没有用
[03:31] 因为油价是
[03:32] 很直接贴近民生的
[03:34] 所以我觉得他们是
[03:36] 一边在看卡达
[03:37] 让他们能够有一些机会
[03:39] 来做一个表现
[03:40] 另外一边就是
[03:40] 慢慢地想要把军事武力
[03:42] 这件事情暂时熄火下来
[03:44] 我想其实市场上大家都知道
[03:45] 其实老百姓根本也没有在关心
[03:47] 伊朗的核武到底怎么样
[03:48] 因为就算有核武又怎么样
[03:50] 那也不会是短时间
[03:51] 会造成很大的威胁
[03:52] 可是对美国也不一样
[03:54] 因为是长期的威胁
[03:55] 大家其实比较关心
[03:56] 还是油价
[03:57] 那它就跟全球的经济息息相关
[04:00] 因为这位卡到
[04:01] 7月没有升息
[04:03] 9月会不会升呢
[04:04] 对啦
[04:04] 因为如果假如油价没下来
[04:05] 9月肯定是要升息
[04:07] 因为这次已经有三位的委员
[04:09] 投票支持升息
[04:10] 那我觉得华许一定也是
[04:13] 最终会说
[04:14] 既然已经有三位了
[04:15] 三人成虎
[04:16] 所以他一定会加入投票
[04:18] 加入投票
[04:19] 那就会成局
[04:20] 所以其实市场上一直有个谣言
[04:21] 我不知道大家有没有注意到
[04:22] 就是一直在谣言说
[04:23] 9月可能还会一个大崩底
[04:25] 而且会破底
[04:25] 我想在
[04:26] 如果大家有在做股票
[04:27] 应该都有听到一个这样的谣言
[04:29] 就是说9月还会大崩底
[04:30] 但目前从心态上来看
[04:31] 看起来是不至于
[04:32] 不至于破底
[04:33] 不至于破底
[04:34] 所以我觉得这边也不用太害怕
[04:36] 但是这个不害怕这件事情
[04:38] 不是今天才不害怕
[04:40] 而是上礼拜凯哥讲完
[04:41] 就应该不害怕了
[04:42] 上礼拜凯哥也有来讲
[04:44] 我说其实最坏好像就差不多这样
[04:46] 那天大涨三千两百多点
[04:48] 就差不多这样子
[04:49] 就开始拉起来了
[04:50] 可是你看他们的融资
[04:52] 除了大跌之后的隔一天
[04:54] 稍微增加一些以外
[04:55] 增加最多什么时候
[04:56] 就在昨天
[04:57] 昨天融资大增
[04:58] 虽然没有大很多
[05:00] 但准确是
[05:02] 这一波
[05:02] 从底部上来的第二大的
[05:04] 融资的增加量
[05:05] 贵买也是
[05:06] 而你看关股券商
[05:08] 他的买卖超的变化
[05:09] 刚好是
[05:09] 昨天是买到最少
[05:11] 也就是说
[05:12] 市场现在开始又进入
[05:14] 散户的结构了
[05:16] 法人又慢慢退场
[05:17] 你觉得政府
[05:18] 讲点话
[05:19] 吐吐口水
[05:20] 基本上就把这盘稳住了
[05:22] 我说上次有讲
[05:23] 我说其实国安金
[05:24] 根本还没有进场
[05:24] 他只是什么
[05:25] 他只是打电话通知
[05:26] 八个官网说你们备着
[05:28] 赶快准备进场
