[00:00] 欢迎收听赵华宜古货载第1150集
[00:09] 今天是2026年的7月30号
[00:12] 明天也就是7月的最后一个交易日了
[00:15] 这个7月真的挺不舒服的
[00:18] 而且因为这次有延续性
[00:20] 6月就已经不太舒服了
[00:23] 6月有来回洗
[00:24] 但6月还给大家一些希望
[00:26] 因为洗了会上去对不对
[00:28] 但7月就不舒服了
[00:29] 七月的喜
[00:30] 就是从高点
[00:31] 四万八千点
[00:32] 往下探的时候
[00:33] 中间几乎
[00:34] 没有什么叫做
[00:35] 像样的反弹
[00:36] 当然有一天
[00:37] 有所谓的
[00:38] 史上最大涨点
[00:39] 但是就那么
[00:40] 一天两天
[00:41] 大多数的时间
[00:42] 我们都在下跌
[00:43] 包括到今天
[00:45] 其实今天的盘
[00:46] 也是一个
[00:47] 不太理想的状况
[00:49] 等一下我们来
[00:50] 细细跟大家做分享
[00:51] 一开盘就大概知道
[00:53] 不太理想
[00:53] 很多人会觉得
[00:54] 不是反弹吗
[00:56] 还一路上攻
[00:57] 到这个八九百点
[00:58] 一开始觉得
[00:59] 气势如虹
[01:00] 正因为有上攻的这个动作
[01:03] 有上攻
[01:04] 他要伴随一些条件
[01:06] 才有办法延续
[01:07] 如果延续
[01:09] 今天是一个有量大长红
[01:11] 我们会觉得真的比较好
[01:13] 可惜今天非常多的条件
[01:15] 不但没有齐备之外
[01:17] 到盘中之后
[01:19] 他显得越走越弱
[01:20] 越走越弱
[01:21] 所以没有办法独撑大局的情况下
[01:24] 中场是下跌了105点
[01:26] 那今天的量1.1兆
[01:27] 略略在比昨天多了一些
[01:29] 因为今天就是有点洗来洗去
[01:31] 有洗出一些些
[01:33] 自然有比较好的讯息
[01:35] 是像昨天
[01:36] 昨天上市的融资
[01:37] 其实减了蛮多的
[01:38] 减了我记得36070亿
[01:40] 这个是比在对等关税的第三天
[01:43] 4月9号那一天减的300多亿
[01:45] 还要再更多
[01:45] 是真的有比较明显的减幅
[01:48] 这个是算好的方向之一
[01:50] 但是只有一个好的方向
[01:52] 可能不太够
[01:53] 可能不太够
[01:54] 那陆陆续续我们也进入到
[01:55] 所谓的美股超级财报周
[01:57] 有趣了
[01:58] Meta跟微软两样情了
[02:01] 目前看起来
[02:03] 市场还真的有点不希望
[02:05] 大家再扩大资本支出
[02:08] 因为Meta就是
[02:10] 在资本支出上
[02:12] 看起来还是比较积极
