[00:00] 欢迎收听赵华宜古惑仔第1109集
[00:09] 今天是2026年的6月1号
[00:11] 也是6月的第一个交易日
[00:13] 6月的第一个交易日
[00:15] 就在黄仁勋的演讲下越涨越高
[00:18] 当然今天还是会有一点点风高条件
[00:21] 因为今天再创历史新高
[00:23] 上个礼拜我们已经见识到了
[00:25] 非常多所谓的老AI
[00:27] 这个最早涨的AI一线全职股通通大喷
[00:31] 那今天有一个续喷行情
[00:34] 那这一次比较特别的是
[00:36] 我本来观察早上九点半
[00:38] 九点半通常隔日春会有一波的下沙
[00:41] 其实上个礼拜蛮多天都有这样的现象
[00:44] 今天完全没有
[00:45] 还越走越高
[00:46] 盘中有走到所谓的快要涨一千两百点
[00:50] 哇
[00:50] 真的是超强
[00:52] 但尾盘
[00:53] 因为台积电有一点点后继无力
[00:55] 所以我们今天中场是上涨了604点
[00:59] 留下一个大概快要600点的上影线
[01:01] 不是那么的漂亮
[01:02] 但是黄仁轩的演讲
[01:04] 依旧在盘面上起了非常大的作用
[01:06] 那这一次他也别出心裁
[01:09] 在背板鼓上面
[01:10] 我想大家在讨论
[01:11] 也有看到放了五个四家餐厅
[01:14] 一个是这个水果摊的阿姨
[01:16] 真的是很有意思的一个人
[01:19] 也很有意思的一个演讲
[01:21] 那中间甚至例如说
[01:22] 有拿出来一个维新的产品
[01:24] 所以维新今天也表现得非常厉害
[01:27] 好
[01:27] 那到底这个激情过后
[01:30] 今天有留下一个上瘾线
[01:31] 到底该怎么看台股后市
[01:33] 因为这一波的上涨
[01:34] 我必须讲
[01:35] 即使我们是站在多头的这一方
[01:38] 内心都产生了一些风险意识
[01:41] 泡沫的危机
[01:43] 或者是说
[01:44] 并不是说多头要转空
[01:46] 而是涨得急的过程中
[01:48] 也很害怕我们的听众
[01:49] 会不会有一点受伤
[01:51] 那当然
[01:51] 最近收到非常非常多的讯息里面
[01:54] 已经可以二分法了
[01:56] 那二分法呢
[01:57] 一个就是跟我阐述
[01:59] 他有多痛苦
[02:00] 就是卖飞
[02:01] 多痛苦只包了一两根停板就卖飞
[02:04] 即使他的股龄非常的年轻
[02:07] 那另外一派是
[02:08] 多痛苦到底要不要卖
[02:10] 多痛苦现在的报酬率很高
[02:12] 可是身边的人一直告诉他
[02:14] 要崩盘了
[02:15] 要崩盘了
[02:15] 别的可能达人吧
[02:17] 有那种比较看空的
[02:19] 很看空很看空
[02:20] 怎么办
[02:21] 这两种的问题交错
[02:24] 在我的收件夹里面
[02:26] 我先来欢迎今天的来宾
