[00:00] 欢迎收听赵华语古惑仔第1106集
[00:09] 今天是2026年的5月27号
[00:12] 很奇怪哦
[00:13] 昨天跟今天我都超忙
[00:15] 很多奇奇怪怪的事夹杂在一起
[00:18] 那台股也超热
[00:19] 不过今天台股又出现了比较大的洗刷
[00:22] 一开盘哇
[00:24] 一下就冲1000点
[00:25] 我又吓一跳了
[00:26] 因为昨天夜盘很强
[00:27] 那夜盘很强有一些原因嘛
[00:29] 自然是因为美股有一些股票的表现状况很好
[00:32] 我想大家眼睛最为之一亮的
[00:35] 就是美光涨了足足20%
[00:38] 没有涨跌幅限制的美股
[00:40] 真的是让人家觉得很吃惊
[00:42] 但美国的话
[00:44] 它其实有点涨跌互见了
[00:46] 半导体类股还不错
[00:47] 费半又再继续冲高
[00:48] 也可以预告今天的台股不会太差
[00:51] 但一开盘冲1000点也是蛮惊人的
[00:54] 甚至有冲到我记得1200多点
[00:56] 但大概在12点多的时候
[00:58] 终于出现了一个比较大的震荡
[01:00] 中场上涨731点
[01:03] 留下了一个长长的上影线
[01:06] 这也代表说开盘如果觉得很疯梦
[01:09] 觉得在追
[01:10] 这个没有追就来不及的人
[01:12] 在尾盘被套牢的几率就相当的高
[01:14] 不过很正常
[01:16] 说实话
[01:16] 因为这样一直冲一直冲
[01:18] 从这个上个礼拜三520去摸4万点
[01:22] 甚至一度有破掉
[01:24] 到今天最高点是44818
[01:27] 这个一来一回已经快5000点
[01:30] 不是4000点
[01:31] 是已经快5000点
[01:32] 所以洗刷一下正常
[01:34] 那今天也报了一个天亮
[01:36] 今天光是上市量就超过1.5兆
[01:39] 不加计盘
[01:39] 好
[01:41] 不买
[01:43] 觉得会跟不上
[01:44] 买了只要盘中一洗
[01:47] 如果成本并没有拉开的股票
[01:49] 压力很大
[01:50] 国际被关以为关得住
[01:52] 但其实被动元件
[01:54] 今天在盘面上还是非常厉害
[01:56] 那记忆体当然也跟着美光的好消息
[01:58] 有一期账
[01:59] 到底该怎么样
[02:00] 这个时候要进场吗
[02:01] 其实我觉得这是一个很多人的疑问
[02:03] 包括像我自己
[02:04] 今天我什么都没做
[02:05] 我也没有卖
[02:06] 我也没有买
[02:07] 那我们到底能做什么
[02:09] 我们先来欢迎今天的来宾
[02:11] 今天来的是古奇双分析师
[02:13] 纪委名小明同学
[02:14] 哈喽各位听众朋友大家好
[02:16] 小明很厉害
[02:17] 小明年纪轻轻
[02:19] 但是讲话是非常的有条理
[02:22] 像昨天我们有讨论被动元件
[02:24] 身上小明就给到一个建议
[02:26] 我觉得非常好
[02:27] 如果大家擅长做储值股
[02:29] 事实上因为现在储值股太多了
[02:31] 每天都五六十档
[02:32] 擅长做的朋友
[02:34] 储值股的筹码反而相对比较安定
[02:36] 甚至您可以去找
[02:38] 看有没有对应个股期的
[02:39] 你的进出就没有那么痛苦
[02:41] 就不容易说什么
[02:42] 二十分钟以后才戳到
[02:43] 很难受
[02:44] 现在关在储值里面的公司
[02:47] 真的都有一个现象
[02:48] 一定是标了才储值
[02:49] 然后储值里面有回档
[02:51] 过不久筹码就把它接走
[02:53] 就有这样的现象
[02:54] 但如果大家觉得很麻烦
[02:55] 例如像刚刚讲到
[02:57] 被动元件国具华欣科
[02:58] 一挂都在处置
[02:59] 那就去找没处置的
[03:01] 没处置的法人资金
[03:02] 就有可能流向
[03:03] 所以看到如果没处置的公司
[03:05] 投信外资有开始来
[03:06] 同买的情形的话
[03:08] 也是一个很好的选择
[03:09] 我觉得像这些
[03:10] 就会是在高档的时候
[03:11] 如果大家还非常想要进场
[03:12] 很好的一些辨别方式
[03:15] 但是说实话
[03:16] 走到今天
[03:17] 又走了快要5000点上去了
[03:20] 休息也是可能的
[03:22] 对不对
[03:23] 现在的投资人到底要选择
[03:25] 每一天都带着钢盔往前冲
[03:27] 还是你觉得会有什么契机
[03:29] 让大家有回档上车的机会
[03:31] 应该要说在现在的行情
[03:34] 就是大多头
[03:35] 大多头的行情里面
[03:36] 我们尽可能的保持自己的资金周转率高
[03:39] 可是我觉得你要说带钢盔往前冲
[03:42] 这点我不认同
[03:44] 原因是因为我们会有所谓的选股策略
[03:46] 策略的目的不就是
[03:48] 又要去因应不同的盘面
[03:50] 然后来去决定我们要做什么样的交易
[03:52] 那你如果是闭着眼睛乱买
[03:54] 那这代表你没有策略啊
[03:55] 所以以现在这种行情来讲的话
[03:57] 我呢第一个建议
[03:59] 当然就是大家
[03:59] 你要保持呢
[04:00] 你的持股水位
[04:01] 基本上应该是要偏高的
[04:03] 以现在来讲持股水位
[04:05] 如果没有到七成的话
[04:06] 我会觉得可能代表
