[00:00] 欢迎收听赵华语古惑仔第1098集
[00:09] 今天是2026年的5月15号
[00:12] 又是星期五来临了
[00:14] 昨天我们有特别提到这个川习会
[00:16] 如果进行顺利的话
[00:18] 正反两面都有人在讨论
[00:20] 正面的话自然是因为
[00:22] 美国的企业可能可以卖东西到中国大陆去
[00:25] 回答尤其是最后一刻上空军
[00:28] 我想这个意思很明显
[00:30] 再来是能不能拿到一些比较便宜的领组件呢
[00:33] 缓解这个美国通膨的一些问题等等的
[00:36] 但反过来说
[00:38] 如果今天美中之间他们和平了
[00:40] 真的有握手言和
[00:42] 有一些交换条件
[00:43] 那我们的红利会不会被拿走
[00:45] 昨天有做一下这样的讨论
[00:46] 那今天的盘就很有意思了
[00:48] 昨天晚上美股还是涨的
[00:49] 显见的这样的红利的想法
[00:52] 在美股中还是继续走
[00:53] 尤其挥达
[00:54] 对不对
[00:55] 挥达下个礼拜要公布财报了
[00:56] 继续创历史新高
[00:58] 早上韩股开盘
[00:59] 我想哇
[01:00] 今天应该是一个
[01:02] 怎么讲大多头行情吧
[01:04] 韩股一下就过8000点
[01:06] 大关创历史新高
[01:07] 而我们开盘也是开高
[01:09] 但很不幸的走低
[01:11] 越走越低
[01:12] 越走越低
[01:13] 上下政府应该有超过1400点
[01:16] 越走越低
[01:17] 越走越低
[01:17] 想说怎么变成
[01:19] 创高变杀盘
[01:20] 因为我们今天有来到
[01:21] 42408是创历史新高
[01:24] 韩股更猛了
[01:25] 韩股过8000之后一路杀了6个百分点
[01:29] 怎么了啦
[01:30] 怎么了
[01:31] 潘忠你说看到什么奇奇怪怪利空吗
[01:33] 没有啊
[01:34] 没有啊
[01:35] 好怎么了
[01:35] 没有关系
[01:36] 今天的来宾他知道
[01:38] 因为今天赵华小忙会议小多
[01:41] 但来宾刚刚跟我分享了很多
[01:42] 先来欢迎他
[01:43] 就是我们的国家级基金操盘手
[01:46] 黄峰凯凯哥
[01:47] 早上好
[01:48] 各位听众周五我又来了
[01:49] 礼拜五的礼拜五男孩
[01:52] 凯哥来了
[01:54] 好来跟我们分享一下
[01:56] 这两天我想市场最瞩目的
[01:57] 一定就是所谓的川喜会
[01:59] 还有就台积电的论坛
[02:00] 有一个三层蛋糕理论
[02:02] 这个听起来
[02:04] 早盘刚开始都会觉得
[02:07] 显然是刺激我们的大力多
[02:09] 韩国也很好
[02:10] 怎么到了盘中风云变色
[02:12] 虽然没有明确的新闻
[02:14] 还是要麻烦凯哥
[02:16] 讲出一个逻辑来
[02:17] 我觉得第一个是
[02:19] 台积电的这一个技术论坛
[02:21] 其实他不能讲是什么力多
[02:23] 其实严格讲
[02:24] 它是让利多变成是实现的一个状况
[02:29] 因为其实他在讲的东西
[02:30] 其实大部分都已经在发展
[02:31] 你说CPU难道是他讲的才在做吗
[02:34] 不是其实早就在做吗
[02:36] 所以其实股价早就反映了
[02:37] 你看今天的三人蛋糕里面
[02:39] 很多公司什么红硕 星云 军华
[02:42] 其实今天大部分都是大跌的
[02:45] 代表什么
[02:46] 代表它已经实现了
[02:48] 就是部分的获利实现了
[02:50] 所以有人趁这个利多在出货
[02:52] 那今天其实
[02:53] 它的三层里面
[02:54] 其实有一块
[02:55] 就是大家觉得
[02:57] 好像也长得差不多的CPU
[02:59] 反而今天有一些亮灯的
[03:01] 但是多数还是休息的
[03:03] 因为你去想一件事情
[03:05] 你去看联亚光圣的股价
[03:07] 其实难道是现在才开始吗
[03:10] 当然不是
[03:11] 它是早就开始了
[03:13] 所以基本上
[03:15] 在整个CPU元件里面
[03:16] 其实我只看到两档涨停了
[03:18] 一档是迅行KY
[03:18] 一档是大力光
[03:20] 那迅行KY是因为
[03:21] 他的妈妈昨天就讲了
[03:23] 他们在第三季
[03:24] 要开始大量的出CPU的基台
[03:26] 那其实这个就是出讯信的基台
[03:28] 那所以讯信之前都没有数字
[03:30] 可是股价一路涨
[03:31] 到这个时候
[03:32] 大家确定说是有东西的
[03:34] 所以它连续又涨了两三根
[03:36] 但是我觉得到这边
[03:37] 你也要不要去追
[03:38] 我觉得也不要去追
[03:39] 因为基本上
[03:40] 它还是在反映一个明年的东西
[03:42] 其实今年还是比较没有什么的
[03:44] 所以它有点是第一季的财报揭露之后
[03:46] 顺着这个势往上走
[03:48] 那大力光我们之前跟赵老师讲过
[03:50] 他其实是业界的老实术
[03:52] 而且我也讲过说
[03:54] 有一次我去我
[03:55] 我不知道有没有讲过
[03:56] 就是有一次我去我们家妹妹的
[03:58] 他们环岛的一个旅程里面
[04:01] 好像有
[04:02] 然后遇到一个同业
[04:03] 还是我们室下的
[04:03] 遇到一个同业
[04:04] 然后那个同业基本上
[04:06] 他说他在开始访公司
[04:08] 他最推崇的那家公司
[04:09] 就是一家日系的老实术公司
[04:12] 我就说那家应该就是大力光
[04:13] 所以我那时候跟你讲说
[04:15] 你那么业界的资深的前辈
[04:17] 其实都对大力光这个公司的评价
[04:18] 是这么的好
[04:19] 所以我说他有做
[04:21] 基本上不要当作是没有做
[04:23] 只是他老实数
[04:25] 所以他可能需要一点时间
[04:26] 还记不记得
[04:27] 我有一次在答案秀会讲说
[04:29] 我说群创就是有做
[04:30] 可是群创也跟你讲说
[04:32] 他确实还没有进度那么的快
[04:34] 所以他法创之后也这样
[04:37] 也就被修理了
[04:38] 可是后来你再看群创怎么样
[04:40] 群创创新高
[04:41] 所以业界有些公司
[04:42] 就是他们有在做
[04:44] 可是他们很低调
[04:45] 低调的公司
[04:46] 不要因为头顾老师不拍手
[04:49] 你就觉得说你不该拍手
[04:50] 其实你还是要很正面的去拍手
[04:52] 那今天有个主要很跌的原因
[04:55] 就是因为我刚刚讲
[04:56] 韩国其实今天是大跌的
[04:57] 韩国大跌的原因主要是在于
[04:59] 韩国的三星罢工这件事情
[05:01] 我觉得它不是中美的什么问题
[05:05] 你是觉得今天很确定
[05:06] 他们一定要罢了吗
[05:07] 因为中美目前看起来
[05:10] 对HBM这东西是完全没有影响的
[05:12] 因为他们也没有能力做HBM
[05:14] 但是他确实是可以能力做DDR相关的
[05:18] 就是假设美国愿意开放
[05:20] 买中国的便宜的DDR4
[05:23] 来对应这个市场的需求
[05:26] 然后中国也愿意开放
[05:27] 去买美光的高阶的产品
[05:30] 那我觉得他就是win win
[05:31] 可是在这一次的里面
[05:33] 其实没有谈到那么细的东西
[05:35] 我们只看到就是说
[05:37] 他们愿意让中国市场
[05:39] 再进一步的开放
[05:40] 那这里面其实包括像黄仁勋的H200
[05:44] 其实在这一次里面
[05:45] 其实也没有整个定案
[05:47] 只是感觉上说有可能
