[00:00] 欢迎收听赵华宜古惑仔第1147集
[00:09] 今天是2026年的7月27号
[00:12] 今天星期一
[00:13] 在6日的时候
[00:15] 有比较看到
[00:16] 我觉得会影响盘面的新闻
[00:18] 除了在产业上面
[00:19] 因为AMD有所谓的AI大会
[00:22] 而辉达也在发展一个东西
[00:23] 叫暗光签
[00:24] 又买了新的公司之外
[00:25] 川普也有再度的提到停火的事情
[00:28] 所以本来预期
[00:31] 本来预期今天的盘
[00:33] 应该可以开得还不错的
[00:35] 如果在周末的新闻之下
[00:37] 但是因为今天
[00:38] 一样韩国日本先开
[00:40] 就洗刷得很厉害
[00:41] 觉得震荡似乎没有过去
[00:43] 我必须坦白讲
[00:44] 今天到盘中
[00:45] 一度下刷到600多点
[00:47] 尤其又是台积电是红的货品盘上
[00:50] 中小型股在继续破底的情况
[00:53] 我真的有那一种
[00:55] 我不想去看我的库存
[00:56] 我也有一点不想看盘的心情
[00:59] 而且像今天早上
[01:00] 这个9点一开盘
[01:01] 大家的APP啦
[01:03] 看盘系统一定都会显示一个预估量
[01:05] 有的人的预估量应该是不到6000亿
[01:09] 大家要知道
[01:10] 最高点我们有来到所谓的1兆8000亿
[01:13] 1.8兆
[01:14] 那等于是不到6000亿的话
[01:16] 就是只剩三分之一的量
[01:18] 好
[01:19] 我要好处想
[01:20] 我当然也有跟我的好朋友们讨论说
[01:22] 这是不是叫做窒息量
[01:23] 这是不是叫窒息量
[01:24] 窒息量在股票修正下来
[01:27] 你可能期待一个底部爆大量
[01:28] 其实也可以期待一个底部窒息量
[01:31] 两个都是可以来参考的
[01:32] 但后来因为下杀的关系
[01:34] 所以量能有稍微再放大一点点
[01:37] 还是蛮小的
[01:38] 七千多亿的量
[01:39] 好
[01:39] 那这样的量在盘中
[01:41] 我觉得应该会有蛮多中小型股的朋友
[01:43] 还是会有一种受不了的感觉
[01:47] 尤其是当看到国巨出现五百九十几
[01:51] 真的会有种
[01:52] 哇这个族群怎么了
[01:53] 无底洞
[01:54] 但是信昌店在最后一盘拉了14个百分点
[01:59] 还有华融在盘中涨停板
[02:02] 感觉就很有趣
[02:03] 所以我还是有看盘
[02:05] 只是我可以体会今天大家的心情跟信心
[02:08] 肯定在盘中是又重新荡到一个低点
[02:12] 到一个低点
[02:13] 最后V上来中场小跌了20点
[02:16] 收复了600多点的这个跌点
[02:19] 到底是不是叫做最后洗盘
[02:22] 我不太喜欢这么讲
[02:23] 不过我今天的动作是买大于卖
[02:27] 纯属个人行为
[02:28] 现在欢迎今天的来宾
[02:31] 今天来宾我也没跟他对答案
[02:32] 但他今天也是买大于卖
[02:34] 今天来的是我们的冠军操盘手云翔哥
[02:37] 大家好
[02:37] 云翔哥自从去上海吃了生煎包
[02:41] 一粒50万之后
[02:43] 来台湾你继续吃
[02:44] 最近吃的比较少
[02:47] 最近有吃少一点
[02:49] 但今天盘中真的很煎熬
[02:50] 因為大概上次上招好節目
[02:54] 那一天剛好就是
[02:56] 第一次跌破這個月季線
[02:59] 所以事實上我還好啦
[03:01] 就是有減碼
[03:02] 所以減碼我自己也是在觀察
[03:05] 不過我們兩個今天同步
[03:06] 因為尾盤我是有買
[03:08] 我必須今天沒有影片版
[03:11] 可惜啊
[03:11] 今天就是聲音版
