[00:00] 欢迎收听赵华语古惑仔第1091集
[00:09] 今天是2026年的5月6号
[00:12] 我们说4月很刺激
[00:13] 我觉得5月似乎是一个不黄多让
[00:16] 5月的所谓开盘第一天就史上最大的涨点
[00:20] 那今天呢有接近史上最大的成交量
[00:25] 早上我在看想说会不会破记录啊
[00:27] 因为我的APP有显示
[00:29] 一度预估成交量是1.6兆
[00:32] 有一度
[00:33] 因为今天的盘比较震荡
[00:34] 开高之后开始往下走
[00:36] 大盘还翻黑
[00:38] 贵买也翻黑
[00:39] 这个时候量就被杀出来了
[00:41] 因为在这么样的高档区
[00:43] 有那么的震荡
[00:45] 大家都很紧张
[00:47] 好
[00:48] 那这个杀出量来
[00:49] 不过后来又止稳了
[00:51] 大盘又慢慢的回稳
[00:52] 中场上涨了369点
[00:54] 那贵买也是V上去
[00:56] 中场是上涨了0.7个百分点
[00:59] 那中间这样杀出来的量
[01:01] 也慢慢收敛
[01:02] 不过毕竟史上最大量
[01:04] 这个上市有1.449兆这么高
[01:07] 那贵买又有4000多万
[01:09] 几乎啦
[01:10] 几乎就跟上个礼拜的最大量
[01:12] 是差异不大了
[01:14] 不过这个刺激感
[01:16] 真的是很浓
[01:18] 昨天晚上也是在想说
[01:19] 到底要涨到哪里去啊
[01:21] 但是我们看到夜盘
[01:23] 看到美股的时候
[01:24] 哇夜盘还在继续涨哦
[01:27] 那美股的记忆体也锐不可挡
[01:29] 都似乎是呈现着不会休息的状况
[01:33] 那今天其实早上如果是先观测个股期
[01:36] 就会发现好多的记忆体股票已经率先表态了
[01:39] 那勇猛的发哥今天还是继续勇猛
[01:42] 今天比较辛苦的
[01:44] 等一下我们也会来聊散热族群
[01:46] 其红建策吃了跌停板哦
[01:50] 据说还有主动式的ETF可能要停损建策
[01:54] 好 到底发生什么事了
[01:56] 因为这个VRubin要改版
[01:58] 不用到原本的散热的技术了吗
[02:00] 好 这个我们都来做解答
[02:02] 先来欢迎今天来宾
[02:03] 久久来一次
[02:04] 来的正是一个非常好的时机点
[02:07] 就是我们的产业队长张杰
[02:09] 哈喽 赵华好
[02:10] 股后长 听众朋友大家好
[02:11] 我是营在深入深入追逐的产业队长张杰
[02:14] 好像一个多月才会来一次
[02:16] 有时间一定来
[02:18] 以您的节目为主
[02:20] 真的真的
[02:20] 排除其他万能
[02:22] 我不该问了 对不起
[02:23] 心中只有照
[02:24] 我错了
[02:25] 动不动就上照
[02:26] 不要问了
[02:26] 真的啦
[02:29] 我们现在想现在的策略
[02:31] 我刚刚在录音前
[02:31] 我先问队长
[02:32] 因为队长的学员很多
[02:34] 我说现在大家心里面的疑惑是什么
[02:36] 因为我已经连续
[02:37] 应该有一两个月
[02:38] 三月那个时候
[02:39] 大家是害怕
[02:40] 觉得是不是要转空了
[02:41] 这个战争真的没问题吗
[02:43] 油价上来
[02:43] 如果通膨爆炸了
[02:45] 是不是这一波的行情就结束了
[02:47] 但四月到现在
[02:48] 我们可能都在解答
[02:49] 大家跟不上了
[02:51] 一下子就四万点了
[02:53] 昨天晚上夜盘四万二了
[02:55] 怎么办
[02:56] 都来解答FOMO的情绪
[02:58] 那队长现在怎么看整个盘式
[03:00] 你身边的朋友
[03:01] 会比较想知道什么
[03:03] OK
[03:03] 那其实现在的这个盘式呢
[03:05] 我觉得大家还是把心逃了
[03:08] 那其实这个叫做
[03:10] 死也孕也命也
[03:11] 我们从产业典范的一转来看
[03:13] 其实大家如果回到1995年
[03:15] 1995吗
[03:17] 就不会那么confuse
[03:18] 什么
[03:18] 1995年是Windtail
[03:20] 股王是广达
[03:21] 那个时候是Windows刚发明
[03:24] 那人手没有电脑
[03:26] 到现在人手一台电脑
[03:28] 那华尔街其实传过来的讯息是
[03:31] 95年到2000年
[03:32] 到穷上万点
[03:33] 是整个所谓的Windows带动的
[03:37] 所谓的硬体为王
[03:38] 这五年从没有电脑
