[00:00] 歡迎收聽《照華語古惑》在第1164集,今天是2026年的8月18號。
[00:12] 好,今天的台股終於有一個比較明顯的回檔,幅度不大,幅度不大。
[00:17] 那回檔的話,中場收跌了548點,也就是大家在討論的,這樣算不算是一個開始有一點點做一個腳。
[00:26] 這次我們也許不用那麼在意有沒有什麼一定要做腳,當然以技術型態來說這個事情還蠻重要的,因為有這隻腳再上弓的話就代表多頭型態的完成。
[00:40] 如果從基本面來看的話,我們一樣照常檢視,因為到了今天的話,應該是所有上市櫃正常來說,因為有人財報沒有交出來,現在有點危機,正常來說都已經要交出來了,所以我們也可以就不管是半年報也好,或是第二季的季報也好,來做一些全面性的基本面檢驗。
[01:00] 因為長在這邊休息一下嘛,常常講你一直長,其實大家的心會腐亂,就可能會亂追啊,或者是又覺得自己可能反彈上來,明明是照紀律賣的又賣飛了,心情又不好啦。
[01:12] 我們都可以先收拾一下這樣的情緒,一切再回到現在基本面上面的改變,或者是沒有改變這件事情上來討論。
[01:21] 我現在歡迎今天的來賓,不然大家也應該猜得到是誰,來的就是我們的AI達人蔡明翰。
[01:27] 趙華,觀眾朋友、聽眾朋友大家好。
[01:28] 好,所以今天是有影片版的,那今天花一咪咪前面的時間跟大家講一個慘案,就是呢,上禮拜上上禮拜我們講的蔡明翰的新粉絲團又被殲滅了,他又被鎖了,怎麼會這樣,因為我以前在東森的數位媒體事業部擔任主管,我有幫蠻多人處理過類似的事,但是我不去講蔡明翰贏了,蔡明翰現在遇到的情況是我也沒有辦法再麻煩,因為我現在不在那部門齁,
[01:58] 我請該部門主管協助。
[01:59] 我們沒有辦法處理這個狀況,就是舊的、新的、他私人的、所有的粉絲專頁都被鎖了。
[02:08] 所以請大家如果支持明翰,要看到本尊的話,請到Youtube財經震撼彈去找他,還有禮拜二我們的Podcast和晚上的理財達人秀。
[02:21] 對,應該簡單的架構就是,我個人覺得比較有可能的論點就是,等於是有人檢舉我這個是假帳號,那我有確實有被要求審核,然後掃臉、上傳證件,證件本來就有,因為我本來有藍勾勾,所以證件本來就有,他又擔心這個是假帳,所以就掃臉,掃完臉之後他跟我講,這個掃臉不通過,他覺得我這個是假帳,所以就被封了。
[02:48] 那我後來覺得跟他在那邊來來回回有點麻煩,我乾脆再創個新的就好,創完馬上跟大家宣導。
[02:54] 對。
[02:54] 然後呢為了要攔勾勾我只好再上傳身份證,為了再一次驗證。
[03:00] 然後呢我又很怕未來會不會像之前一樣,被鎖了主帳但粉絲頁還在,所以我一定要新增管理員。
[03:07] 新增管理員我就把我自己用了三十幾年的私人帳號給當作管理員。
[03:12] 那個帳號真的超正常,真的沒有奇怪。
[03:14] 我真的什麼事情都沒有,然後現在就一次鎖,只要看到蔡明翰,然後就全部都鎖。
[03:21] 那比較麻煩的,現在的申訴我比較不明白,重點是當你在臉書上搜尋蔡明翰,你會看到很多蔡明翰,而且都是我的頭像,都還在。
[03:31] 簡單的言就是詐騙的都還在,但是本尊就一直被他封鎖說我是假帳號,我現在我也真的不知道該怎麼做。
[03:39] 反正暫時未來會不會恢復我也不知道
[03:43] 那我該做就做
[03:44] 那我只能等
[03:45] 但我也可以知道這個可能要等很久的時間
[03:48] 那無論如何我現在就暫時已經不願意在上面多花時間
[03:52] 所以我們就抓回到這個YouTube
[03:54] 所以當然在我YouTube那邊我有請大家去投票
[03:57] 看看禮拜三或禮拜四
[03:58] 因為禮拜二我就要來打完秀
[04:01] 被我綁定了
[04:01] 對對
[04:02] 所以理論上禮拜二就在東森看
[04:05] 一定看得到重點內容
[04:07] 禮拜三、禮拜四也許可以選一天。
[04:10] 那我就常常講禮拜五其實我已經在趕工我禮拜天的影片了。
[04:15] 資料很多。
[04:15] 對,所以應該說這樣子我覺得節奏可以。
[04:18] 當然我們一開始講就是我希望先有一天固定。
[04:21] 當然如果每天真的盤勢有很大的變化,我當然也可以在我隨時幫忙更新一下。
[04:27] 尤其是市場恐慌的時候我覺得都是可以輕易解決的問題。
[04:31] 好,我們就不細數了,因為我最近也是也受到一些困擾。
[04:35] 但我們不講這個了,我們回到今天Podcast的內容上,就記得以後就先到YouTube找明翰就對了,他也會加快那邊的更新速度,不會讓大家等太久。
[04:47] 那今天的話,終於算是有一個回檔,當然從上禮拜五到昨天到今天,我們就呈現漲到四萬六之後遇到一點點的壓力,都是極度正常的狀況,沒有任何的恐慌,一切都很正常。
[05:00] 那因為明天是台值期的結算,也有人特別提到說,看起來也可能是今天明天會做一些壓低結算,因為外資的空單水位畢竟比較高。
[05:09] 但一個比較好的現象是,最近的台幣在升值,所以外資幾乎每天都回頭來買台股。
[05:16] 以整個八月份來說,截至昨天,因為今天的還要等一下才會有資料,已經買了2000多億的買超,這個以單月來說是很少見的。
[05:26] 當然一到七月是大賣超啦,那我們現在又進入到所謂的三四季,甚至現在有非常多的機構一定是在展望明年,所以我們先從現在我們已經可以拿到的,就是所謂第二季的季報,或是半年報的出爐,剛好明漢在,你覺得這一次的季報有沒有讓你覺得驚豔的,合乎預期的,驚訝的?
[05:47] 好,我這樣講喔,我們先講幾個結論,我們先講到這個盤式給我的概念。
[05:53] 可是我覺得投資人比較有體感,今年拆分成三塊,一個是上半年強到一個爆炸,對不對?
[05:59] 七月呢,大家突然恐慌,因為修正的幅度蠻大。到八月呢,大家還在恐慌中發現反彈者那麼強。
[06:08] 所以這三個體溫完全不同,但是結論就是基本面一點改變都沒有。
[06:15] 就是年初我就跟他講第一季的這個業績就好到爆炸
[06:21] 一二月因為過年還不準
[06:23] 三月當時有提到不可思議的數字
[06:26] 上市櫃營收在三月創歷史新高
[06:29] 居然在淡季就可以贏以前NB手機、iPhone出貨最旺的時間
[06:35] 這個就知道兩點
[06:36] 第一個就知道現在AI的動能有多誇張
[06:40] 第二重點是你可以知道未來二三四季都會再持續走高
[06:45] 所以確實導致第二季的股市有一個非常強的這個往上漲。
[06:51] 七月修正的時候就一起提醒大家,真的不要抓錯人,沒有任何的利空,純粹漲多,上半年漲五成了,修正一些,為什麼大家會壓力那麼大?
[07:03] 在修正的過程當中,你一定會不斷地被,比如報紙去引導告訴你說最近又有什麼利空,大家要小心未來可能會怎樣點點點。
[07:14] 但是事實上我常常講你會中間你會擔心下跌你會壓力很大
[07:20] 我個人覺得表示你沒有看數字
[07:23] 因為如果你有看到數字
[07:25] 他一直以來的剛剛提到三月營收創高之後
[07:29] 後面真的是一路不斷往上衝
[07:31] 那季報的部分應該說從去年開始一直到今年的第一季第二季也都一樣的情形
[07:39] 所以如果你把心思多放在數字上
[07:43] 少一點心思放在股價的走勢
[07:46] 其實老實講你就知道7月其實修正也還好而已
[07:50] 然後呢8月又會變成什麼樣的狀況
[07:53] 8月呢是大家長得大家有點措手不及
[07:57] 總覺得第二隻腳咧
[07:59] 第二隻腳每天都在問第二隻腳咧
[08:02] 當今天假設第二隻腳出現又害怕
[08:05] 對我們也有聊到這個現象
[08:07] 沒有打腳你又覺得沒有跟上對不對
[08:10] 有打腳就想又不要再來一次
[08:12] 是,那我常常講,這個也許在今天講這個時間點,人家說,有一些人說確實今天有點壓力,有些人說還好吧,你也認同,那我會說因為今天第一根,假設今天這個三根,就是把我們簡單來講從4萬點談到4萬6這個,你就算技術面板談你談了6000點,回答個2000點,三分之一其實都完全是還合理的,可是現在的問題,假設疊個2000,大家又受不了。
[08:42] 大家又想跑,所以我常常講,最後你要怎麼樣堅定你的信心,多花一點心思在這個所謂的營收跟獲利上面。
[08:52] 那我剛剛講的就是,7月的營收整體上市櫃年增47%,第二季的整體獲利年增超過100%,107%啊。
[09:05] 當然我要平良講,因為去年的基期相對比較低。
[09:08] 去年第二季這個我們也常跟大家聊有匯率的問題對不對
[09:11] 匯率我們外銷受到很大的打擊關稅的問題所以在拉貨上亂掉
[09:16] 是當時確實是積極偏低這是一點
[09:20] 還有很大的問題就是當時狀況比較不好的產業其實還有很多都是虧損
[09:26] 然後呢現在最導致最後把很多人虧損導致把上市櫃的整個獲利壓縮到很低的一個水位
[09:33] 去年那些虧損的產業到今年雖然不代表說獲利多好,但絕大部分都已經轉虧為盈了。
[09:41] 所以導致這兩年有很大落差,那我剛剛講年增率超過100%,那我們也不要講年增率,最起碼第二季的獲利也在創高。
[09:51] 所以代表著基本面真的是強到不可思議,這是我自己的定義。
[09:56] 應該說最起碼可能我這個所謂的視野不夠,我最起碼看了這20年現在真是不可思議的現象。
[10:04] 是。
[10:05] 那我只能跟大家講回過頭來,這個短線的波動不要這個看那麼緊張,而且我常常講的,沒有人看得懂短線到底高點在哪裡。
[10:16] 回過頭來今天開始應該說漲到有點漲不動了,然後今天下跌了。
[10:22] 當然在前接近三天已經上不去在高漲震盪就會有很多人看線型跟你講有可能拉回有可能拉回只是機率稍微高但是有可能整理過後又直接上去有可能對都是有可能的所以我剛剛常常重申不要把不要覺得自己或任何人能夠抓準每一天的節奏你要把時間軸稍微拉長一點你才有那個信心看得準那你就不會在意
[10:52] 因為剛剛提到所有數字都是支撐股市在往上的。
[10:57] 那現在剛剛也提到在我們就之前七月在跌的時候,我就常常跟大家講,其實七月就是技術面修正。
[11:06] 如果可以,只要有資金買在七月一定是相對比較有利的。
[11:12] 當然我常常講那個時間點所有人都要往外衝,你一個人要往裡面走,我覺得這個真的要有一個心理很強的這個信念才有辦法。
[11:22] 就算沒有也沒關係,8月反彈其實也是一個很好的一個時間點,因為下半年應該說到第四季,整個基本面還在持續創高,這個架構短時間來講是不可能改變。
[11:36] 另外就跟大家提到,包含當時7月在修正,我給大家一個信念,就是有一個很重要的關鍵點,我之前也提到股市會提早半年去反應基本面。
[11:48] 那如果這個時間點你覺得很危險,你要必須認同一件事情,就是AI的明年不會高於今年,就是今年是一個最高點。
[12:00] 因為你可以提到說下半年好
[12:03] 我剛剛講現在從台積電的角度可以知道下半年一定會更高
[12:07] 你當然會可以跟我講說那個東西可能已經反映在股市當中了
[12:12] 今年上半年再漲就是知道下半年很好
[12:15] 都已經反映了所以你會有點害怕
[12:17] 那我這是對你這個是講的很有道理股市會反映提早半年
[12:22] 所以你現在7月8月很有可能把今年好的都已經反映完
[12:26] 但是如果你會害怕你覺得要下車
[12:28] 那你必須認同我說的,就是你覺得明年的AI不會再成長,今年就是一個高點出現,那如果這樣那就真的該走,因為代表著未來可能股市會有很大的一個波段修正。
[12:42] 可是無論如何,最起碼我會覺得從現在從炎掉單位或者是所謂內外之券商,最起碼沒有人有這個論點說明年的AI不可能再上去。所有人講的說法只會說什麼AI泡沫,所以AI泡沫就覺得漲太快了風險是有點偏高的但是每一次只要技術面修正之後
[13:05] 回到合理水位最後整理之後又會再度回到多頭
[13:09] 所以我覺得
[13:11] 這幾天再來會不會出現這個所謂的
[13:14] 技術面修正打第二隻腳
[13:17] 尤其是我覺得最近
[13:18] 個資有稍微呈現脫鉤
[13:21] 我所謂的個資就是台股
[13:22] 韓國股市、費辦、日本這四個就是上半年漲比較多然後七月修正壓力很大然後八月大家又各自反彈但是我們是所有市場裡面最強的然後就是跌的而且我們是距離歷史高點最近的一個市場所以我覺得說目前來講會導致一個現象昨天的費辦是上漲的但今天台股反而開高走低會出現脫鉤那人家會說為什麼他們昨天漲我們今天是跌的
[13:52] 我只能說在8月的反彈過程當中,每股修正我們也沒修正,所以這段時間可能我們差不多了,會稍微壓回,但趨勢不變,所以這幾天也許會有稍微獲利了結賣壓,來自兩個嘛,一個是人家當時殺到4萬點敢買的,另外一個是之前下跌的時候,人家沒有跟著砍下去,然後一直每天都想著反彈要減碼,反彈要減碼,來到上面呢,上不去了他還在考慮說,
[14:21] 會不會就我們講的整理個兩三天之後再突破
[14:25] 那現在整理了兩三天出現黑K了
[14:28] 就可以知道這個不用再等了
[14:30] 所以這幾天賣壓一定會比較大
[14:32] 但是我要常講到底會幾天
[14:35] 只能說因為技術面已經不可能再轉空了
[14:39] 所以拉回可能會有
[14:40] 但我覺得空間也許不會太大
[14:42] 最重要的過程你也不用去猜到底有多大
[14:45] 你只要有那個信念
[14:46] 就我剛剛提到
[14:47] 現在第二季的財報好到不可思議
[14:50] 以7月的營收也很亮眼,下半年也都還在上半年的軌道之上,所以即使技術面的修正反而是很好的投資機會。
[15:00] 我們做財經不免是要做預測,例如說我們要去看大家的資本支出,看看已經實現的財報跟未來的預估財報,對不對?
[15:10] 我們難免要去預估,就像各大金融機構也要去講可能明年預估的點數,明年上市貴公司到底整體成長多少。
[15:17] 在這個預估中,它是一個中長線的方向,這個方向目前看起來沒有任何改變,但是你要說什麼幾天內會怎麼改變,這個誰都說不準,誰都說不準。
[15:28] 幾天內的現象都是說叫做正常,就算到了9月,也許聯準會那邊有什麼事啊,我們現在也不確定,美意也還沒打完啊,但都不是新的黑天鵝的話,再遇到一個修正,我想大家還是要抱持著,我們到第四季,到明年全年,因為現在的局勢其實算明朗哦。
[15:46] 資本支出這件事情在最新一次的各個產業的,當然8月24號還有回答彩報,他們提供出來的都是明年看起來會比今年還要多,對不對?
[15:58] 所以都在上修所謂的資本支出,不管它上修的時候當下股市怎麼解讀,氣氛不好的時候覺得你亂花錢,氣氛好的時候覺得明年欣欣向榮,但是明年要多砸錢這個事情目前是非常確定的。
[16:11] 現在企業去開法說會,講下半年,其實市場很現實,如果講說下半年比較持平,成長比較緩的,通常股價就會先給你來一個。
[16:22] 可是如果大家講得很樂觀的,記憶體是一個比較特別的族群,等一下再另外拉出來說,如果講得比較樂觀的,就算你今天第二季的財報不一定非常好,市場還是跟你掌聲喔,拍拍拍。
[16:33] 所以我覺得現在的局勢叫做明朗。
[16:37] 那在明朗的情況中定心,就是假設之後不代表說都不會跌了,就跟明翰剛剛講的,如果又出現一個2000點的跌點,您的心情是什麼?
[16:47] 以我來說,我非常喜歡在大跌的時候做加碼,所以像今天我就小加碼,我在這樣的局勢裡面加碼,我的心情是比較舒坦的。
[16:56] 那剛剛講到第二季的這個營收年增率,因為去年的基期低,這邊這個應該是偷了明翰的圖,就是上市櫃企業的獲利。
[17:03] 年增率是到了173.9。
[17:07] 當然分開來的話,電子通路、電子零組件是裡面的大主流,都是100到300%的一個年增幅。
[17:15] 但是也可以看到像鋼鐵去年都在虧,現在年增幅就千位數的年增幅,代表今年第二季其實有很多的傳統產業在去年慘兮兮被關稅打爛,被匯率打爛的,現在也可能叫做虧轉盈。
[17:30] 所以像現在盤面上前陣子不是鋼鐵有動嗎?然後塑化是因為轉成電子化嘛,也有動。像這兩天什麼貨櫃航運啦、散裝航運啦,等於是說傳產其實也有在反映今年下半年會比去年下半年好很多的這件事情。
[17:47] 這些都是蠻支持台股的一個底氣。那既然在這樣的前提下,我們就要知道自己喜歡的東西是什麼,因為不可能1700檔你都買。
[17:56] 對,所以如果在遇到你喜歡的買法,有人喜歡的買法是確立漲勢的追上去喔!
[18:02] 有人喜歡的買法可能跟我一樣,就是我確立基本面沒問題,跌下來了我在加嘛!
[18:07] 那我不想明看哪一種,明看就是高持股,不下車,有信心嘛對不對?
[18:12] 對,因為很簡單,我自己覺得啦,我自己的定義就是,我自己看不懂,結論就是我短線我看不懂,所以我老實說我很容易賣肥,所以我經過幾次教訓我就懶。
[18:25] 一般的市場的股價會是在上升,但市場的股價會是在下降。
[18:35] 如果市場的股價會是在上升,那市場的股價會是在下降。
[18:45] 這幾年,你抱上又抱下是中間的小幅震盪,但是長線卻能夠持續走高。
[18:58] 那很大的問題就是,中間震盪很大,但是趨勢還是維持多頭。
[19:04] 那你在減碼的過程當中,我常常講的,不是不能減碼,我講的是我自己,我常常講這是我自己的問題,因為我有點懶。
[19:13] 我不想花很多時間在交易上,這是我自己的問題。
[19:18] 我先跟大家講正確的方法應該要怎樣。
[19:21] 我不要講我的方法,我講正確應該的方法。
[19:25] 你可不可以解碼?當然一定可以,可是我覺得有一個很重要的關鍵點。
[19:29] 就是你要記得一件事情,我剛剛最早提到,
[19:33] 這市場上沒有人看得懂短線的波動,包含你自己。
[19:37] 所以當你覺得應該在這裡差不多應該要解碼的時候,
[19:42] 投資人通常比較欠缺的問題,就是你要設一個你錯了要怎麼辦的問題。
[19:50] 我覺得大部分的人都缺少這個問題,你要有一個策略,就是說你今天漲到100塊你覺得夠了,那你一開始你覺得要出場,第一件事情你先告訴你自己。
[20:01] 你今天出場你就純粹覺得趨勢沒有轉變只是你覺得在這裡你想賺一點價差那你這個時間點要出場你一定要兩個事件你要先訂好
[20:12] 第一個就是你拉回來多少你要撿回來這個是很基本比如說我100塊賣我90塊回到90塊我就一定把它買回來這第一件事情
[20:24] 第二件事情就是萬一不是你所想的最後100塊就沒回來就上去了
[20:30] 我會說過105我就認賠再追回,那你只要這兩點做好,你就可以去做一些稍微減碼的操作,我覺得沒有問題。
[20:41] 那只是因為我常常講我工作很忙,我白天雖然我是投資,但我其實盯盤的時間實際上真的不多,那我要做很多的工作,所以我很難說先出一點,然後等一下有跌了我再買回來。
[20:56] 所以通常我就會覺得放給他去,然後反正長線那個中間的波動我就裝作沒看到,反正長線而言我是對長線非常的信心的。
[21:07] 那我會覺得我賣掉之後我不見得有辦法賺到那個價差。
[21:12] 最後呢應該簡單而言我覺得我現在100塊賣掉我90塊,我不見,當應該這樣有可能沒來90,有可能來90我也在忙,我也沒時間再去照顧他。
[21:23] 最後我到105我反而都要追回,長期而言我想賺下面的10塊不見得賺得到,但我可能常常反而Lose的是上面那5塊,我每次最後反而賣掉之後又要再高價追回,所以我最後我就乾脆什麼事情都不做。
[21:41] 反正結論也長線我就不動,短線的就是還是按照自己的節奏,可能看到什麼強勢你想做就做,然後這個就跟大盤可能沒有太直接的關係。
[21:51] 這就是我自己的長線和短線的分別。
[21:54] 短線的分別是,現在你覺得強勢的個股,甚至你基本面都不需要了解。
[22:00] 你可以看籌碼面,你可以看技術面,各種各樣的條件都可以。
[22:05] 只要符合你的條件,你就可以短線操作。
[22:08] 只是短線的通常只要一發生風吹草動,第一個事情就是先把短線都先除掉。
[22:15] 那長線的部分來講,相對來講就比較不怕震盪。
[22:19] 所以常常講就是長短線要分開
[22:22] 那我又再講了就是我常常說的就是投資人
[22:27] 你如果有個我以前都會講三年或我覺得有點久
[22:31] 我個人覺得有一年甚至有半年以上的投資經驗你就應該要稍微長線短線稍微做一點區隔出來
[22:40] 不太比較不適合所有的資金都是短線
[22:44] 哪怕你只用一兩成買在長線也沒關係
[22:48] 但你一定要放一些你的資金在長線,因為我以前等於說我這20年,我幾乎前10年也是完全沒有長線,因為我覺得我們在法人,我每天消息這麼多,我有這麼多的資源,我就贏人家自己覺得,雖然事後發現完全沒有,完全沒有任何優勢,因為為什麼這樣?
[23:11] 對,我訊息很多,可是問題是每天的投資人可能沒有訊息,我有一百個訊息,問題是訊息有對有錯,你根本沒有辦法當下判斷。
[23:21] 所以只是增加你的交易頻繁度,但最後也不見得真的多賺到多少錢。
[23:28] 最後常常,當然有賺錢沒錯,但我覺得長期沒辦法累積到比較大的財富。
