[00:00] 歡迎收聽趙華宇股貨載第1023集
[00:09] 今天是2026年的1月22號
[00:12] 自從川普擔任美國總統以來
[00:16] 真的股市不缺話題啊
[00:17] 投資市場不缺話題
[00:19] 那昨天呢
[00:20] 我們知道臺股下跌了500多點哦
[00:22] 就是因為這個格林蘭事件
[00:24] 讓大家有一點點擔心
[00:27] 會不會歐盟跟美國吵起來
[00:29] 有比較大的貿易戰
[00:31] 或是經濟上面的問題
[00:32] 或是拋售美債美股等等的
[00:34] 但這個事情
[00:35] 在短短的一天之內
[00:37] 又翻轉了
[00:38] 你可以說川普他口
[00:39] 你也可以說川普厲害
[00:41] 因為他在瑞士
[00:42] 這個達沃斯論壇
[00:43] 還帶黃仁勳一起去
[00:45] 就發表了演說
[00:47] 昨天晚上
[00:47] 如果大家有看夜盤的話
[00:49] 一邊演說
[00:50] 一邊就講
[00:50] 他不會用武力
[00:52] 來奪取格林蘭
[00:53] 請大家放心
[00:54] 光這句話
[00:56] 然後後面又講了一句
[00:57] 禮拜二的下跌
[00:59] 只是一件微不足道的小事
[01:01] 股市還是會翻倍漲
[01:04] 哇 講完這句
[01:05] 美股就先開始動了
[01:07] 那臺股當然夜盤就直線往上拉
[01:10] 我真的是
[01:11] 我真的是沒有看過這個事情
[01:13] 那種直線往上拉
[01:15] 我印象最深就是
[01:16] 2022年的時候
[01:18] 國安基金進場
[01:19] 那時候在傍晚
[01:21] 我在學校上課
[01:22] 一邊看
[01:23] 一邊聽課
[01:24] 一邊偷看手機
[01:25] 就看到怎麼直線噴
[01:27] 國安基金宣佈進場
[01:29] 但是川普就任以後
[01:30] 最厲害的就是
[01:31] 對等關稅的時候
[01:32] 第三天第四天
[01:33] 他不是出來喊話嗎
[01:35] 哇直線噴
[01:36] 我那天晚上睡不著
[01:37] 沒有看過
[01:38] 所有的東西都在漲停板
[01:40] 所有的期貨都在漲停板
[01:41] 那昨天晚上
[01:43] 當然沒那麼離譜
[01:44] 可是又是一個直線噴
[01:45] 就因為川普的這句話
[01:47] 實在是太匪夷所思
[01:50] 可是這就是現在的股市
[01:52] 而今天台北股市
[01:54] 再度創下歷史新高
[01:56] 昨天還在想會不會再多回一點啊
[01:59] 我們可以多減一點啊
[02:00] 沒 沒了
[02:01] 今天最高來到31890
[02:03] 那中場是有點壓回
[02:06] 收漲了499點
[02:08] 那今天的盤面有一個特色
[02:10] 今天不是垃圾盤
[02:11] 雖然譚一電後來也有漲
[02:12] 今天其實真的叫做百花齊放哦
[02:15] 例如說今天漲停板的光寶科臺達店
[02:19] 臺達店創歷史新高
[02:21] 光寶科落後不漲
[02:22] 今天BBU也來了
[02:24] 順達漲停板
[02:25] ASKY盤中摸到漲停板
[02:27] 今天台光電也回暖了
[02:29] 今天一直在右下角
[02:31] 慘兮兮的建策
[02:32] 奇宏也來了
[02:34] 所以很多在右下角的倒黴鬼
[02:36] 明明也是AI裡面的機油股
[02:39] 今天都復活了
[02:40] 那前幾天比較好的PCB上游
[02:43] 今天可能大部分就有一點壓回
[02:45] 但也不礙事
[02:45] 那今天記憶體又復活了
[02:47] 因為昨天美光繼續漲
[02:49] 所以大家就覺得
[02:51] 沒事啦
[02:52] 所以今天機體也是全線復活
[02:54] 在這麼震盪的盤
[02:56] 看得出來今天的是
[02:57] 你去搶很強的機體
[02:59] 看來又對了
[03:00] 昨天去撿碟廳板的又對了
[03:03] 但你去蹲點的
[03:04] 似乎今天也會有成果
[03:06] 廣達鴻海也漲了
[03:07] 今天來的人太好了
[03:09] 他也是什麼都可以幫我們說
[03:11] 而且他很擅長這個右下角
[03:13] 往上的一個懸鼓
[03:14] 我們先來歡迎他
[03:15] 今天來的是我們的懸鼓教練
[03:17] 韋泰
[03:18] 大家好
[03:19] 韋泰今天是被我綁架的一天
[03:22] 從帕克到晚上要錄理財談秀
[03:25] 到等一下還要錄趙華愛倫說
[03:27] 一整天被我綁架了
[03:29] 太好了
[03:30] 在臺股創新高的這一天
[03:31] 我們先來講一下
[03:33] 川普和格林蘭的事情
[03:35] 他只是說不要武力奪取
[03:37] 大家就開心了
[03:38] 就可以這樣子
[03:39] 這樣子有合乎股市的邏輯嗎
[03:43] 好
[03:44] 其實如果說真的川普動用這個武力
[03:47] 去奪取這個格林蘭
[03:49] 這大概是人類歷史上
[03:52] 我覺得應該是一個很
[03:53] 無法去理解的事情
[03:56] 對不對
[03:56] 因為大家的直覺上就是
[03:59] 你是一個民主國家
[04:01] 而且又是一個號稱是這個
[04:03] 所謂的一個
[04:04] 諾貝爾和平將
[04:05] 世界警察的一個國家
[04:07] 對不對
[04:08] 你今天如果說去這個
[04:10] 懲罰那些所謂的恐怖分子
[04:12] 那就算了
[04:13] 今天格林蘭
[04:14] 他又沒有什麼恐怖分子在上面
[04:18] 那你只為了你想要的一些礦產
[04:21] 或者是資源
[04:22] 那你就要去這個出兵
[04:24] 然後去這個搶奪
[04:26] 那實在是有點說不過去
[04:28] 那在這樣的情況之下
[04:31] 你說歐盟會完全的做事不管
[04:33] 我覺得這個也不太可能
[04:34] 所以如果說這個事情呢
[04:36] 按照原本的這個主軸發展下去的話
[04:39] 勢必會造成天下大亂
[04:41] 那麼就像很多人說的
[04:43] 那這時候可能歐洲國家
[04:44] 可能就會有一些就是
[04:46] 金融方面的一個反制措施
[04:49] 例如說叫做
[04:49] 賣出美國策略
[04:50] 對
[04:51] 那果然這個訊息一出來
[04:53] 我們看到十年期的公債殖利率
[04:56] 美國的就往上急拉
[04:58] 是
[04:58] 剛剛趙白有提到說
[05:00] 這個直線
[05:00] 直線上跟直線下的
[05:02] 這個走勢
[05:03] 像最近的一個殖利率
[05:05] 有類似這樣子
[05:06] 昨天股債也都是這樣子
[05:07] 就是昨天債券
[05:08] 馬上就回穩了
[05:09] 對
[05:10] 對
[05:10] 所以呢
[05:11] 好家債
[05:12] 這個可能幕僚呢
[05:14] 也稍微去提醒一下
[05:15] 川普
[05:16] 就說
[05:17] 這個其實可能
[05:19] 跟國際的一個規則
[05:20] 可能是不太合乎
[05:22] 所以他後來就改口了
[05:24] 但其實我覺得
[05:25] 更現實的事情
[05:26] 是他感受到了
[05:27] 金融市場的一個壓力
[05:29] 不管是股市
[05:31] 或者是會市
[05:33] 或者是債市
[05:33] 在這個
[05:34] 他說要
[05:35] 無論如何
[05:37] 就要拿下格林蘭
[05:39] 還發了一個批圖
[05:40] AI的那個批圖
[05:42] 有有有
[05:42] 站在格林蘭上
[05:43] 後面有兩個官員
[05:44] 現在熊熊想不曉得是誰
[05:46] 對
[05:46] 好
[05:47] 那所以呢
[05:48] 好家在他現在呢
[05:50] 就是突然清醒
[05:51] 那這個時候就讓整個這個市場上面
[05:54] 這個算是鬆了一口氣
[05:57] 是
[05:57] 不過像剛剛趙華所提到
[05:59] 在今天的臺北股市的部分
[06:01] 因為他今天
[06:03] 雖然說看起來是百花齊放
[06:06] 是
[06:06] 但是我個人覺得有一個很重要的一個意義
[06:09] 就是今天漲了很多的一個個股
[06:12] 他其實都是基本面
[06:14] 或者是展望體質都還不錯的一些既有股
[06:18] 那舉個例子來說吧
[06:21] 例如說像是2308的這個臺達店
[06:24] 臺達店創歷史新高了
[06:26] 對
[06:26] 創歷史新高了
[06:29] 現在這個臺北股市
[06:31] 就是希望有這種所謂的精神指標
[06:34] 能夠持續的帶領這個市場上面的多頭信心
[06:39] 而且更重要的事情是
[06:40] 臺達店登高一呼啊
[06:43] 其他相關的同族群的一些個股
[06:46] 例如說像是光寶科
[06:48] 那麼今天也是出現亮燈漲停板的一個表現
[06:52] 好久沒看到光寶科大漲了
[06:54] 對
[06:54] 所以我說這一些的這種所謂的
[06:57] 重點是指標股能夠大漲
[07:00] 那基本上呢
[07:01] 可以說是讓這個多頭吃下一顆定心丸
[07:05] 讓大家覺得說
[07:07] 現在這麼高了
[07:08] 這些這個基優的個股還能夠維持在高檔
[07:12] 甚至還在持續的一個創高
[07:13] 那大家會對接下來的行情會更有信心
[07:17] 我覺得這個是今天在盤面上面的觀察上
[07:20] 我個人的一個小小的一個心得
[07:23] 因為總不要都是臺積電一個人的武林
[07:26] 對不對
[07:27] 我們都覺得臺積電真的太好了
[07:28] 這個法說講完以後
[07:30] 我真的整個人震驚了
[07:32] 但是如果執掌臺積電
[07:33] 大家也不會開心
[07:35] 也會很懊惱說都沒有臺積電
[07:37] 那當然臺積電的裝置股
[07:38] 在最近反而比較沉默
[07:40] 因為他們在12月開始
[07:42] 已經漲了一大段了
[07:43] 這邊也不能否認
[07:44] 那風水輪流轉
[07:46] 雖然現在的資金真的很熱
[07:47] 我們看到昨天上市加上櫃
[07:49] 其實創了歷史新高的量
[07:51] 將近一點一兆
[07:52] 那今天也不小
[07:53] 今天上市加上櫃
[07:55] 也是9000多億
[07:56] 好可怕
[07:57] 動不動就是可以破灶的量
[07:59] 跑出來
[08:00] 那當然韋泰也有講一件事情
[08:02] 那今天有沒有別的精神指標
[08:04] 就有嘛
[08:04] 臺達電創新高了
[08:06] 光寶科漲停板了
[08:07] 甚至這個剛剛講到的
[08:09] 很多右下角的
[08:10] 之前的好股票
[08:11] ASKY以高價股來說
[08:13] 富士達對不對
[08:15] 然後甚至已經跌很久的佳澤
[08:17] 今天也漲停板
[08:18] 那被動元件的老二哥
[08:21] 華新科
[08:22] 華新科也提出要漲價也漲
[08:24] 那今天國巨其實也有漲
[08:26] 好建策是漲停板的
[08:28] 等於是說
[08:28] 我們有一段時間都講
[08:30] 1月以來都漲這種
[08:31] 50塊以下的股票
[08:32] 那很多千金股都只漲
[08:34] 當場最熱的
[08:36] 可是這一些呢
[08:38] 散熱怎麼辦呢
[08:39] BBU怎麼辦呢
[08:40] 甚至像重電也回升了
[08:42] 華晨今天還有在創歷史新高哦
[08:44] 像這些很厲害的高價股回來
[08:47] 所以會讓很多人的感受
[08:49] 今天是
[08:49] 我沒有被委屈到了
[08:51] 就是真的大家都會輪流動
[08:53] 那如果這些所謂的高價
[08:55] 有佔全值的
[08:56] 又是龍頭股
[08:57] 它從右下角上來
[08:58] 那這個盤
[09:00] 自然你會覺得火花延續是OK的
[09:02] 如果以為都會漲那些
[09:04] 幾十塊的加臺積電
[09:05] 其實你會覺得
[09:07] 這個火花能夠一直延續嗎
[09:08] 你每個人都很擔心
[09:09] 他又沒有賺錢
[09:10] 漲那麼多
[09:11] 雖然知道是很熱門的
[09:13] 低軌衛星
[09:13] 覺得低軌衛星
[09:15] 昨天金寶開
[09:17] 法說就講說
[09:18] 他們低軌衛星的業務
[09:19] 現在是暫時停滯的
[09:21] 哇塞
[09:22] 嚇死了
[09:23] 今天就跌停板
[09:24] 等一下我們會來聊這個事情
[09:25] 超級有趣
[09:26] 最近不管是法說或尾牙
[09:28] 其實都有很大的帶動效果
[09:30] 例如音樂達
[09:31] 音樂達是前天尾牙
[09:33] 然後就喊說
[09:34] 他們有切入這個ESC領域
[09:35] 在這個AI伺服器
[09:36] 也會大幅放量
[09:37] 那昨天因為盤不好被壓抑
[09:39] 今天直接送一根張庭盤
[09:40] 超級猛
[09:41] 很少看到音樂達
[09:42] 可以連續兩天都暴漲的
[09:44] 所以最近有尾牙的
[09:45] 像接下來偽創要尾牙了
[09:47] 偽創加油
[09:49] 這些都會是剛剛韋泰講的
[09:52] 盤面上為什麼
[09:52] 今天會讓大家覺得
[09:53] 好像信心回來了
[09:55] 有這樣的一個味道
[09:56] 但是我們先一個一個來拆解
[09:58] 我覺得韋泰可以先幫我們
[09:59] 追蹤電的部分嗎
[10:00] 因為電就包含了
[10:02] 剛剛講到的重電
[10:03] 重電先從華晨點火
[10:05] 他每天就點火
[10:06] 因為他就自己負責什麼
[10:07] 創新高
[10:08] 他不一定漲停
[10:09] 每天有不同的人漲停
[10:10] 你記得嗎
