[00:00] 欢迎收听赵华与古惑仔第1087集
[00:09] 今天是2026年的4月29号
[00:12] 好快哦
[00:13] 4月要过完了
[00:14] 那这个4月当然是非常惊奇的4月了
[00:17] 台股就一路涨涨涨
[00:19] 从这个3月的战争阴霾
[00:21] 涨到了摸到4万点
[00:23] 好
[00:24] 昨天晚上其实美股的表现是比较不好的
[00:26] 有一些讯息传出来
[00:28] 包括在盘前的时候
[00:29] 因为美股现在也在陆续的公布财报
[00:32] 这礼拜也就是明天
[00:34] 也会有所谓的四大云端
[00:36] CSP业者的财报要公布
[00:39] 明天也很重要
[00:39] 明天还有联发科
[00:41] 台达电等等的重量级法刷
[00:44] 那昨天发生什么事呢
[00:46] 昨天晚上其实像美股有一些
[00:48] 光通讯的财报开出来并不理想
[00:50] 大家耳熟能详的
[00:52] 像康宁前一阵子跟这个Meta有合作吗
[00:55] 在这个光通讯上面
[00:56] 但因为财报不理想
[00:58] 所以昨天康宁是叠了9个百分点
[01:00] 有另外一家这个叫做天虹科技
[01:03] 台湾是这样翻译的
[01:04] 那他也叠了13个百分点
[01:06] 这些都是跟CPU相关的
[01:07] 那随即还有一个讯息
[01:09] 其实我们之前也讨论过好几次
[01:11] 就是OpenAI
[01:12] 这个AI永动机的
[01:15] 本来的那个头
[01:16] 粽子头上面的那一串
[01:18] 最上面的那一颗
[01:19] 他也提到首席财务官说
[01:22] 他不太能确定
[01:23] 未来的收入
[01:25] 能不能因应他们开出去的
[01:27] 那一些合约
[01:28] 能不能付得出来
[01:29] 这也是当初
[01:31] 他们这个所谓的
[01:32] 给甲骨文的一些未来订单
[01:34] 让大家很担心
[01:35] 会不会变巴拉票
[01:36] 所以这个话一说出来
[01:37] 昨天其实美股
[01:39] 在这些AI股里面的表现
[01:40] 大家普遍是一个不好的情形
[01:42] 不过今天的台股必须讲
[01:45] 还是一个超级强的状态
[01:48] 因为今天盘中
[01:50] 一度有下杀600点
[01:51] 我还想说
[01:51] 也好啦
[01:53] 你不杀
[01:53] 大家怎么上车
[01:55] 大家怎么样可以安心的
[01:57] 在每天涨的情况下去买股票呢
[02:00] 结果盘中还一度拉到翻红
[02:03] 那中场是下跌了218点
[02:06] 真的是小小跌哦
[02:07] 贵买指数是这个盘中就翻红之后
[02:10] 就一路是红的
[02:11] 算是今天中小股还可以
[02:14] 还可以
[02:14] 那族群性的话
[02:16] 今天并没有说非常的强
[02:18] 可能比较强的会是像
[02:19] 有一些特化
[02:20] 有一些机器人
[02:22] 比较散落在各族群里面
[02:24] 有一些记忆体
[02:25] 但记忆体是好坏参半
[02:27] 好先来欢迎今天的来宾
[02:28] 今天来宾特地来帮我们录podcast
[02:30] 他有很多想法可以来反映给大家
[02:35] 因为他本来也觉得到四万点
[02:37] 应该乖离也要修正一下下
[02:38] 可是我们就中场只跌两百多点
[02:42] 似乎没有达到修正的效果
[02:44] 先来欢迎他
[02:45] 就是我们的AI达人
[02:47] 蔡明翰
[02:47] 明翰哥
[02:48] 召唤好
[02:49] 听众朋友大家好
[02:50] 昨天这个明翰哥有来上理财达人秀
[02:53] 那也其实上个礼拜
[02:55] 米汉哥就稍微提到
[02:57] 台股还是一样跟美股的乖离
[02:59] 以及跟所谓越际线的乖离
[03:01] 有点一下子拉的太开
[03:02] 要修正一下
[03:03] 但台股就是这么的猛啊
[03:06] 不但在你说完之后
[03:08] 两次去摸4万
[03:10] 当然4万我想
[03:11] 现在看起来是一个关卡
[03:12] 但今天说实话
[03:14] 只跌200点
[03:15] 这个实在也没有什么跌到
[03:17] 所以现在投资人面对
[03:19] 接下来还有重量级的法说
[03:20] 重磅级的财报
[03:21] 还有机会会回档吗
[03:23] 我觉得其实还是蛮有可能性的
[03:27] 因为我们先讲
[03:29] 这个回档不代表说这个趋势翻转
[03:31] 没错
[03:32] 我们一直强调这件事
[03:33] 一直强调
[03:34] 这长线趋势还是往上的
[03:36] 只是我不断是告诉大家
