[00:00] 歡迎收聽趙華與古惑仔第1032集
[00:09] 今天是2026年的2月4號
[00:12] 市場上除了0050之外
[00:15] 群翼投信也有一檔是執行的ETF00923
[00:19] 他在去年11月調整指數後
[00:21] 把臺積電的佔比拉高
[00:23] 和與大盤對齊的40%幾哦
[00:26] 那此次調整後
[00:28] 首次公佈配息
[00:29] 預估配息金額是1.71元
[00:32] 年化配息率超過12%
[00:35] 是近期配息最好的市值型ETF
[00:38] 提醒有興趣的投資人
[00:40] 本次最後買進日是2月25號
[00:43] 還是要提醒大家哦
[00:45] 投資要注意相關的風險
[00:46] 投資人要依照自己的風險屬性
[00:49] 來謹慎的挑選商品
[00:51] 再過五個交易日就要封關了
[00:54] 這個是我們臺股要放農曆年的假期
[00:57] 當然美股不休息哦
[00:59] 但我們這一年因為說實話
[01:01] 元月的行情可能真的太精彩刺激了
[01:04] 感覺大家好有捨不得離場的狀態
[01:07] 像今天的話
[01:08] 今天的盤其實很厲害
[01:11] 因為我們看到昨天晚上
[01:12] 美股是比較疲弱一點的
[01:14] 尤其科技股
[01:15] 以及昨天有AMD的財報
[01:17] 在今天凌晨公佈
[01:18] 那今天盤後AMD是大跌將近8個百分點
[01:23] 也就是大家覺得並不滿意
[01:25] 那裡面還有一個大家很關注
[01:27] 就是我們前兩天也特別提到的
[01:29] 紛擾盤面上的利空裡面
[01:32] 有一個可能真的要稍微留意
[01:33] 就是OpenAI到底能夠拿到NVIDIA多少錢的一注
[01:37] 以及到底它下給這些相關廠商的訂單
[01:41] 到底能不能真正做實現
[01:43] 因為昨天也有人在AMD的法說詢問
[01:46] 對OpenAI訂單的肯定度
[01:48] 其實是沒有得到令市場滿意的一個答覆
[01:51] 但這些事情似乎在今天台股的盤面上
[01:55] 也就小小反映了開盤
[01:57] 是黑的
[01:57] 慢慢的又往上走
[01:59] 而且大家看到
[02:00] 今天上市上櫃漲停的加速
[02:03] 還是很多
[02:04] 今天中場是收漲了94點
[02:07] 包括像是低軌衛星
[02:10] 還是猛到不行
[02:11] 深拿科在被關的情況下
[02:13] 依舊上了1400塊錢
[02:15] 創歷史新高
[02:16] 耀華這型別的低價的
[02:18] 也都漲停板
[02:19] 還有我們的今天PCB超級猛
[02:23] 禮拜一好姐妹婉婷來
[02:25] 才跟大家分享
[02:26] 結果今天就全面噴出了
[02:28] 臺光電也漲停板
[02:30] 錦碩漲停板
[02:31] 真頂KY漲停板
[02:33] 鏡棚漲停板
[02:34] 機體也回溫了
[02:36] 力機電漲停板
[02:37] 這個數不完啦
[02:39] 大家自己看CPU光環
[02:41] 環宇KY等等的漲停板
[02:42] 太陽能今天什麼冒底啊
[02:44] 就是很多低價的
[02:46] 不管他有沒有賺錢
[02:47] 全部都漲停板
[02:48] 好
[02:49] 這樣子要離場嗎
[02:51] 很多人也是在問
[02:52] 今天特地趕來幫我錄Podcast
[02:55] 來賓同樣的問題
[02:57] 那我們昨天有提到
[02:58] 該離場或是該進場
[03:00] 好像不應該只看
[03:02] 後面有沒有長假
[03:03] 而是要看大家到底
[03:04] 有沒有培養出
[03:05] 自己在股票市場的一套紀律
[03:06] 那這幾天有非常多的聽眾
[03:09] 有私訊趙華
[03:10] 而且都寫很長
[03:11] 等一下有機會
[03:12] 也就大家跟我們分享的
[03:13] 來繼續跟聽眾朋友們
[03:15] 也來做一些解說
[03:16] 先來歡迎今天來賓
[03:17] 今天來的是國泰正期的
[03:19] 蔡明翰
[03:20] 明翰 謝你
[03:21] 趙華 聽眾朋友大家好
[03:23] 好 明翰 謝謝你今天特別來
[03:24] 因為他在整個2025到2026年
[03:28] 就是12年好了
[03:29] 他變得好忙
[03:30] 就是真的是很沒有時間
[03:33] 然後他們公司又一直找他
[03:35] 去做這個親善大使
[03:37] 就是所有的記者都找他
[03:39] 然後他們國泰正齊開一個頻道
[03:41] 什麼事情短影片長影片都要他錄
[03:44] 真的好忙
[03:45] 但沒有關係
[03:46] 我還是把他拗來了
[03:47] 很多人喜歡聽明翰協理講
[03:49] 整個股市的投資節奏
[03:51] 所以我覺得臺股真的是世界強
[03:54] 我記得前兩天有一天跌700點
[03:57] 那一天我還賴你嗎
[03:58] 我說今天盤前就賴你了
[04:00] 我說今天看起來會跌不少
[04:02] 你就說跌不到哪裡去
[04:03] 上禮拜我已經反應了
[04:05] 然後我就說跌我就要減
[04:07] 然後後來跌到月線
[04:09] 我覺得很棒
[04:09] 因為我就有機會減了
[04:11] 可是這兩天又開始非常的厲害
[04:13] 非常的強
[04:14] 那還剩五個交易日
[04:15] 你會怎麼樣來看待
[04:17] 臺股這波的強勢
[04:18] 是不是有機會過完長假之後
[04:21] 繼續延續
[04:22] 因為我們現在感覺上比美股厲害
[04:24] 對
[04:24] 確實
[04:26] 剛剛趙華提到
[04:28] 結論有兩個最重要的關鍵點
[04:30] 第一個就是臺股非常強勢
[04:32] 其實比較關鍵點有兩個
[04:35] 第一個部分來講
[04:36] 就是臺股的基本面真的很好
[04:39] 應該說目前陸陸續續
[04:42] 要公佈營收了
[04:44] 但是其實就
[04:45] 無論上個月營收
[04:47] 或目前正在公佈的營收
[04:49] 其實表現都不錯
[04:50] 代表基本面是真的很強
[04:52] 那尤其是照理說
[04:54] 去年應該說去年第四季開始到現在
[04:57] 本來就是一個淡季的時間點
[05:00] 但是你簡單來講
[05:01] 完全看不出淡季
[05:03] 當然說產業的落差很大
[05:05] 但是如果加總之後
[05:06] 你完全看不出淡季
[05:07] 你會覺得現在剛好
[05:09] 正在那個第三季最旺的時候
[05:11] 那代表真的需求很強勁
[05:13] 所以帶動整個指數非常強勁
[05:16] 另外一個剛好是時間點的效應
[05:19] 每年呢
[05:20] 我個人覺得從這個12月
[05:23] 一直到隔年農曆年這一段時間
[05:26] 我們之前在節目也常常提到
[05:28] 這一段就是所謂的作夢行情
[05:30] 加上年初的紅包行情
[05:32] 一起包裹在一起
[05:34] 那隻要過往只要這段時間
[05:36] 不要出現什麼這種所謂黑天鵝事件
[05:39] 通常表現都不會差
[05:41] 它會一路震盪走高
[05:43] 那一路到這個農曆年過後
[05:46] 大概進入三月之後
[05:47] 就會慢慢又恢復到正常的水位
[05:49] 那這個差異在哪裡
[05:51] 就是剛剛提到
[05:52] 基本面好的
[05:54] 漲多之後開始休息
[05:55] 這段時間容易漲一些
[05:57] 沒有什麼太多數字的
[05:59] 還是沒關係
[05:59] 反正就講今年26年會有多厲害
[06:02] 那加上股價那麼便宜
[06:04] 就很容易漲
[06:05] 那我會提醒大家
[06:07] 就是說這是每年的這個
[06:09] 這個架構都這樣
[06:10] 以前我幹研究員就常會很吃虧
[06:13] 因為我們很看數字
[06:14] 然後就在這種漲的時間點
[06:16] 這個不行那個不行
[06:17] 這個其實都是騙人的
[06:19] 問題是人家就會漲啊
[06:20] 後來經過多次教訓
[06:22] 這個就是這樣子
[06:24] 也沒有
[06:24] 我是覺得合情合理
[06:25] 都可以操作
[06:26] 但記得一件事情
[06:28] 在農曆年前
[06:29] 也不會到完全
[06:31] 等於說開春就會翻轉
[06:34] 只是說在這個農曆年前後
[06:36] 這種氛圍都會延續
[06:38] 但是如果農曆年回來過後
[06:40] 我就會建議大家
[06:41] 你手上的持股
[06:43] 你要去檢查一下
[06:44] 它的營運狀況
