[00:00] 欢迎收听赵华宜古货载第1094集
[00:09] 今天是2026年的5月11号
[00:11] 又是一个星期一
[00:13] 而且还是一个盘式蛮漂亮的星期一
[00:16] 上市加上柜的涨停板加速又是一个超过100加
[00:21] 那今天看得出来比较伤脑筋的是台积电
[00:25] 台积电压尾盘
[00:26] 所以我们今天的指数从一度涨了400多点
[00:29] 到中场的话下跌186点
[00:32] 不过因为台积电就跌了55块钱
[00:35] 所以也代表说
[00:36] 今天又是台积电把他的位置浪出来
[00:40] 中大型股有涨的
[00:41] 不是没有涨
[00:42] 那中小型股更凶了
[00:44] 因为今天贵买指数是再创历史新高
[00:47] 中场涨超过三个百分点
[00:50] 那今天又是主动式ETF的全胜日
[00:53] 好的有涨到快五个百分点
[00:56] 不好的也是有两三个百分点
[00:58] 那台积电怎么了
[01:01] 我想这个是很多人在这一两天
[01:03] 又开始担心起来了
[01:05] 那我刚刚有跟今天的来宾聊说
[01:07] 哇我们从台积电担心当年
[01:10] intel呛他
[01:11] 3nm我会比你领先哦
[01:13] 2nm会比他领先哦
[01:14] 到台积电去美国设厂
[01:16] 觉得会被强迫一定要投资intel
[01:19] 技术会被intel偷走
[01:21] 可能要怎么样A
[01:22] 可能要怎么样B
[01:23] 结果现在呢
[01:25] 现在之前担心的事情
[01:28] 其实都没有发生
[01:29] 那最新的就是说
[01:30] 因为美国政府其实非常明白了
[01:32] 大力扶植intel嘛
[01:33] 那上礼拜已经传出来
[01:35] 苹果有部分的订单要转到intel嘛
[01:37] 那今天又继续发酵
[01:38] 说因为这个东西可能是在1.8奈米上面
[01:42] 算是蛮先进制程的
[01:44] 会抢走台积电的订单
[01:46] 到底要不要担心
[01:47] 总之今天会来讲一下
[01:51] 台积电要不要担心
[01:53] 还是每一次台积电要让你担心的时候
[01:56] 其实是要让你买的
[01:57] 还有中小型股还是一个轮动而健康的格局
[02:01] 该怎么看
[02:02] 好 先来欢迎今天的来宾好了
[02:04] 今天来的是题材猎人汉伟哥
[02:06] 大家好 各位听众朋友大家好
[02:08] 看到汉伟哥我就想到
[02:09] 汉伟哥坚守的记忆题
[02:11] 今天真的已经算是蛮多创历史新刀的
[02:16] 喷出尤其是群联
[02:17] 我们上礼拜还在开玩笑说
[02:18] 这个群联老板最近这个采访无一不于
[02:21] 只要认真约他都会去
[02:24] 那果然看来是奏效的
[02:26] 那上个礼拜五大家应该也记得
[02:28] 是群联和以鼎的法说
[02:30] 今天这两档都是涨停板
[02:32] 因为成绩都非常的亮眼
[02:34] 好我们一项项讲好了
[02:37] 整个大方向来说
[02:38] 大家现在又开始有一点点担心台积电了
[02:41] 苹果的事情不是今天传出来的
[02:43] 苹果的事情上礼拜就传出来了
[02:45] 而且看得出来在川普的努力下
[02:47] 大力扶植Intel是一个险靴
[02:50] 这个不用否认
[02:51] Intel也涨非常的多
[02:52] 这个我相信你如果持有Intel的股票
[02:55] 是没有什么问题的
[02:56] 就是顺水推舟的
[02:58] 一直涨一直涨
[02:59] 但是你说
[03:00] Intel是不是能够
[03:01] 在大力扶持下
[03:02] 它就可以从
[03:03] 这个本来做三奈米
[03:05] 变成一下子
[03:06] 就可以抢走人家的
[03:07] 1.8奈米
[03:07] 这个可能是两个议题
[03:09] 我先来请汉玮哥
[03:11] 分享一下
[03:11] 对我认为
[03:13] 这个应该也算是一个
[03:14] 每一次台积电
[03:16] 涨上去
[03:16] 然后遇到一些杂音
[03:17] 就会出现的一个问题
[03:19] 所以大家这样可以看到
[03:20] 最近的消息就是
[03:21] 苹果看起来
[03:22] 左搂右抱
[03:23] 左边跟三星眉来眼去
[03:25] 右边又跟英特尔
[03:27] 对有这样的一个合作消息
[03:29] 所以那当然英特尔部分
[03:30] 因为美国政府是大力的扶植
[03:33] 所以我认为说
[03:34] 你只要是美国本地的厂商
[03:37] 肯定都会采用英特尔代工方案
[03:39] 所以不管是先进封装
[03:41] 不管是在晶圆代工部分
[03:43] 势必会去有一些所谓的
[03:45] 市占率的提升
[03:46] 我觉得这一点可以肯定
[03:47] 但会不会影响到台阶的地位
[03:49] 我认为这个完全不用担心
[03:51] 因为毕竟我们讲
[03:52] 先进制程的一个落差就在那里
[03:54] 不管是在所谓的英特尔或三星
[03:57] 所谓的1.8奈米或1.4奈米
[04:00] 有没有办法去威胁到台阶的良率
[04:02] 我觉得看起来都还言之过早
[04:05] 所以整体上来看的话
[04:06] 我觉得台阶竞争率摆在那里
[04:08] 不会有被取代的问题
[04:10] 那只是说短线上
[04:11] 因为消息面的消息这个影响
[04:14] 股价有点震荡
[04:15] 我觉得在所难免
[04:16] 因为毕竟它的一个
[04:17] 这个权重跟位阶比较高
[04:20] 而且你不要忘了
[04:21] 外置的空单有54000多口
[04:23] 所以顺势压低一下台积电
[04:25] 减轻它的空单压力
[04:26] 我觉得也算是合理
[04:27] 所以目前来看
[04:29] 我们要跟大家讲的是
[04:30] 最少在一两年之内
[04:32] 我认为在台积电的领先地位
[04:34] 也不会有任何改变
[04:35] 那你说两年之后
[04:37] 会不会英特尔跟三星追上
[04:38] 我觉得也不用担心
[04:39] 因为毕竟每年台积电的一个建厂
[04:42] 跟研发的速度
[04:43] 跟它整体上
[04:44] 在整个半导体晶片制造的一个材料
[04:48] 封装等等的一个供应的完整
[04:50] 都不是单单一个政府扶持
[04:52] 就能够超越的
[04:53] 所以我觉得这个当然就是代表说
[04:55] 你说英特尔要能够
[04:57] 正式去追上台积电
[04:59] 它背后要有一个完整的供应链
[05:01] 那你想想看
[05:01] 英特尔供应链
[05:02] 也要台湾的一个供应链的一个扶持
[05:05] 所以这个我觉得对于整体上
[05:07] 台积电的一个未来竞争力
[05:09] 跟它股价的成长性
[05:10] 我觉得没有任何的问题
[05:12] 那短暂来看的话
[05:13] 当然因为这个
[05:14] 涨多之后的一个震荡拉回
[05:16] 所以大家会问说
[05:17] 那到底台积电这边
[05:19] 是要比较担心呢
[05:21] 还是拉回来再来买方
[05:23] 我觉得其实拉回来再来买方
[05:24] 应该是最好的一个解决方法
[05:26] 那你说股价今天跌破五日线的关卡
[05:29] 会不会再往下回撤
[05:30] 我觉得简单的方法就是
[05:31] 既然之前破季线你不敢接
[05:34] 那回到月线你去接看看
[05:36] 我觉得应该不会有太大问题
[05:37] 因为毕竟目前
[05:38] 你光看到美股的废办指数
[05:41] 已经一直在创立新高
[05:43] 它跟三星之间的距离也在拉近
[05:45] 就代表说
[05:46] 整体上全球半导体的股票
[05:47] 都在创新高
[05:48] 我不认为以台积电在全球的领先地位
[05:51] 所有的晶片制造都要透过它来做一个相关制造生产
[05:56] 这样的公司会跌到哪里去
[05:58] 所以目前来看
[05:59] 我觉得拉回来勇敢买是最好的方法
[06:01] 台积电的买法
[06:03] 说简单
[06:04] 真的好简单
[06:06] 因为之前三月时有跟大家分享
[06:08] 2000块台积电不敢买
[06:10] 19台积电不敢买
[06:11] 那就18可以买
[06:12] 17可以买
[06:13] 瞬间上去了
[06:14] 这时候又好害怕
[06:15] 对不对
[06:16] 因为觉得这个要放宽透性
[06:18] ETF的持股上限
[06:19] 主动型ETF
[06:20] 主动型的基金
[06:21] 可以买台积电到25%
[06:23] 又觉得怕买不到
[06:25] 怕买不到
[06:26] 这些就是在
[06:27] 它是一个极度适合
[06:29] 反市场的人性操作的一家公司
[06:32] 因为它的前景
[06:33] 真的不会因此而变化
[06:35] 我有没有对台积电担心过
[06:37] 坦白说一定有对台积电担心过
[06:40] 事实上那时候
[06:41] 台积电要去美国设厂的时候
[06:43] 我是真的也会难免
[06:45] 多方的了解打听的时候
[06:47] 也会站在说
[06:48] 去美国以后
[06:49] 会不会现场成本非常高
[06:50] 其实有听到非常多的说法
[06:52] 人非常的难找
[06:53] 水电都是问题
[06:54] 建厂的进度可能会不如预期
[06:56] 但是我觉得台积电就是猛在这里
[06:58] 因为其实那时候
[06:59] 他就有做了一个五年的计划
[07:00] 告诉大家
[07:01] 如果在美国建厂
[07:02] 很有可能毛利率会当到53%
[07:04] 我不晓得大家还记不记得
[07:06] 大概两年前的事情了
[07:07] 53%
[07:08] 那后来出来之后
[07:09] 市场也一段时间
[07:11] 其实台积电那时候
