[00:00] 欢迎收听赵华宜古惑仔第1161集
[00:09] 今天是2026年的8月14号
[00:12] 又是星期五啦
[00:14] 那这个星期算是反弹周
[00:17] 反弹周
[00:18] 周一到周四
[00:20] 天天都是一个体感温度相当不错的状态
[00:23] 到了礼拜五
[00:24] 今天体感可能就差了一些些了
[00:27] 因为叫做开高走低
[00:28] 总场下跌210点
[00:30] 当然这个点数不算太多
[00:32] 已经谈6000点了嘛
[00:33] 不过开高走低
[00:34] 就是形成了一个黑K
[00:36] 那贵买今天跌了1.27%
[00:38] 也代表从小行股
[00:40] 在今天的体感温度
[00:41] 一样是不好的
[00:42] 一样是不好的
[00:44] 但似乎不能说
[00:46] 这样子的回档
[00:48] 有什么样的奇特
[00:49] 因为这段时间
[00:50] 我想大家在涨的过程中
[00:52] 又难免产生了一种
[00:53] 好像不会打脚
[00:55] 好像不会停了
[00:57] 又要去创前高了
[00:58] 那我还没有上车
[01:01] 或者是我才刚受伤
[01:04] 我才刚解码
[01:05] 那这样反弹我怎么办
[01:07] 这种情绪
[01:08] 我很细微的观察这个市场的反应
[01:11] 发现这一波
[01:12] 即使同样上一次的46000
[01:14] 跟这一次的46000
[01:16] 上46000
[01:16] 大家是有点欢声鼓舞的
[01:18] 因为觉得五万点就在前面了
[01:21] 然后前面也都赚钱了
[01:23] 开心
[01:23] 只要下来有减都是开心
[01:25] 可是这一次到了四万六
[01:27] 大家的心情
[01:28] 那种半信半疑的浓度非常的高
[01:30] 一方面是因为历经了一个比较大的修正
[01:33] 可能受伤的感受还没有回来
[01:35] 我们常常讲
[01:36] 看到这样是不是叫传过水无痕
[01:38] 也许传过水无痕
[01:40] 但收伤过
[01:41] 你的钱包会有痕
[01:43] 你的心也会有痕
[01:44] 所以它都会影响到大家做操作的决策
[01:47] 不过最近的话看得出来
[01:50] 只要缴出好的财报这件事情
[01:52] 市场多半还是给予正向反应
[01:56] 我觉得这个就是市场恢复到正常的一个证明
[01:59] 好那到底下周该怎么想呢
[02:02] 今天台币强升
[02:04] 是不是外资有可能成为这一波资金的接棒者
[02:08] 让我们的结构有所改变
[02:10] 来欢迎星期五男孩
[02:12] 黄峰凯凯哥
[02:13] 早好各位听众大家下午好
[02:16] 今天没有影片版
[02:17] 我不好意思
[02:18] 因为第一今天我想跟凯哥聊聊天
[02:20] 然后第二
[02:21] 今天我们也有比较多人休假
