[00:00] 欢迎收听赵华与古破仔第1110集
[00:09] 今天是2026年的6月2号
[00:12] 今天的加群指数还是创了一个所谓的收盘新高
[00:16] 但没有再创历史新高了
[00:18] 而今天的量呢
[00:19] 现在真的就是动不动就要到1兆5 1兆6的量能哦
[00:24] 真的是一个很夸张的数字
[00:26] 那今天的盘相对之下我觉得算喜
[00:29] 怎么讲呢
[00:30] 这几天从上礼拜五开始
[00:32] 大型的AI全职股就开始表态了
[00:36] 礼拜五强
[00:37] 礼拜一强
[00:38] 今天还是强
[00:40] 所以以指数来说
[00:42] 你说要再续创新高什么的
[00:44] 有这些大型全职股
[00:45] 我想这个上市的指数是不会寂寞的
[00:48] 但是贵买就比较辛苦一点了
[00:51] 因为今天的贵买最后还是一个收黑
[00:53] 跌了1.21%
[00:55] 所以中小型股今天的洗刷震荡幅度
[00:58] 是非常非常的大哦
[00:59] 那指数呢
[01:00] 今天上下的差距
[01:02] 也有超过1000点
[01:04] 现在呢
[01:04] 盘中震荡1000点
[01:06] 也似乎不是什么
[01:07] 了不起跟稀奇的事情
[01:09] 但今天的体感
[01:10] 可能相对之下
[01:11] 就不是那么好了
[01:12] 因为礼拜五跟礼拜一
[01:13] 虽然是涨大型股
[01:14] 我们讲的广大鸿海伟创
[01:16] 都来了哈
[01:16] 都涨起来了
[01:17] 华硕 技嘉等等的
[01:19] 但是那个时候
[01:20] 中小型股其实也蛮强的
[01:22] 有点大小股一起涨
[01:24] 可是今天的话
[01:25] 说实话
[01:26] 小型股涨到了谁
[01:27] 涨到了像资通讯软体
[01:29] 这个我们在昨天也有聊到
[01:31] 接棒的除了老AI
[01:33] 还有所谓的边缘AI
[01:35] 那软体股
[01:36] 因为之前有提到
[01:38] AI在开发的时候
[01:39] 美国曾经有一个担忧
[01:41] 就是说
[01:42] 现在软体的开发成本
[01:43] 可以大幅的下降
[01:44] 有很多软体公司
[01:46] 可能毛利率
[01:46] 什么会受到很大的影响
[01:48] 所以台湾的软体股
[01:49] 也顺势跌了一大波
[01:51] 但跌了一大波
[01:52] 观察各一家的
[01:54] 获利的状况
[01:55] 需求的状况
[01:56] 并没有同步真的减淡什么
[01:58] 所以当这个谣言去了
[01:59] 而昨天的背板股上面
[02:00] 也有相当多的
[02:01] 所谓台湾的支付软体股
[02:03] 今天也就顺势也都大喷
[02:05] 但这个股票说实话
[02:07] 平常的成交量比较小
[02:09] 股本比较小
[02:10] 所以今天的小型股
[02:11] 长在支付软体股
[02:12] 但是你可以看到
[02:14] 被动元件
[02:15] 红了好长好长一段时间的
[02:18] 今天就整个大洗刷
[02:19] 包括说像之前
[02:21] 比较红的封测股
[02:22] CPO
[02:23] 今天都是一个
[02:25] 比较震荡幅度剧烈的状态
[02:27] 好那今天的来宾要来讲解这件事情了
[02:31] 指数看来还不错
[02:32] 右创收盘高
[02:33] 可是体感温度降低了
[02:35] 接棒由大型股接棒看来很健康
[02:38] 可是大家还是希望我手上的中小型热门股可以涨
[02:41] 先来欢迎他
[02:43] 今天来的是我们的AI达人蔡明翰
[02:46] 早好听众朋友大家好
[02:48] 明翰昨天没来
[02:49] 但昨天我的parker有聊到明翰
[02:51] 我有跟明翰说
[02:52] 然后我就说要是昨天这种听众的问题
[02:55] 是给明翰解答
[02:56] 那惨了
[02:57] 大概一个半小时跑不掉
[02:59] 但是我们先回到今天的盘面上
[03:02] 对不对
[03:02] 因为这一次黄仁勋的背板骨是非常多
[03:05] 也非常可爱
[03:05] 还把他去的餐厅都列上来
[03:07] 但这一次的激励效果
[03:09] 我们还是得佩服黄仁勋
[03:11] 因为这个AI以现君
[03:13] 我们讲了很久
[03:14] 讲了说这个老AI到底什么时候要起掌
[03:16] 这三天的掌势真的非常伶俐
[03:18] 对应该我觉得
[03:20] 總是最後要有人來點火
[03:23] 我們以前常常講的
[03:25] 只要應該要有兩個條件同時成立
[03:29] 第一個部分就是基本面很好
[03:31] 其實老實講
[03:33] 老AI的基本面其實真的是非常好
[03:36] 一直以來都沒有太大的疑慮
[03:38] 就是簡單而言
[03:39] 就是資金一直不流進去
[03:42] 它又有一個很大問題
[03:44] 因為他們的股本很大
[03:45] 外資不去點
[03:47] 最大咖不點
[03:49] 就是没有人敢去点这种族群
[03:51] 那黄恩勋来他不需要资金
[03:53] 他只要这个
[03:55] 只要能够他点名到的
[03:57] 几乎都能够转强
[03:58] 那在这一次来讲
[04:00] 这个应该说
[04:01] 该涨的其实今年很多都已经涨了
[04:04] 那剩下唯一跟AI比较有关
[04:07] 那这一次点到的部分呢
[04:09] 可能主要在边缘AI的部分
[04:12] 那自然就包含这些NP品牌厂啊
[04:15] 这些老AI组装厂的部分
[04:17] 都出现比较明显的转强
[04:20] 那我觉得最重要的关键点
[04:22] 还是其实本来基本面就不差
[04:24] 尤其是组装厂
[04:25] 其实我还是要重申
[04:27] 要记得一件事
[04:28] 这个组装厂真的业绩面
[04:31] 老实讲跟边缘AI
[04:32] 真的没有太大的关系
[04:34] 他们的业绩面好
[04:36] 几乎都是原本的AI伺服器
[04:39] 那严格来讲
[04:40] 应该要上半年跟着哪些
[04:43] 包含这个我们常常讲
[04:45] 散热PCBCCL
[04:47] 这些都是因为AI伺服器而大涨的
[04:51] 甚至到风策
[04:53] 这些原本的AI伺服器带领的族群
[04:58] 照理讲不断的轮动
[05:00] 应该是包含这些组装厂都该跟上
[05:03] 可是刚刚提到
[05:04] 就是一不动
[05:05] 这个有点滚雪球效应
[05:07] 一直不动一直不动
[05:08] 大家就觉得他就是一只牛躺在那边
[05:12] 就没有人要去做点火的动作
[05:14] 就没兴趣了
[05:15] 對 就沒有興趣了
[05:16] 那現在呢
[05:18] 大家熱起來突然又講到
[05:20] 他們其實業績不錯
[05:21] 我是說其實業績本來就一直都很好
[05:23] 但是有毛利率的一些疑慮
[05:26] 對 是沒錯
[05:28] 可是我常常講的
[05:29] 這個毛利率的疑慮
[05:31] 尤其是這一季的這個
[05:33] 所謂的廣達最明顯
