[00:00] 欢迎收听赵华与古惑仔第1059集
[00:09] 今天是2026年的3月19号
[00:12] 今天的台股也展现了一股非常厉害的风情
[00:18] 要怎么说
[00:19] 昨天晚上我们就看到了
[00:20] 因为昨天晚上先公布了一个总经数据叫PPI
[00:24] PPI也是跟通膨相关的生产值物价指数
[00:27] 那这样的指数
[00:28] 昨天晚上是高于市场预期
[00:30] 那大家都知道
[00:31] 台股在最近几个交易日
[00:33] 都呈现一个
[00:34] 美国跟伊朗打你们的
[00:36] 油价有点在高档
[00:38] 涨你们的
[00:39] 你们去紧张
[00:40] 我中小型股照涨不误
[00:43] 昨天晚上夜盘
[00:44] 其实在这个通膨的疑虑升温下
[00:47] 事先往下杀的
[00:48] 然后而且那时候还想到一件事
[00:50] 因为你先公布了PPI
[00:51] 但再过几个小时
[00:53] 联准会要开会
[00:54] 那联准会要开会
[00:55] 肯定就会拿通膨大做文章啊
[00:58] 然后呢
[00:59] 还有当然就是美光的财报
[01:01] 这次美光的财报
[01:03] 还是漂亮到让人家觉得无懈可击
[01:07] 可是美光盘后跌了将近五个百分点
[01:10] 这些事情都压抑了台股
[01:12] 其实昨天台股的夜盘盘中
[01:14] 就一度跌了九百多点
[01:15] 可是今天一开盘
[01:16] 我们又傻眼了
[01:17] 台股相对开在比较强的位置
[01:20] 虽然中场是下跌六百五十八点
[01:22] 可是又跌谁呢
[01:24] 跌圈子股
[01:24] 跌什么台积电
[01:26] 跌什么鸿海破底了
[01:29] 跌什么国泰金
[01:30] 都是跌全职股
[01:33] 可是中小股还是非常多档涨停板
[01:36] 今天有64档公司涨停板
[01:39] 然后热门的族群
[01:41] 你说有检测设备的
[01:43] 有PCB
[01:44] 甚至有部分的细光子还是很强
[01:47] 虽然没有像昨天那么的夸张
[01:49] 可是毕竟今天跌600多点
[01:51] 昨天涨500点
[01:52] 可是你还是会感受到
[01:54] 如果您选对的是中小型股
[01:56] 甚至您选对的是
[01:57] 很积极操作中小型股的主动ETF
[02:00] 今天都是红的
[02:01] 但跌1000点啊
[02:03] 旗帜收盘跌1000点
[02:05] 代表什么
[02:06] 代表其实市场还是觉得毛毛的啦
[02:09] 怎么这个联准会态度非常的鹰派
[02:12] 美光力多没有涨
[02:14] 油价今天又飙上去了
[02:15] 破百又继续往上飙
[02:17] 这些事情外资今天加空
[02:20] 都是还是很担心的
[02:21] 我们如何在这样矛盾的气氛
[02:24] 去相信台股可以回暖
[02:27] 或者是后面有更大的问题
[02:29] 今天来的来宾
[02:29] 我们在录音前就聊了很久
[02:32] 等一下也会讲
[02:33] 因为他离开国泰金控之后
[02:37] 现在自由身
[02:38] 这个自由身好可怕
[02:39] 这自由身外面抢亲的人
[02:41] 多到一个吓死人
