[00:00] 歡迎收聽趙華宇股貨載第1043集
[00:09] 2026年臺股繼續強漲
[00:11] 主動式ETF是參與大多頭市場投資人的好選擇之一
[00:16] 群一頭線有一檔主動型的ETF00982A
[00:20] 是今年第一檔公告配息的臺股主動式ETF
[00:24] 不僅從去年5月份掛牌以來
[00:26] 僅8個月漲幅高達近6成
[00:29] 本次的預估配息金額為0.377元
[00:33] 年化配息率大概10個百分點
[00:35] 配息水準更勝高股息ETF表現亮眼
[00:39] 提醒有興趣的投資人
[00:41] 本次配息最後的買進日為2月25日
[00:45] 今天是2026年的2月24號
[00:48] 也是馬年開盤的第二天
[00:50] 這個有一種記事感
[00:52] 因為我記得今年1月也是這個新年到
[00:56] 然後開盤的時候就一路往上噴
[00:59] 每天噴
[01:00] 那今天呢
[01:01] 比昨天更加的猛烈
[01:03] 昨天還有點開高走低
[01:04] 我想大家會覺得
[01:05] 啊續積了一段時間的能量
[01:07] 昨天有宣洩了
[01:08] 沒有想到
[01:09] 完全沒有想到的是
[01:10] 因為昨天晚上說實話
[01:12] 美股的表現並沒有很理想哦
[01:14] 但是今天台股最高
[01:17] 漲點有到1013點
[01:20] 今天盤中有漲超過1000點哦
[01:24] 那中場指數收在34700點
[01:28] 那盤中最高
[01:29] 有到這個34786
[01:31] 也等於是在200多點
[01:33] 我們又跨一階了
[01:35] 要到35k
[01:36] 35000點
[01:38] 好這真的
[01:39] 那昨天臺積電沒有參與
[01:41] 但今天臺積電有參與
[01:42] 我想這個是在指數上面
[01:44] 一個最大的差別
[01:45] 今天臺積電最後收了
[01:46] 1965創歷史新高
[01:48] 那漲了65塊錢
[01:50] 那昨天沒有參與的情況下
[01:52] 當然中小型股的表現非常好
[01:54] 今天雖然臺電有參與
[01:55] 但是因為我們的漲點夠
[01:57] 所以中小型股的表現依舊非常的厲害哦
[02:01] 貴買也是一個大漲作收
[02:03] 那可是也會有人講
[02:05] 現在的中小型股哦
[02:06] 都是熱門中更熱門
[02:08] 例如載板今天繼續熱
[02:10] 昨天已經五顆燈了哦
[02:12] 那今天還是繼續亮燈
[02:14] 細光子繼續亮燈
[02:16] 對不對
[02:16] 那這些都是PCB上游
[02:18] 低軌衛星華通最後也收一個漲停
[02:21] 京居今天出關
[02:22] 同博也一樣收一個漲停
[02:25] 那這些公司都是大家知道
[02:27] 好熱哦
[02:28] 等回檔再進好了
[02:29] 回檔多一點再進好了
[02:31] 不回
[02:31] 不回就是不回
[02:32] 天天給你不是漲停
[02:34] 就是漲很多
[02:35] 那怎麼辦呢
[02:36] 那美股在跌
[02:37] 我們也不跌
[02:38] 那什麼時候可以進場呢
[02:40] 這樣的問題
[02:41] 今天的來賓要來好好跟大家聊
[02:43] 我想他也有點無奈
[02:45] 他也有點無奈
[02:47] 先來歡迎他
[02:47] 今天來的是國泰正旗的
[02:49] 蔡明翰明翰協力
[02:51] 趙華聽眾朋友大家好
[02:52] 怎麼辦事情怎麼會演變成這樣
[02:55] 就是你一直都很樂觀
[02:57] 你一直都希望大家能夠投AI
[02:58] 這些我們都很清楚
[03:00] 可是說實話
[03:01] 現在已經到了一種
[03:02] 我們剛剛錄音前有先聊
[03:03] 好像你要硬上
[03:05] 就是你要硬買一些
[03:06] 雖然我們之前也有講
[03:07] 年前其實就有講了
[03:10] 可能得追買一些
[03:12] 然後再來等機會
[03:13] 對
[03:14] 這樣子會
[03:15] 我個人覺得其實現在
