[00:00] 欢迎收听赵华谊股货载第1121集
[00:09] 今天是2026年的6月17号
[00:12] 好再过完明天一个交易日
[00:14] 我们就要去放端午节的廉价了
[00:17] 那今天是台纸期的结算日
[00:20] 那本来大家想说应该会压低结算
[00:23] 事实上开盘的时候有哦
[00:24] 以台纸期的收盘来说
[00:26] 目前跟现货市场是处于一个逆价差
[00:29] 也就是台纸期的点数是收在比较低的
[00:33] 这些也都符合在今天
[00:35] 外资高度空单做结算的一个现象
[00:38] 不过因为现货市场最后一盘拉起来
[00:41] 黑了大半场
[00:43] 最后拉红涨了68点
[00:45] 这也是在现货市场做一个强势的表态
[00:49] 各司其职
[00:50] 各有所赚
[00:52] 那当然我们投资人也可以比较放心的
[00:55] 在下个礼拜之前
[00:57] 我们可以想想看怎么样做布局
[00:58] 因为毕竟这几天盘市是比较观望的
[01:01] 观望什么呢
[01:02] 当然还是得听一下华许讲什么
[01:05] 即使我们这几天的来宾都跟大家持续的分享
[01:09] 台股的多头其实很强
[01:11] 那最近一次的下跌
[01:12] 它的事件性并不是非常的强
[01:14] 不是像对等关税那么的夸张
[01:16] 那么的吓人
[01:17] 应该大幅的修正已经过去了
[01:20] 但是没有听到华许讲话
[01:22] 我想市场的观望的气氛还是比较浓
[01:25] 明天就会揭晓了
[01:26] 明天当然也会好好来跟大家讲
[01:29] 他的话有代表了什么样的一些意义
[01:32] 包括到底未来联准会
[01:34] 还有没有所谓前瞻指引这件事情
[01:37] 都是我们要关注的重点
[01:38] 但无论如何今天拉一个尾巴
[01:40] 而且今天盘中有一个变化
[01:42] 刚开始在拉金融股
[01:43] 拉金融股的时候
[01:45] 其实电子股是有点辛苦的
[01:47] 可是到了大概10点11点之后
[01:50] 电子股的比重有慢慢的上来
[01:52] 金融股有慢慢的下去
[01:53] 这也是台股大家比较喜欢的一个现象
[01:56] 还有就是最近我们的GDP
[01:58] 不断的有各个统计单位
[02:00] 都是上修的
[02:01] 最新一个是台中院
[02:03] 上修我们的GDP到了9.33%
[02:06] 比主计总数的9.64%低一点
[02:09] 但是大家都往10%去做靠拢
[02:11] 这也是台股底气的来源
[02:13] 到底如果买个股
[02:15] 会觉得有点难掌握的话
[02:17] 到底要买什么
[02:18] 今天的来宾
[02:19] 我们会好好的来探讨这个议题
[02:21] 因为现在的股市
[02:22] 其实蛮难用价值面来单纯评估
[02:26] 来的是我们的纯骨交付古鱼
[02:29] 哈喽各位听众朋友大家好
[02:31] 我是古鱼
[02:32] 你说很久没来
[02:33] 有一段时间没有来的
[02:35] 因为赵华都没有邀请我
[02:38] 所以我就没有来节目上的话
[02:40] 跟各位做一些讨论跟分享
[02:42] 我们节目也有小朋友会听
[02:44] 害我刚刚脱口而出
[02:45] 真的吗
[02:46] 你这个叫做本色出演
[02:49] 我们来聊一下
[02:53] 这段时间你在做什么
[02:55] 因为台股在三月的时候
[02:58] 有这个美益站在三万点附近
[02:59] 后来往上冲
[03:00] 说真的又冲了一万多点
[03:02] 虽然我们的主计总处
[03:05] 包括什么台金院台纵院
[03:07] 甚至像我的好朋友
[03:08] M平方的创办人
[03:10] 他们都对今年的GDP预估
[03:12] 真的非常乐观
[03:13] M平方估11%以上
[03:15] 当然我们的政府机关
[03:18] 或是民间调查机构
[03:19] 略保守
[03:20] 就是还没有看到10%这个数字出现
[03:22] 但也相去不远了
[03:24] 我们要怎么评估现在的台股
[03:26] 你觉得算贵还是不贵
[03:29] 其实我们回到台股的角度
[03:32] 来看这个问题
[03:33] 它在目前的状态下面
[03:37] 它是有多底的
[03:38] 就是像刚刚赵华所讲的
[03:40] 一个股市能不能够继续往上去做攻坚
[03:43] 其实GDP的数字
[03:45] 它是一个很好的对照物
[03:48] 我们常会看到啊
[03:49] 当我的GDP在成长的过程
[03:51] 而且呢
[03:52] 它的成长如果超乎预期
[03:53] 通常呢
[03:54] 那一年的股市表现就会非常的好
[03:57] 这呢
[03:57] 在前面几年的话
[03:59] 我们都看到类似的一个现象
[04:01] 比如说像前面几年的话呢
[04:03] 可能在开年的第一月二月的时候
[04:06] 可能它开出来的GDP是
[04:08] 它觉得已经乐观了
[04:10] 但是呢
[04:11] 没有想到后面的发展更乐观的时候
[04:14] 它一路往上去做调整
[04:15] 结果呢
[04:16] 我们的股市呢
[04:17] 也一路呢
[04:18] 往上去做充实的一个动作
[04:20] 所以呢
[04:20] 我们先有一个基本的概念
[04:22] 今年为什么台股股市会这么强
[04:25] 其实呢
[04:26] GDP已经告诉我们一个答案了
[04:28] 各位投资朋友们啊
[04:30] GDP超过9%以上
[04:33] 这个在过去是非常罕见的一个现象
[04:37] 不晓得多少年没看过了
[04:38] 对
[04:39] 我们现在叫做什么
[04:40] 亚洲四小龙时代吗
[04:42] 我们呢
[04:44] 已经是四小龙的龙头
[04:45] 应该是了吧
[04:46] 以这个充斥的一个角度来讲的话
[04:50] 我们应该很快就会占有一席之地
[04:52] 我们叫二度发育
[04:53] 二度发育
[04:54] 就是大家以为长成成年人了
[04:56] 不会再长高了
[04:57] 可是因为AI来了
[04:58] 所以现在我们仿佛如同回到了青少年时期
[05:01] 就是一年长高十公分
[05:03] 我们取得重新发育的一个机会
[05:05] 重新发育
[05:06] 对
[05:06] 那在重新发育的情况之下
[05:08] 我的底已经打得很好了
[05:10] 再让我发育一次的话
[05:11] 我觉得这个后事非常的惊人
[05:13] 当然这是从GDP的角度来看
[05:16] 我们台湾的股市
[05:17] 从另外一个本益比的角度上面来看
[05:21] 其实很多人都有在反映这个问题
[05:24] 就是说他看到台湾目前很多的高价股
[05:28] 还有很多的一个股票
[05:29] 他会觉得说
[05:30] 这一波台股涨得很没有道理
