[00:00] 欢迎收听赵华与古惑仔第1068集
[00:09] 今天是2026年的3月31号
[00:13] 真的是一个让人家觉得很可怕的三月呢
[00:16] 然后接下来又要进入到4月有庆明节的年假
[00:20] 今天呢有不少的朋友都跟我说
[00:22] 你不觉得有种既视感吗
[00:24] 真的有一点
[00:26] 我刚把这个图形打开来看
[00:28] 因为去年的三月也是挺不舒服的
[00:31] 大盘一路跌
[00:32] 这个月季线都跌破了
[00:34] 但当时其实情况比现在可能还要险峻一些
[00:37] 是当时月季线还开始出现要下弯了
[00:39] 下弯了
[00:40] 那我们今天呢
[00:42] 是在大概九个多月以来
[00:44] 第一次正式跌破季线
[00:47] 过去的九个多月我们有跌到季线
[00:50] 但都是点到
[00:51] 然后随后就站上去了
[00:52] 所以季线我们都一直认为是一个还蛮强的支撑点
[00:56] 那今天台股下跌了795点
[01:00] 盘中有跌破大概800点左右
[01:02] 所以今天到收盘为止
[01:04] 我们的季线是妥妥的大黑K跌破
[01:07] 这个是近9个月来的第一次
[01:09] 当然以指数来说
[01:11] 还没有去测前低
[01:12] 我们前面还有一个低点
[01:14] 今天收31722
[01:15] 那前面还有一个低点是31529
[01:18] 还没有去测但也相去不远了
[01:21] 那这样的一个情形
[01:23] 当然是因为虽然之前有一个低点
[01:25] 也测试过大家吓了一大跳
[01:27] 可是指数又慢慢又跌高
[01:28] 好那今天又回测
[01:30] 当然大家都知道这段时间
[01:32] 影响到盘面最大的
[01:34] 就是美伊战争导致的油价上涨
[01:38] 美伊战争后面重点在油价上涨
[01:41] 一直跟大家提醒说
[01:43] 油价上涨太久的话
[01:45] 它对景气就是一个杀伤力
[01:47] 这个是我们在做投资的时候
[01:50] 比较担心的事情
[01:51] 那现在川普不管讲什么
[01:53] 看起来市场上都呈现一个
[01:55] 叫利多顿话了
[01:56] 昨天晚上还是一样有放话
[01:58] 有说要和谈
[01:59] 有说这个就算和母子海峡封锁
[02:02] 也可以和谈什么的
[02:03] 讲出这样的话的时候
[02:05] 市场稍微动
[02:05] 昨天连鲍尔都有说话
[02:07] 昨天连鲍尔都有说
[02:09] 现在通膨
[02:10] 还在一个可控的状态里面
[02:12] 等等的也都让
[02:13] 昨天晚上的美股跟夜盘
[02:14] 稍微谈了一下下
[02:16] 就那么一下下
[02:18] 然后就越跌越深了
[02:20] 而对于这些发言
[02:21] 伊朗的态度始终如一
[02:23] 就是说
[02:24] 不但说没有要和谈
[02:25] 他们有一个高层
[02:27] 还讲了一句
[02:27] 我觉得非常有趣的话
[02:28] 他也用那个X
[02:29] 就是Twitter
[02:30] 对
[02:30] 他也用X说了一句话说
[02:32] 川普每一次放话
[02:34] 就是为了炒作股票市场
[02:37] 哇塞
[02:37] 他们非常清楚知道
[02:39] 邪恶的资本主义
[02:41] 所以他们才会说去炸资料中心
[02:43] 这才是掐住你的命脉
[02:45] 然后还讲了这句
[02:47] 川普每一次放话
[02:48] 都是为了他的投资
[02:50] 都是为了事先去炒作
[02:52] 哇塞
[02:53] 这个妥妥的
[02:54] 我觉得跟我们想的差不多
[02:56] 但总之不笑了
[02:58] 因为我想大家今天很多人
[03:00] 也觉得笑不出来了
[03:01] 虽然还没有测前低
[03:02] 可是大家有没有注意到一件事情
[03:04] 同样在三万二来回洗刷之后
[03:07] 感受变得不好了
[03:09] 甚至本来没有赔到什么钱的
[03:11] 现在赔钱了
[03:13] 会有这样的一个感受跑出来
[03:15] 因为有很多的热门股
[03:17] 之前每次回档都会弹上去
[03:18] 但这一两天怎么
[03:20] 好像跌下去就直接给你杀个跌停板
[03:23] 跑去追高
[03:25] 因为觉得会上去忍不住去追
[03:26] 所以一下来又立刻受伤了
[03:29] 我希望我的听众们比较没有这个问题
[03:32] 好 我先来欢迎今天的来宾
[03:34] 今天来的是选股教练黄金右下角
[03:37] 韦泰
[03:38] 大家好
[03:38] 韦泰怎么来看这样一个现象呢
[03:41] 这几个礼拜其实我们就一直在这样的情况里
[03:44] 那我觉得最值得提醒听众朋友
[03:46] 就是我们跟美股的乖离
[03:48] 这件事情在最近美股依旧是走弱的情况下面
[03:52] 还是一个我觉得相当值得重视的
[03:55] 因为我们都讲说
[03:57] 没有错我们是因为AI代工接的单子
[04:00] 盆满钵满真的是很多
[04:01] 很开心
[04:02] 但是现在美股有难
[04:04] 美股一直像纳指在年限下
[04:07] 已经好几天了
[04:08] 年限
[04:09] 那我们势必会靠拢之外
[04:12] 有价的上涨对我们也是一个相当大的压力
[04:14] 这些都还是在盘面上
[04:17] 我们必须面对极度有可能在做修正的原因
[04:21] 但是韦泰怎么看呢
[04:23] 我们九个多月以来第一次破季线
[04:26] 刚刚你一坐下来跟我说
[04:27] 你觉得今天的气氛对你来说还好啦
[04:29] 我刚刚来的时候碰到楼下的保全大哥
[04:33] 怎么了
[04:33] 他跟我说怎么叠成这样啊
[04:36] 然后我想说对啊怎么叠成这样
[04:39] 是
[04:39] 不过他说的第二句话让我觉得很惊讶
[04:42] 怎么样
[04:43] 他说叠成这样怎么融资都还不减啊
[04:47] 好专业啊
[04:49] 这也太专业了
[04:52] 对啊
[04:53] 哇
[04:53] 东森财经台这边的保全这么专业啊
[04:57] 也是很专业
[04:57] 但我今天有遇到保杰哥
[04:59] 大家知道保杰哥现在在东森财经台吗
[05:01] 然后我刚刚插顺了过的时候
[05:02] 我说保杰哥崩盘咯
[05:04] 他就说哦真的哦
[05:06] 然后我们就想真好
[05:08] 保杰哥不缺这一点
[05:09] 好
[05:11] 其实今天早上开盘的时候
[05:14] 我就跟我的学生讲说
[05:15] 今天早上开盘是叠好股票
[05:18] 你是先这样观察
[05:20] 对早上在叠台达店
[05:22] 在叠那个志邦
[05:24] 可是今天细光子跟基体是重灾区
[05:26] 对对对
[05:27] 他们有好股票
[05:28] 是
[05:28] 对啊
[05:29] 我说这些好股票就是
[05:32] 往往都是撑在高档
[05:34] 然后最后才补跌
[05:35] 是没错
[05:36] 所以我对于今天这个盘是
[05:38] 我不能够说很开心
[05:39] 因为股票下跌谁会开心
[05:41] 对我觉得今天不开心的应该挺多的
[05:43] 对
[05:44] 但是我们如果说把
[05:46] 我们如果把眼光看远一点
[05:48] 或拉开来看
[05:49] 你发现其实整个架构上就是
[05:51] 台北股市在反映的事情
[05:53] 就是一些好股票
[05:55] 然后再做一个补贴
[05:57] 是
[05:57] 那按照过往的经验
[05:59] 这个补贴结束之后
[06:02] 那么大概这个修正就接近尾声
[06:05] OK
[06:05] 但是大家不要急
[06:07] 我刚刚的话是说
[06:09] 补贴结束之后
[06:11] 然后才会接近尾声
[06:12] 那补贴结束了吗
[06:14] 我觉得这件事情呢
[06:16] 第一个要跟市场上面的情绪
[06:19] 要去做个搭配
[06:20] 是
[06:20] OK
[06:21] 目前市场上面的情绪
[06:24] 大多数在围绕在就是川普
[06:26] 他在这个对伊朗的一个态度上
[06:29] 是
[06:29] 在前两天吧
[06:33] 我有看到一些法人的这个报告
[06:37] 他们有出三个情境
[06:39] 是
[06:39] 想用三个情境
[06:42] 對
[06:43] 就是說假設呢
[06:45] 這個川普呢
[06:47] 直接就是派兵要攻佔哈格島
[06:50] 那麼那個加權指數會回撤三萬
[06:54] 那假設呢
[06:55] 這個撤兵
[06:57] 然後呢
[06:58] 加權指數呢
[06:59] 會這個往上挑戰三萬五
[07:03] 第三個好像就是現在台系脫捧
[07:07] 那也會讓這個指數回到三萬二
[07:10] 是
[07:11] 對OK
[07:12] 我就說奇怪了
[07:13] 這個三個事情
[07:14] 他不一定是
[07:16] 我個人覺得他不一定是單選
[07:19] 是
[07:20] 他應該有可能是複選
[07:21] 對啦
[07:22] 對不對
[07:22] 就是我先去攻占哈格島
[07:25] 是
[07:25] 然後再撤兵
[07:26] 我們沒有辦法把這個
[07:29] 對
[07:29] 不是非一即二嘛
[07:31] 就是一二三搞綜合發生
[07:33] 對
[07:33] 那時候是我剛剛說的
[07:35] 他先拿下哈格島
[07:38] 是
