[00:00] 欢迎收听赵华宇股货载第1108集
[00:09] 今天是2026年的5月29号
[00:12] 这几天的股票市场真的是非常的有趣
[00:16] 昨天晚上我跑到台南去
[00:19] 因为我今天早上有一个很早的会议在台南
[00:22] 那又再赶回来
[00:23] 那昨天晚上呢开开心心的住在饭店
[00:26] 就看着夜盘一路上去
[00:29] 本来要早点睡
[00:30] 因为今天早上的会议
[00:31] 真的听到的
[00:32] 结果就看到涨了1000点
[00:34] 我就在思索
[00:35] 因为昨天晚上
[00:36] 其实本来美股
[00:37] 没有那么厉害的
[00:38] 涨了1000点
[00:39] 我想说是不是又来骗我
[00:41] 会不会今天
[00:42] 就是又开高走低
[00:43] 跟昨天的阴霾有点像
[00:45] 就没有
[00:46] 今天盘中有涨到
[00:48] 超过1200点
[00:50] 中场有一点小下压
[00:52] 来到了1096点的涨点
[00:54] 还是非常厉害
[00:56] 而且我想今天盘面上
[00:57] 一开盘
[00:59] 大家就看到所谓
[01:00] 赵元燕的成员们
[01:03] 清一色的开始急拉
[01:06] 拉得比较快
[01:08] 就立刻涨停了
[01:09] 拉得慢一些
[01:10] 大概十点多也涨停了
[01:11] 尤其是红海
[01:13] 广达
[01:14] 伟创
[01:15] 哇塞
[01:16] 你要看到这三巨头
[01:18] 同时涨停
[01:19] 真的是非常非常罕见
[01:22] 银叶达也涨停
[01:24] 对不对
[01:24] 季嘉一度涨停
[01:25] 还有这个仁宝接近涨停
[01:27] 太夸张了
[01:29] 我们这些老AI全职股
[01:32] 清一色的在赵元燕之后涨停
[01:34] 这真的是非常非常少见
[01:36] 那今天还有MSCI的换股
[01:38] 我们也提到
[01:39] 外资在今天
[01:40] 等一下看一下盘后筹码
[01:42] 应该也是大幅的卖超
[01:43] 因为三个权重都是提升的
[01:45] 好
[01:45] 所以今天的成交量
[01:47] 1.8兆
[01:49] 加计上柜2.2兆
[01:52] 这个还没有把盘后算进来
[01:54] 惊人啊
[01:55] 惊人啊
[01:55] 惊人的一天就需要惊人的人来讲了
[01:58] 我们刚才已经先聊了一会儿了
[02:00] 但是我想我们就把时间留给听众朋友
[02:02] 很多人说怎么那么久没有来
[02:04] 我们的国家级基金操盘手
[02:07] 黄峰凯凯哥
[02:08] 大家好
[02:08] 各位听众大家好
[02:10] 我们在今天公蓬其盛
[02:11] 其实以前每次礼拜五
[02:13] 我们都觉得应该是比较轻松的日子
[02:15] 要放假了
[02:15] 焦头会比较清淡等等的
[02:17] 可是我们发现这两三个月来
[02:19] 礼拜五的事情还挺多的
[02:20] 像今天这些大牛股全部都涨停
[02:23] 然后当然中小型股涨停的也比比皆是
[02:26] 而且今天的体感是好的
[02:28] 今天上市价商柜上涨的加速是超过1300家
[02:32] 所以多多少少您手上的股票
[02:34] 照理来说应该是有上涨的
[02:37] 甚至有亮灯的
[02:38] 在今天是不意外
[02:39] 体感好
[02:40] 大牛股涨
[02:41] 小标股涨
[02:42] 快乐的一天
[02:44] 基本上老AI
[02:46] 这些王爷上涨
[02:47] 对大家应该是多头的信心的振奋
[02:50] 真的
[02:51] 因为其实之前至今
[02:53] 一直围绕在被动元件里面
[02:54] 其实大家很害怕
[02:55] 而且昨天
[02:55] 尤其你看这些投信
[02:56] 在买金融股
